420

Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:09,0.27280,0.08760,0.11790,0.08130,0.08810,0.08330,0.18340,0.08520,0.12140,0.08250,0.08520,0.08350,0.24120,0.15490,0.10460,0.17090,0.09810,0.09780,0.14350,0.22270,0.11430,0.08730,0.08620,0.08750,0.18170,0.13950,0.09570,0.12190,0.08340,0.09840,0.11810,0.15480,0.10320,0.08320,0.10730,0.08590,0.08130,0.11430,0.08400,0.11510,0.08570,0.09150,0.08290,0.13590,0.08420,0.08710,0.08240,0.08480,0.09920,0.08870,0.12670,0.11030,0.09050,0.08080,0.09210,0.07570,0.13500,0.08210,0.08450,0.08280,0.09060,0.09330,0.11890,0.09020,0.09610,0.15300,0.08630,0.12000,0.11630,0.08430,0.09160,0.08810,0.09160,0.08740,0.09880,0.09820,0.08350,0.13890,0.08890,0.10960,0.10340,0.08250,0.08340,0.08710,0.08110,0.08430,0.07990,0.08630,0.08270,0.11670,0.08100,0.10180,0.08400,0.08290,0.08350,0.08530
0:02:39,0.39440,0.08730,0.12990,0.08100,0.08770,0.08260,0.28130,0.08470,0.15160,0.08230,0.08530,0.08320,0.33440,0.19140,0.11190,0.23570,0.09730,0.09970,0.19580,0.35760,0.13670,0.08660,0.08650,0.08700,0.23530,0.17100,0.09950,0.14920,0.08300,0.09970,0.14500,0.23490,0.11660,0.08300,0.10700,0.08510,0.08100,0.13050,0.08370,0.13140,0.08540,0.09240,0.08240,0.18770,0.08370,0.08630,0.08210,0.08340,0.10080,0.08880,0.14770,0.10900,0.08940,0.08040,0.09180,0.07530,0.18090,0.08140,0.08440,0.08250,0.09170,0.09860,0.13700,0.09160,0.09540,0.20460,0.08580,0.15320,0.15010,0.08390,0.09080,0.08780,0.09180,0.08930,0.10890,0.09790,0.08320,0.18100,0.08840,0.13130,0.12520,0.08240,0.08300,0.08750,0.08080,0.08520,0.07950,0.08680,0.08220,0.14070,0.08070,0.11750,0.08360,0.08270,0.08320,0.08550
0:05:09,0.50670,0.08700,0.14140,0.08090,0.08710,0.08230,0.38110,0.08430,0.18690,0.08190,0.08640,0.08300,0.44270,0.23880,0.12090,0.29710,0.09700,0.10350,0.25470,0.48360,0.16440,0.08710,0.08710,0.08730,0.29860,0.20330,0.10410,0.17990,0.08290,0.10230,0.17190,0.32160,0.13090,0.08330,0.10690,0.08530,0.08100,0.15020,0.08350,0.14880,0.08510,0.09390,0.08210,0.24230,0.08340,0.08660,0.08190,0.08370,0.10230,0.08930,0.17270,0.10800,0.08900,0.08020,0.09190,0.07510,0.23030,0.08120,0.08430,0.08220,0.09230,0.10530,0.15680,0.09380,0.09520,0.25460,0.08560,0.19250,0.18890,0.08380,0.09110,0.08910,0.09230,0.09140,0.11940,0.09830,0.08310,0.22380,0.08820,0.15760,0.14760,0.08250,0.08300,0.08830,0.08070,0.08650,0.07940,0.08760,0.08200,0.16710,0.08050,0.13400,0.08340,0.08280,0.08290,0.08610
0:07:39,0.61410,0.08690,0.15490,0.08070,0.08640,0.08210,0.48550,0.08390,0.23030,0.08160,0.08740,0.08280,0.53280,0.28710,0.13060,0.35760,0.09680,0.10700,0.30590,0.61470,0.19650,0.08750,0.08760,0.08760,0.36850,0.23610,0.10910,0.21060,0.08270,0.10470,0.20590,0.41380,0.14590,0.08320,0.10690,0.08550,0.08080,0.17130,0.08330,0.16730,0.08480,0.09540,0.08180,0.30130,0.08320,0.08640,0.08180,0.08340,0.10490,0.08950,0.19960,0.10660,0.08880,0.08000,0.09190,0.07490,0.28030,0.08090,0.08490,0.08200,0.09350,0.11190,0.17760,0.09580,0.09510,0.30640,0.08560,0.22990,0.23050,0.08410,0.09160,0.09060,0.09290,0.09360,0.13110,0.09880,0.08310,0.26910,0.08800,0.18550,0.17320,0.08260,0.08300,0.08960,0.08060,0.08770,0.07930,0.08850,0.08170,0.19320,0.08040,0.15300,0.08330,0.08290,0.08270,0.08650
0:10:09,0.73700,0.08690,0.17000,0.08050,0.08580,0.08190,0.58920,0.08370,0.27480,0.08150,0.08920,0.08280,0.62130,0.33070,0.14050,0.41870,0.09650,0.11130,0.36260,0.73940,0.23170,0.08830,0.08870,0.08810,0.43450,0.26950,0.11440,0.24330,0.08290,0.10820,0.23370,0.51000,0.16120,0.08370,0.10680,0.08580,0.08080,0.19270,0.08320,0.18780,0.08470,0.09690,0.08780,0.36270,0.08310,0.08650,0.08170,0.08410,0.10690,0.08930,0.22760,0.10540,0.08900,0.07990,0.09200,0.07480,0.32890,0.08070,0.08560,0.08200,0.09460,0.11820,0.20010,0.09820,0.09510,0.36010,0.08550,0.26720,0.27180,0.08480,0.09200,0.09280,0.09350,0.09640,0.14300,0.10020,0.08310,0.31250,0.08790,0.21720,0.20070,0.08290,0.08320,0.09080,0.08050,0.08910,0.07920,0.08970,0.08170,0.22150,0.08030,0.17040,0.08310,0.08310,0.08270,0.08700
0:12:39,0.83680,0.08670,0.18360,0.08040,0.08570,0.08180,0.69000,0.08340,0.32030,0.08130,0.09070,0.08270,0.70440,0.37620,0.15150,0.47790,0.09650,0.11520,0.42040,0.85360,0.26390,0.08870,0.08940,0.08860,0.49840,0.30550,0.12030,0.27600,0.08370,0.11100,0.26460,0.60910,0.17690,0.08390,0.10680,0.08620,0.08080,0.21420,0.08300,0.20820,0.08460,0.09870,0.08490,0.42580,0.09080,0.08640,0.08150,0.08380,0.10920,0.08860,0.25750,0.10450,0.08920,0.07980,0.09240,0.07470,0.37860,0.08050,0.08630,0.08180,0.09580,0.12540,0.22140,0.10050,0.09500,0.41460,0.08550,0.31320,0.31980,0.08560,0.09260,0.09460,0.09410,0.09880,0.15530,0.10150,0.08310,0.35840,0.08780,0.25100,0.23090,0.08340,0.08340,0.09170,0.08040,0.09050,0.07910,0.09080,0.08150,0.25050,0.08010,0.19190,0.08290,0.08330,0.08260,0.08780
0:15:09,0.92800,0.08670,0.19660,0.08040,0.08610,0.08160,0.78080,0.08330,0.36390,0.08130,0.09200,0.08260,0.78480,0.42130,0.16310,0.53650,0.09660,0.11970,0.47960,0.95520,0.29540,0.08980,0.09060,0.08920,0.56210,0.34670,0.12630,0.30910,0.08390,0.11390,0.29580,0.70340,0.19260,0.08450,0.10720,0.08670,0.07990,0.23800,0.08290,0.23000,0.08450,0.10060,0.08100,0.48980,0.09060,0.08680,0.08140,0.08460,0.11170,0.08770,0.28780,0.10370,0.08960,0.07980,0.09260,0.07470,0.42780,0.08040,0.08680,0.08170,0.09730,0.13410,0.24420,0.10340,0.09510,0.47000,0.08570,0.35900,0.36880,0.08600,0.09330,0.09640,0.09480,0.10150,0.16800,0.10300,0.08330,0.40370,0.08790,0.28460,0.25940,0.08370,0.08390,0.09290,0.08040,0.09190,0.07910,0.09200,0.08140,0.28080,0.08010,0.21250,0.08280,0.08340,0.08250,0.08850
0:17:39,1.03230,0.08650,0.21110,0.08030,0.08660,0.08150,0.86420,0.08300,0.40560,0.08110,0.09350,0.08260,0.86020,0.47290,0.17520,0.60120,0.09660,0.12370,0.54130,1.04580,0.32590,0.09080,0.09180,0.08980,0.62640,0.39000,0.13220,0.34130,0.08390,0.11720,0.32660,0.80660,0.20970,0.08530,0.10710,0.08700,0.07750,0.26180,0.08270,0.25070,0.08490,0.10250,0.08090,0.55920,0.09040,0.08690,0.08130,0.08470,0.11390,0.08750,0.31980,0.10290,0.08970,0.07970,0.09300,0.07470,0.48050,0.08030,0.08760,0.08170,0.09950,0.14330,0.26940,0.10600,0.09500,0.53240,0.08560,0.41240,0.41860,0.08650,0.09370,0.09850,0.09560,0.10440,0.18080,0.10450,0.08340,0.44840,0.08780,0.32040,0.28790,0.08410,0.08420,0.09410,0.08030,0.09330,0.07900,0.09330,0.08130,0.31240,0.07990,0.23670,0.08260,0.08370,0.08250,0.08900
0:20:09,1.13200,0.08660,0.22960,0.08020,0.08700,0.08150,0.94600,0.08290,0.45100,0.08110,0.09530,0.08260,0.93910,0.52170,0.18860,0.67020,0.09670,0.12880,0.60520,1.12990,0.35760,0.09190,0.09280,0.09100,0.68810,0.43300,0.13870,0.37710,0.08380,0.12110,0.35840,0.90030,0.22740,0.08610,0.10720,0.08740,0.07750,0.28510,0.08270,0.27180,0.08540,0.10440,0.08070,0.62100,0.09050,0.08720,0.08130,0.08460,0.11660,0.08740,0.35370,0.10190,0.09010,0.07970,0.09310,0.07460,0.54580,0.08010,0.08860,0.08160,0.10150,0.15380,0.29610,0.10910,0.09520,0.59640,0.08560,0.46890,0.46740,0.08690,0.09440,0.10130,0.09630,0.10740,0.19380,0.10610,0.08360,0.49710,0.08780,0.35720,0.31680,0.08470,0.08460,0.09520,0.08040,0.09490,0.07900,0.09460,0.08130,0.34440,0.07990,0.26040,0.08270,0.08380,0.08250,0.08970
0:22:39,1.22020,0.08660,0.24700,0.08030,0.08740,0.08140,1.02390,0.08280,0.50390,0.08120,0.09720,0.08260,1.01280,0.56920,0.20230,0.73610,0.09700,0.13410,0.66560,1.20210,0.39310,0.09320,0.09400,0.09180,0.74850,0.47310,0.14540,0.41220,0.08400,0.12500,0.39010,0.98290,0.24580,0.08670,0.10750,0.08820,0.07750,0.30770,0.08280,0.29430,0.08560,0.10660,0.08070,0.67890,0.09050,0.08760,0.08130,0.08520,0.12060,0.08740,0.38770,0.10110,0.09040,0.07960,0.09340,0.07460,0.61570,0.08020,0.08980,0.08160,0.10320,0.16290,0.32230,0.11210,0.09520,0.65270,0.08590,0.52300,0.51330,0.08750,0.09500,0.10390,0.09730,0.11040,0.20660,0.10800,0.08380,0.54310,0.08780,0.39270,0.34620,0.08540,0.08490,0.09670,0.08040,0.09650,0.07900,0.09580,0.08130,0.37470,0.08000,0.28410,0.08270,0.08390,0.08260,0.09030
