420

Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:09,0.27250,0.09310,0.21030,0.07800,0.18640,0.09570,0.15710,0.09210,0.16250,0.07850,0.09970,0.08880,0.25920,0.10350,0.16640,0.16310,0.14630,0.11530,0.10010,0.16410,0.13540,0.14130,0.09060,0.12400,0.17840,0.09930,0.11230,0.16110,0.11940,0.11050,0.09600,0.14870,0.10410,0.12840,0.09350,0.12140,0.08930,0.09390,0.08560,0.12530,0.08090,0.10320,0.08380,0.11040,0.07830,0.11620,0.08680,0.09960,0.10040,0.08550,0.20280,0.08380,0.12010,0.09150,0.12840,0.08850,0.14680,0.08280,0.17480,0.08910,0.09340,0.19820,0.17140,0.18980,0.10280,0.14680,0.09380,0.17460,0.13240,0.14180,0.10900,0.12470,0.08840,0.16230,0.12900,0.15980,0.09470,0.12880,0.09360,0.14010,0.12060,0.17650,0.09390,0.09420,0.08310,0.14490,0.08180,0.12410,0.08210,0.10620,0.08790,0.11190,0.07890,0.10830,0.08250,0.08420
0:01:49,0.34300,0.09310,0.26700,0.07790,0.22630,0.09530,0.15970,0.09140,0.20030,0.07800,0.11120,0.08830,0.32700,0.10540,0.19990,0.19680,0.17150,0.12390,0.10120,0.21060,0.16080,0.17360,0.09620,0.14730,0.20350,0.10130,0.12430,0.18910,0.13260,0.11740,0.09800,0.17290,0.11830,0.15080,0.09730,0.12790,0.08900,0.09440,0.08540,0.14120,0.07930,0.10680,0.08360,0.12480,0.07760,0.12830,0.08650,0.11980,0.10330,0.08530,0.24170,0.08260,0.12800,0.09100,0.13040,0.08660,0.18210,0.07990,0.18160,0.08870,0.09560,0.24130,0.20880,0.23340,0.11000,0.15880,0.08850,0.23680,0.15920,0.17650,0.17060,0.12550,0.08960,0.19690,0.14870,0.19410,0.09800,0.14950,0.09460,0.17100,0.13510,0.21040,0.09790,0.11310,0.08290,0.16440,0.08150,0.14190,0.08190,0.11420,0.08750,0.12660,0.07860,0.12600,0.08230,0.08380
0:03:29,0.41800,0.09300,0.32270,0.07760,0.27120,0.09480,0.16270,0.09120,0.24530,0.07780,0.12140,0.08800,0.38670,0.10890,0.23640,0.23150,0.20230,0.13330,0.10330,0.25470,0.18850,0.21180,0.10200,0.17190,0.23410,0.10370,0.13710,0.21900,0.14750,0.12550,0.09320,0.20070,0.13360,0.18180,0.09960,0.15620,0.08880,0.09530,0.08510,0.15810,0.07820,0.11090,0.08350,0.14010,0.07730,0.14740,0.08620,0.12720,0.10690,0.08500,0.28580,0.07930,0.13730,0.09070,0.13310,0.08960,0.22240,0.07920,0.19150,0.08830,0.09820,0.28210,0.24180,0.27330,0.11600,0.19110,0.09120,0.26910,0.18580,0.21690,0.11660,0.12500,0.09100,0.22870,0.16580,0.22790,0.10190,0.16870,0.09540,0.20240,0.15160,0.23910,0.10210,0.11300,0.08270,0.17960,0.08130,0.16020,0.08170,0.12270,0.08740,0.14390,0.07840,0.14190,0.08210,0.08390
0:05:09,0.49270,0.09440,0.37230,0.07750,0.31480,0.09460,0.16670,0.09090,0.29000,0.07770,0.13410,0.08790,0.44180,0.11200,0.27300,0.26790,0.23620,0.14460,0.10570,0.29520,0.22270,0.25230,0.10800,0.19930,0.26770,0.10660,0.15190,0.25160,0.16290,0.13390,0.09350,0.23230,0.15010,0.20710,0.10460,0.18300,0.08870,0.09650,0.08500,0.17540,0.07800,0.11510,0.08340,0.15540,0.07720,0.16610,0.08620,0.13030,0.11040,0.08480,0.33480,0.07860,0.14630,0.09050,0.13610,0.08990,0.26070,0.07910,0.20170,0.08820,0.10110,0.32360,0.27730,0.31650,0.12310,0.22330,0.10010,0.33840,0.21540,0.25440,0.12480,0.12560,0.09240,0.26100,0.18350,0.26090,0.10600,0.18900,0.09670,0.23630,0.16680,0.27650,0.10630,0.11340,0.08260,0.19370,0.08120,0.18040,0.08100,0.13210,0.08730,0.16230,0.07830,0.15830,0.08190,0.08400
0:06:49,0.56580,0.09280,0.42190,0.07720,0.35800,0.09440,0.16840,0.08570,0.33590,0.07750,0.14580,0.08760,0.49830,0.11570,0.30860,0.30410,0.27200,0.15300,0.10830,0.33780,0.25700,0.29330,0.12350,0.22760,0.30000,0.10940,0.16700,0.28520,0.17800,0.14290,0.09420,0.26360,0.16670,0.25860,0.10720,0.20500,0.08860,0.09790,0.08480,0.19280,0.07740,0.11960,0.08320,0.17110,0.07700,0.18550,0.08600,0.15410,0.11430,0.08460,0.38270,0.07850,0.15650,0.09020,0.13900,0.08890,0.30580,0.07890,0.21310,0.08800,0.10410,0.36770,0.31310,0.35910,0.13060,0.24790,0.10180,0.37020,0.25110,0.29470,0.13280,0.12520,0.09390,0.29950,0.20210,0.29220,0.11010,0.20990,0.09790,0.27000,0.18300,0.30880,0.11100,0.11380,0.08240,0.21390,0.08100,0.20100,0.08070,0.14220,0.08710,0.18040,0.07820,0.17570,0.08180,0.08400
0:08:29,0.63140,0.09280,0.47180,0.07720,0.40260,0.09420,0.17150,0.08530,0.38250,0.07750,0.15770,0.08750,0.55250,0.11940,0.34430,0.33580,0.30750,0.16330,0.11090,0.38100,0.29110,0.33370,0.12190,0.25650,0.33100,0.11240,0.18260,0.31810,0.19390,0.15200,0.09530,0.29490,0.18330,0.28060,0.11290,0.22560,0.08840,0.09950,0.08460,0.21050,0.07740,0.12400,0.08300,0.18740,0.07710,0.20150,0.08590,0.15950,0.11850,0.08450,0.42980,0.07840,0.16760,0.09010,0.14250,0.08810,0.34280,0.07890,0.22370,0.08800,0.10720,0.41430,0.34970,0.40170,0.13840,0.27100,0.10410,0.43650,0.27690,0.33340,0.14180,0.12670,0.09550,0.33910,0.22190,0.32480,0.11470,0.23170,0.09920,0.30380,0.20060,0.34350,0.11640,0.11420,0.08240,0.23700,0.08090,0.22050,0.08060,0.15340,0.08720,0.19910,0.07810,0.19380,0.08170,0.08410
0:10:09,0.69260,0.09320,0.52050,0.07710,0.44540,0.09400,0.17210,0.08510,0.42670,0.07730,0.17020,0.08720,0.60380,0.12330,0.37960,0.36810,0.34430,0.17360,0.11360,0.42610,0.32610,0.37590,0.13580,0.28480,0.36180,0.11550,0.19820,0.35310,0.20950,0.16170,0.09630,0.32850,0.20010,0.30680,0.12890,0.25020,0.08830,0.10090,0.08450,0.22860,0.07730,0.12850,0.08380,0.20410,0.07690,0.22020,0.08580,0.16410,0.12280,0.08430,0.47760,0.07830,0.17950,0.08990,0.14610,0.08790,0.39170,0.07880,0.23400,0.08770,0.11020,0.46100,0.38650,0.44500,0.14620,0.29730,0.10670,0.46560,0.30420,0.37570,0.15070,0.12550,0.09680,0.37740,0.24270,0.35740,0.11940,0.25310,0.10070,0.33850,0.21930,0.37430,0.12160,0.11380,0.08230,0.25950,0.08080,0.24180,0.08050,0.16510,0.08700,0.21820,0.07800,0.21030,0.08160,0.08420
0:11:49,0.75150,0.09300,0.56750,0.07690,0.48670,0.09380,0.17490,0.08810,0.47580,0.07730,0.18270,0.08710,0.65690,0.12760,0.41590,0.40780,0.38070,0.18440,0.11640,0.46990,0.36150,0.41820,0.14530,0.31980,0.39240,0.11870,0.21380,0.38670,0.22610,0.17140,0.09950,0.36530,0.21900,0.33800,0.13040,0.27880,0.08820,0.10250,0.08430,0.24660,0.07720,0.13320,0.08360,0.22180,0.07680,0.23820,0.08570,0.18960,0.12670,0.08410,0.52620,0.07820,0.19180,0.08970,0.14990,0.08310,0.43240,0.07860,0.24390,0.08750,0.11340,0.50880,0.42370,0.48740,0.15430,0.32510,0.10970,0.51210,0.33570,0.41590,0.16000,0.12600,0.09840,0.41170,0.26500,0.38980,0.12400,0.27410,0.10210,0.37240,0.23710,0.40720,0.12670,0.11410,0.08220,0.28220,0.08070,0.26090,0.08050,0.17700,0.08700,0.23760,0.07790,0.22800,0.08150,0.08430
0:13:29,0.79910,0.09280,0.61610,0.07700,0.52730,0.09380,0.17640,0.08790,0.51790,0.07730,0.19650,0.08700,0.70750,0.13210,0.45180,0.45240,0.41510,0.19720,0.11950,0.51420,0.39780,0.46190,0.15120,0.35040,0.42240,0.12200,0.23080,0.42060,0.24270,0.18100,0.09940,0.40320,0.23590,0.36980,0.13280,0.30420,0.08820,0.10420,0.08430,0.26500,0.07710,0.13810,0.08350,0.24040,0.07680,0.25630,0.08560,0.20240,0.13100,0.08390,0.57430,0.07830,0.20410,0.08960,0.15410,0.07710,0.47900,0.07860,0.25730,0.08740,0.11670,0.55760,0.46100,0.52990,0.16250,0.35460,0.11260,0.56450,0.37010,0.45960,0.16970,0.12420,0.09990,0.44530,0.28740,0.42200,0.12870,0.29570,0.10350,0.40510,0.25480,0.43170,0.13220,0.11400,0.08210,0.30660,0.08070,0.28130,0.08040,0.18920,0.08690,0.25620,0.07790,0.24530,0.07960,0.08450
0:15:09,0.84880,0.09270,0.66520,0.07690,0.56560,0.09360,0.18180,0.07980,0.56270,0.07730,0.21000,0.08690,0.75880,0.13670,0.48750,0.49310,0.44550,0.20920,0.12260,0.55740,0.43460,0.50450,0.15840,0.38310,0.45180,0.12530,0.24650,0.45330,0.26030,0.19070,0.10330,0.44150,0.25390,0.40210,0.13460,0.32780,0.08820,0.10590,0.08420,0.28390,0.07710,0.14290,0.08130,0.25910,0.07680,0.27440,0.08560,0.21470,0.13560,0.08030,0.62080,0.07820,0.21650,0.08950,0.15760,0.07700,0.51350,0.07860,0.27020,0.08720,0.11980,0.60480,0.49830,0.57080,0.17080,0.38440,0.11550,0.61070,0.40450,0.50250,0.17940,0.12530,0.10160,0.48130,0.31010,0.45410,0.13340,0.31630,0.10520,0.43660,0.27280,0.46610,0.13770,0.11400,0.08210,0.32870,0.07990,0.29980,0.08040,0.20220,0.08680,0.27510,0.07790,0.26280,0.07960,0.08470
