420

Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:34,0.21030,0.07840,0.09090,0.07710,0.09890,0.07600,0.08760,0.07600,0.14200,0.07460,0.08560,0.07580,0.19060,0.12100,0.10620,0.15730,0.10720,0.08700,0.08300,0.11690,0.15800,0.11960,0.08020,0.13930,0.18950,0.10790,0.08070,0.13560,0.09010,0.08580,0.08140,0.11310,0.13200,0.13020,0.07970,0.28370,0.07900,0.09510,0.07610,0.12340,0.07580,0.08270,0.07550,0.08170,0.07490,0.09600,0.07650,0.11340,0.08800,0.07640,0.09070,0.07880,0.08350,0.07460,0.08210,0.07520,0.11540,0.07540,0.08460,0.07500,0.08270,0.08360,0.08390,0.24830,0.10060,0.11730,0.08890,0.09920,0.08310,0.13060,0.08780,0.09870,0.08350,0.08280,0.07990,0.22270,0.07860,0.10020,0.07950,0.09190,0.08710,0.11100,0.08060,0.09070,0.08110,0.07880,0.07530,0.13860,0.07520,0.07950,0.07610,0.08460,0.07640,0.09680,0.07510,0.08130
0:02:09,0.24890,0.07730,0.09440,0.07610,0.10630,0.07530,0.08780,0.07520,0.18120,0.07410,0.08530,0.07530,0.22470,0.13490,0.10810,0.18270,0.11730,0.08620,0.08280,0.12950,0.20330,0.14640,0.07980,0.19860,0.22650,0.11820,0.08190,0.15580,0.09370,0.08640,0.08090,0.11850,0.16480,0.16140,0.07970,0.32140,0.07850,0.10100,0.07560,0.13950,0.07530,0.08180,0.07500,0.08480,0.07450,0.10830,0.07600,0.14430,0.08820,0.07570,0.08990,0.07800,0.08360,0.07430,0.08290,0.07470,0.11730,0.07500,0.08800,0.07460,0.08280,0.08380,0.08410,0.29800,0.09990,0.11400,0.08950,0.10520,0.08340,0.14880,0.08980,0.09720,0.08330,0.08260,0.08000,0.26740,0.07850,0.10140,0.07960,0.09630,0.08670,0.12580,0.08220,0.09010,0.08080,0.07880,0.07490,0.16270,0.07490,0.07960,0.07560,0.08780,0.07600,0.10380,0.07470,0.08120
0:03:44,0.29040,0.07700,0.09890,0.07590,0.11510,0.07520,0.08760,0.07500,0.22090,0.07410,0.08500,0.07510,0.25970,0.15070,0.11260,0.21120,0.12700,0.08610,0.08360,0.14200,0.24790,0.17340,0.08000,0.25690,0.26330,0.13060,0.08370,0.17880,0.09750,0.08620,0.08110,0.12340,0.19740,0.19300,0.07970,0.18420,0.07830,0.10770,0.07550,0.15670,0.07520,0.08200,0.07490,0.08860,0.07450,0.12130,0.07580,0.17820,0.08900,0.07560,0.09010,0.07780,0.08400,0.07420,0.08400,0.07460,0.11850,0.07490,0.09250,0.07450,0.08350,0.08430,0.08490,0.34800,0.10070,0.11830,0.09010,0.11220,0.08300,0.16690,0.09570,0.09710,0.08350,0.08310,0.08030,0.31800,0.07870,0.10100,0.08000,0.10160,0.08700,0.14440,0.08450,0.09090,0.08070,0.07890,0.07490,0.18860,0.07480,0.07970,0.07550,0.09180,0.07590,0.11130,0.07460,0.08160
0:05:19,0.33000,0.07680,0.10380,0.07570,0.12480,0.07500,0.08760,0.07490,0.25990,0.07400,0.08520,0.07490,0.29370,0.16750,0.11680,0.23930,0.13570,0.08630,0.08380,0.15560,0.29400,0.19790,0.08020,0.32200,0.29970,0.14280,0.08560,0.20360,0.10160,0.08570,0.08120,0.12670,0.23220,0.22420,0.07960,0.21520,0.07810,0.11490,0.07540,0.17420,0.07490,0.08180,0.07480,0.09250,0.07430,0.13440,0.07570,0.21180,0.08990,0.07540,0.09000,0.07750,0.08450,0.07400,0.08510,0.07440,0.11860,0.07470,0.09740,0.07440,0.08450,0.08480,0.08510,0.39570,0.10190,0.12310,0.09130,0.11920,0.08260,0.18700,0.10020,0.09740,0.08410,0.08350,0.08060,0.36600,0.07900,0.10430,0.08040,0.10800,0.08760,0.16430,0.08670,0.09090,0.08070,0.07900,0.07470,0.21450,0.07460,0.08000,0.07530,0.09630,0.07580,0.12010,0.07450,0.08170
0:06:54,0.36820,0.07670,0.10920,0.07560,0.13500,0.07490,0.08810,0.07470,0.29530,0.07380,0.08640,0.07480,0.32690,0.18490,0.12160,0.26740,0.14640,0.08640,0.08400,0.16830,0.33700,0.22090,0.08100,0.38260,0.33710,0.15590,0.08770,0.22890,0.10640,0.08600,0.08140,0.13080,0.26580,0.25740,0.08010,0.24770,0.07790,0.12260,0.07530,0.19170,0.07480,0.08110,0.07460,0.09650,0.07430,0.14690,0.07620,0.24460,0.09150,0.07530,0.09000,0.07740,0.08530,0.07400,0.08650,0.07500,0.12020,0.07460,0.10460,0.07430,0.08530,0.08530,0.08620,0.44570,0.10320,0.12370,0.09230,0.12660,0.08280,0.20750,0.10400,0.09760,0.08470,0.08390,0.08110,0.41300,0.07930,0.10730,0.08110,0.11540,0.08750,0.18540,0.08860,0.09170,0.08060,0.07920,0.07470,0.24160,0.07450,0.08030,0.07520,0.10090,0.07570,0.12830,0.07440,0.08180
0:08:29,0.40660,0.07660,0.11520,0.07540,0.14560,0.07470,0.08810,0.07460,0.33180,0.07370,0.08680,0.07470,0.36120,0.20230,0.12650,0.29550,0.15680,0.08620,0.08440,0.18220,0.37800,0.24720,0.08140,0.43580,0.37340,0.16960,0.08980,0.25480,0.11150,0.08590,0.08180,0.13540,0.29690,0.29080,0.08050,0.28110,0.07770,0.13060,0.07520,0.21040,0.07470,0.08170,0.07450,0.10090,0.07420,0.16090,0.07570,0.27800,0.09300,0.07510,0.09020,0.07730,0.08630,0.07390,0.08810,0.07490,0.12150,0.07460,0.10880,0.07420,0.08630,0.08600,0.08610,0.49360,0.10400,0.12850,0.09390,0.13390,0.08290,0.22850,0.10790,0.09720,0.08500,0.08460,0.08180,0.45620,0.07960,0.10960,0.08170,0.12360,0.08770,0.20750,0.09120,0.09160,0.08050,0.07950,0.07450,0.27000,0.07440,0.08050,0.07510,0.10560,0.07560,0.13740,0.07430,0.08210
0:10:04,0.44500,0.07650,0.12170,0.07540,0.15720,0.07470,0.08850,0.07460,0.36700,0.07370,0.08800,0.07460,0.39450,0.22090,0.13180,0.32620,0.16700,0.08630,0.08420,0.19640,0.41310,0.27440,0.08230,0.48380,0.40600,0.18410,0.09220,0.28090,0.11640,0.08630,0.08220,0.14080,0.32800,0.32480,0.08100,0.31550,0.07760,0.13940,0.07520,0.22960,0.07460,0.08160,0.07450,0.10550,0.07410,0.17580,0.07540,0.31150,0.09510,0.07500,0.09240,0.07710,0.08750,0.07380,0.08990,0.07440,0.12320,0.07450,0.11530,0.07410,0.08740,0.08680,0.08820,0.53400,0.10520,0.13310,0.09500,0.14230,0.08300,0.24950,0.11330,0.09760,0.08600,0.08550,0.08230,0.49600,0.08010,0.11080,0.08230,0.13170,0.08800,0.23020,0.09390,0.09240,0.08050,0.07980,0.07450,0.30000,0.07440,0.08090,0.07500,0.11070,0.07540,0.14720,0.07420,0.08260
0:11:39,0.48290,0.07650,0.12830,0.07540,0.16910,0.07470,0.08910,0.07460,0.40440,0.07370,0.08900,0.07470,0.42900,0.23840,0.13750,0.35770,0.17830,0.08690,0.08460,0.21090,0.44910,0.30200,0.08310,0.52860,0.43820,0.19940,0.09460,0.30790,0.12190,0.08640,0.08280,0.14400,0.36110,0.35960,0.08130,0.35020,0.07750,0.14900,0.07510,0.24960,0.07460,0.08220,0.07450,0.11040,0.07410,0.19100,0.07540,0.34500,0.09730,0.07510,0.09490,0.07710,0.08870,0.07380,0.09160,0.07430,0.12490,0.07440,0.12170,0.07420,0.08890,0.08780,0.08920,0.57320,0.10650,0.13910,0.09670,0.15450,0.08340,0.27300,0.11850,0.09820,0.08680,0.08640,0.08260,0.53520,0.08050,0.11250,0.08300,0.13980,0.08800,0.25140,0.09640,0.09280,0.08060,0.08020,0.07450,0.32870,0.07440,0.08120,0.07500,0.11600,0.07540,0.15720,0.07420,0.08310
0:13:14,0.52010,0.07650,0.13530,0.07530,0.18130,0.07460,0.08950,0.07440,0.44070,0.07360,0.08970,0.07470,0.46310,0.25590,0.14320,0.38560,0.18920,0.08720,0.08560,0.22610,0.48670,0.33320,0.08380,0.57050,0.47100,0.21540,0.09720,0.33570,0.12760,0.08620,0.08340,0.14620,0.39260,0.39300,0.08200,0.38400,0.07740,0.15930,0.07510,0.27040,0.07460,0.08210,0.07440,0.11570,0.07400,0.20670,0.07580,0.37820,0.09950,0.07490,0.09680,0.07700,0.09010,0.07380,0.09340,0.07430,0.12650,0.07430,0.12850,0.07410,0.09000,0.08900,0.08960,0.61140,0.10840,0.14260,0.09830,0.16700,0.08350,0.29690,0.12410,0.09940,0.08770,0.08710,0.08320,0.57470,0.08100,0.11580,0.08360,0.14830,0.08850,0.27410,0.09970,0.09360,0.08050,0.08060,0.07450,0.35790,0.07430,0.08170,0.07490,0.12180,0.07540,0.16720,0.07420,0.08340
0:14:49,0.55680,0.07650,0.14250,0.07530,0.19430,0.07450,0.09030,0.07450,0.47570,0.07360,0.09130,0.07460,0.49540,0.27130,0.14950,0.41000,0.20090,0.08690,0.08630,0.24170,0.52230,0.36270,0.08480,0.60770,0.50270,0.23040,0.10000,0.36080,0.13350,0.08630,0.08400,0.14880,0.42450,0.42590,0.08250,0.41810,0.07740,0.17020,0.07520,0.29160,0.07460,0.08230,0.07440,0.12150,0.07410,0.22240,0.07540,0.41190,0.10120,0.07500,0.09890,0.07700,0.09160,0.07380,0.09530,0.07420,0.12770,0.07430,0.13500,0.07420,0.09170,0.09030,0.09140,0.64860,0.10960,0.14700,0.10020,0.17970,0.08370,0.31810,0.13010,0.09990,0.08890,0.08780,0.08400,0.61260,0.08160,0.11840,0.08460,0.15740,0.08840,0.29480,0.10270,0.09450,0.08060,0.08110,0.07450,0.38620,0.07430,0.08220,0.07500,0.12740,0.07540,0.17760,0.07420,0.08380
0:16:24,0.59450,0.07660,0.14990,0.07530,0.20820,0.07460,0.09140,0.07450,0.50740,0.07360,0.09220,0.07470,0.52630,0.29010,0.15570,0.43970,0.21280,0.08760,0.08710,0.25820,0.55780,0.39050,0.08560,0.64380,0.53390,0.24560,0.10310,0.38470,0.13980,0.08690,0.08470,0.15190,0.45420,0.45760,0.08330,0.45160,0.07740,0.18180,0.07520,0.31350,0.07460,0.08260,0.07440,0.12800,0.07390,0.23910,0.07540,0.44380,0.10320,0.07490,0.10020,0.07720,0.09310,0.07380,0.09730,0.07430,0.12820,0.07450,0.14200,0.07430,0.09320,0.09180,0.09300,0.68480,0.11180,0.15070,0.10170,0.19300,0.08380,0.34270,0.13550,0.10060,0.08960,0.08820,0.08460,0.65030,0.08220,0.12160,0.08560,0.16790,0.08860,0.32070,0.10660,0.09540,0.08060,0.08180,0.07450,0.41570,0.07450,0.08280,0.07500,0.13320,0.07530,0.18850,0.07420,0.08420
0:17:59,0.63130,0.07650,0.15770,0.07530,0.22260,0.07460,0.09250,0.07450,0.54060,0.07360,0.09320,0.07480,0.55510,0.30900,0.16170,0.46490,0.22540,0.08850,0.08760,0.27490,0.59020,0.41750,0.08640,0.67780,0.56370,0.26020,0.10630,0.40700,0.14550,0.08720,0.08540,0.15670,0.48530,0.48900,0.08390,0.48440,0.07730,0.19380,0.07510,0.33570,0.07460,0.08280,0.07440,0.13510,0.07400,0.25870,0.07530,0.47670,0.10630,0.07500,0.10180,0.07700,0.09430,0.07380,0.09960,0.07420,0.12930,0.07430,0.14930,0.07430,0.09510,0.09300,0.09440,0.71620,0.11300,0.15510,0.10390,0.20780,0.08450,0.36860,0.14280,0.10250,0.09090,0.08950,0.08550,0.68450,0.08290,0.12550,0.08690,0.17980,0.08860,0.34540,0.11070,0.09660,0.08060,0.08220,0.07450,0.44470,0.07430,0.08330,0.07490,0.13980,0.07540,0.20000,0.07430,0.08470
