420

Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:09,0.36910,0.09150,0.10570,0.08780,0.09130,0.08480,0.12500,0.08220,0.16890,0.08780,0.19310,0.08520,0.30550,0.09940,0.08690,0.32930,0.10270,0.10520,0.11630,0.30240,0.15640,0.09600,0.16710,0.21330,0.21590,0.09350,0.09360,0.33480,0.11700,0.10390,0.10610,0.27150,0.12940,0.08850,0.16200,0.18850,0.09310,0.09090,0.09040,0.23020,0.09270,0.10230,0.09430,0.18590,0.08550,0.09410,0.08710,0.14580,0.17540,0.08460,0.24780,0.08940,0.09880,0.08920,0.12540,0.09520,0.16590,0.08250,0.09140,0.09040,0.15000,0.11580,0.21590,0.12390,0.08810,0.10010,0.10830,0.09360,0.14860,0.10450,0.08990,0.10050,0.11930,0.09970,0.19350,0.11460,0.08690,0.10250,0.09990,0.09690,0.11950,0.10230,0.08530,0.10080,0.08400,0.09350,0.17940,0.10080,0.08770,0.09650,0.09990,0.08170,0.09200,0.10590,0.08590,0.08900
0:02:39,0.56060,0.09130,0.10600,0.08740,0.09210,0.08450,0.15190,0.08190,0.24560,0.08740,0.32950,0.08510,0.42530,0.09940,0.08880,0.49330,0.10330,0.10300,0.13400,0.46330,0.21330,0.09100,0.27310,0.34340,0.28170,0.09290,0.09380,0.47050,0.11650,0.10690,0.11020,0.40840,0.17090,0.08740,0.24230,0.30380,0.09270,0.09060,0.09000,0.32150,0.09210,0.10310,0.09400,0.27020,0.08500,0.08920,0.08700,0.22480,0.22530,0.08420,0.35290,0.08880,0.09820,0.08850,0.14430,0.09490,0.22790,0.08200,0.08980,0.09020,0.18380,0.12670,0.28840,0.14650,0.08750,0.10160,0.12320,0.09220,0.19490,0.11700,0.08810,0.09690,0.13540,0.10940,0.24130,0.12800,0.08680,0.10190,0.10880,0.09980,0.15040,0.11080,0.08450,0.09920,0.08380,0.09800,0.17980,0.10980,0.08790,0.09000,0.09950,0.08130,0.09160,0.10990,0.08600,0.08880
0:05:09,0.72390,0.09090,0.10690,0.08690,0.09350,0.08430,0.18080,0.08150,0.34130,0.08700,0.47600,0.08470,0.53730,0.10070,0.08990,0.65180,0.10390,0.10800,0.15300,0.63600,0.28640,0.09170,0.38470,0.49430,0.34840,0.09360,0.09570,0.59780,0.11620,0.11040,0.11870,0.54730,0.21470,0.08890,0.32300,0.43090,0.09280,0.09090,0.08970,0.40960,0.09370,0.10480,0.09380,0.36020,0.08480,0.08970,0.08680,0.30350,0.28150,0.08390,0.46960,0.08850,0.09820,0.08810,0.16620,0.09450,0.29890,0.08170,0.09120,0.09000,0.21440,0.13960,0.35450,0.16730,0.08780,0.10500,0.14280,0.09210,0.24230,0.13220,0.08900,0.09830,0.15280,0.11930,0.28910,0.14490,0.08680,0.10360,0.11880,0.09680,0.18220,0.12190,0.08440,0.09970,0.08350,0.10400,0.17900,0.11880,0.08730,0.08950,0.09900,0.08130,0.09160,0.11560,0.08710,0.08920
0:07:39,0.86130,0.09080,0.10870,0.08660,0.09560,0.08410,0.21220,0.08140,0.43960,0.08680,0.61170,0.08460,0.65530,0.10300,0.09220,0.80360,0.10540,0.11370,0.17420,0.81110,0.35630,0.09400,0.47840,0.61350,0.41930,0.09480,0.09660,0.72390,0.11630,0.11430,0.13080,0.66920,0.25690,0.09010,0.40110,0.55100,0.09270,0.09150,0.08950,0.50090,0.08740,0.10710,0.09370,0.45800,0.08450,0.09030,0.08660,0.39520,0.33010,0.08360,0.58090,0.08840,0.09920,0.08780,0.19300,0.09440,0.37050,0.08140,0.09270,0.08990,0.24250,0.15370,0.43470,0.19120,0.08830,0.10850,0.16310,0.09210,0.29550,0.14890,0.08970,0.09880,0.17040,0.12960,0.34180,0.16190,0.08670,0.10590,0.12900,0.09710,0.21520,0.13370,0.08460,0.10080,0.08340,0.11050,0.17650,0.12910,0.08750,0.09370,0.09830,0.08140,0.09200,0.12220,0.08600,0.09000
0:10:09,0.99420,0.09060,0.11130,0.08630,0.09800,0.08400,0.24840,0.08120,0.53440,0.08660,0.76200,0.08450,0.76360,0.10470,0.09430,0.94360,0.10690,0.12060,0.19720,0.94590,0.44240,0.09690,0.59320,0.75410,0.48740,0.09570,0.09610,0.84830,0.11630,0.11890,0.14280,0.78390,0.30000,0.09150,0.47920,0.67500,0.09260,0.10380,0.08930,0.58590,0.08670,0.10970,0.09360,0.55370,0.08430,0.09110,0.08650,0.48730,0.38180,0.08330,0.68920,0.08890,0.09990,0.08760,0.21950,0.09420,0.45300,0.08120,0.09420,0.08990,0.27870,0.16730,0.51540,0.21950,0.08970,0.11290,0.18610,0.09300,0.35210,0.16720,0.09030,0.10070,0.18810,0.14210,0.39530,0.17900,0.08690,0.10820,0.13990,0.09760,0.24830,0.14700,0.08520,0.10210,0.08320,0.11690,0.17170,0.13910,0.08550,0.09770,0.09800,0.08150,0.09230,0.12910,0.08520,0.09080
0:12:39,1.10650,0.09050,0.11420,0.08610,0.10050,0.08390,0.28470,0.08110,0.63280,0.08640,0.88060,0.08430,0.86170,0.10700,0.09570,1.04250,0.10850,0.12740,0.21990,1.03580,0.52440,0.09990,0.69250,0.86230,0.55480,0.09710,0.09670,0.94220,0.11650,0.12370,0.15590,0.89280,0.34230,0.09440,0.55680,0.79130,0.09260,0.09260,0.08920,0.67050,0.08690,0.11230,0.09360,0.64530,0.08410,0.09200,0.08650,0.57360,0.43110,0.08320,0.80120,0.08910,0.10080,0.08750,0.24930,0.09410,0.53340,0.08110,0.09580,0.08980,0.31480,0.18210,0.60240,0.24680,0.09040,0.11730,0.20900,0.09390,0.41100,0.18700,0.09150,0.10290,0.20570,0.15450,0.45330,0.19650,0.08730,0.11010,0.15150,0.09830,0.28100,0.16040,0.08570,0.10360,0.08320,0.12360,0.17060,0.15000,0.08660,0.09650,0.09750,0.08190,0.09250,0.13660,0.08520,0.09170
0:15:09,1.19750,0.09060,0.11740,0.08590,0.10290,0.08380,0.32000,0.08100,0.72410,0.08630,0.97680,0.08430,0.95600,0.10940,0.09840,1.13850,0.11030,0.13370,0.24360,1.11750,0.60060,0.10230,0.78030,0.96560,0.62320,0.09810,0.09750,1.03480,0.11710,0.12810,0.17050,0.98880,0.38310,0.09690,0.63800,0.89760,0.09260,0.09330,0.08920,0.75350,0.08680,0.11500,0.09350,0.73040,0.08400,0.09300,0.08650,0.65880,0.47980,0.08300,0.89230,0.08900,0.10190,0.08730,0.28180,0.09390,0.61580,0.08090,0.09980,0.08980,0.35040,0.19660,0.68930,0.27390,0.09040,0.12190,0.23320,0.09520,0.46990,0.21140,0.09280,0.10520,0.22390,0.16800,0.50800,0.21560,0.08790,0.11360,0.16420,0.09890,0.31510,0.17390,0.08650,0.10540,0.08330,0.13040,0.16360,0.16120,0.08470,0.09710,0.09690,0.08220,0.09250,0.14480,0.08520,0.09260
0:17:39,1.26790,0.09050,0.12150,0.08570,0.10610,0.08380,0.35270,0.08110,0.80740,0.08600,1.06430,0.08430,1.04180,0.11200,0.09880,1.21450,0.11230,0.14100,0.26640,1.19690,0.67230,0.10600,0.86650,1.05440,0.69300,0.09970,0.09860,1.11270,0.11730,0.13340,0.18570,1.07390,0.42370,0.09900,0.71580,1.00060,0.09250,0.09400,0.08900,0.83040,0.08630,0.11800,0.09350,0.81160,0.08390,0.09410,0.08660,0.74470,0.53010,0.08280,0.98860,0.08890,0.10290,0.08730,0.31470,0.09380,0.69440,0.08090,0.09850,0.08990,0.38570,0.21220,0.77470,0.30540,0.09120,0.12650,0.25810,0.09680,0.52950,0.23630,0.09400,0.10780,0.24280,0.18070,0.56570,0.23570,0.08870,0.11680,0.17730,0.09920,0.35150,0.19010,0.08690,0.10710,0.08290,0.13720,0.16580,0.17310,0.08530,0.09930,0.09640,0.08260,0.09250,0.15300,0.08520,0.09350
0:20:09,1.32440,0.09040,0.12520,0.08550,0.11040,0.08370,0.39370,0.08110,0.88240,0.08580,1.13730,0.08440,1.12140,0.11470,0.10180,1.27660,0.11450,0.14900,0.29340,1.26440,0.73150,0.10910,0.94950,1.13250,0.75860,0.10110,0.09970,1.17750,0.11770,0.13870,0.20020,1.14860,0.46650,0.10100,0.78960,1.10320,0.09240,0.09470,0.08900,0.90200,0.08630,0.12080,0.09340,0.88460,0.08380,0.09500,0.08650,0.83110,0.58010,0.08270,1.06630,0.08880,0.10440,0.08720,0.34630,0.09380,0.76710,0.08080,0.10360,0.08990,0.42170,0.22880,0.85240,0.33660,0.09230,0.13090,0.28280,0.09810,0.58360,0.25840,0.09510,0.11060,0.26270,0.19410,0.61830,0.25680,0.08970,0.12070,0.18990,0.09980,0.38900,0.20740,0.08750,0.10870,0.08290,0.14450,0.16490,0.18490,0.08390,0.10160,0.09610,0.08310,0.09250,0.16120,0.08520,0.09440
0:22:39,1.36630,0.09060,0.12920,0.08540,0.11470,0.08370,0.43870,0.08100,0.95450,0.08570,1.19930,0.08440,1.19160,0.11740,0.10350,1.32770,0.11670,0.15700,0.32330,1.32310,0.79570,0.11250,1.03560,1.19940,0.82210,0.10290,0.10090,1.28920,0.11810,0.14440,0.21510,1.21630,0.50980,0.10330,0.85740,1.17770,0.09240,0.09550,0.08890,0.97100,0.08730,0.12380,0.09340,0.95140,0.08370,0.09610,0.08660,0.91030,0.62860,0.08280,1.13650,0.08870,0.10560,0.08720,0.38000,0.09380,0.83590,0.08070,0.10270,0.09010,0.45980,0.24690,0.92230,0.36820,0.09320,0.13670,0.30790,0.09950,0.63790,0.28090,0.09640,0.11360,0.28300,0.20760,0.67450,0.27860,0.09080,0.12370,0.20340,0.10040,0.42770,0.22380,0.08810,0.11070,0.08460,0.15170,0.16460,0.19740,0.08420,0.10260,0.09540,0.08360,0.09250,0.16930,0.08520,0.09530
