420

Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:34,0.17170,0.07840,0.09140,0.08430,0.11200,0.07940,0.12370,0.08470,0.09550,0.08680,0.09490,0.08600,0.17050,0.10000,0.09730,0.09050,0.10380,0.09820,0.10230,0.09730,0.09240,0.18570,0.09400,0.09330,0.12980,0.09710,0.10900,0.08920,0.09810,0.11480,0.09920,0.09910,0.09360,0.14840,0.08960,0.09020,0.09010,0.10330,0.07800,0.09300,0.08960,0.08840,0.08300,0.09620,0.08780,0.12300,0.08690,0.09960,0.11950,0.09400,0.11170,0.08860,0.09990,0.08550,0.09890,0.46060,0.09310,0.08570,0.08710,0.07790,0.11400,0.08980,0.10800,0.16060,0.09020,0.08890,0.08410,0.08970,0.08900,0.08710,0.09520,0.08890,0.10370,0.08650,0.09760,0.14070,0.08560,0.08610,0.08390,0.11490,0.08400,0.09080,0.08430,0.08520,0.08390,0.08320,0.08210,0.12660,0.08380,0.08560,0.08300,0.08870,0.08200,0.08880,0.08270,0.08480
0:10:34,0.33640,0.07710,0.12770,0.07730,0.16040,0.07850,0.21310,0.08380,0.09210,0.08580,0.10090,0.08520,0.32420,0.10280,0.12810,0.10100,0.13440,0.09820,0.15530,0.10610,0.08930,0.52930,0.09650,0.11110,0.20290,0.09980,0.12220,0.09550,0.11220,0.10970,0.13200,0.10440,0.09150,0.40240,0.09100,0.10020,0.08970,0.10320,0.07740,0.09440,0.08870,0.08680,0.08290,0.09820,0.08660,0.27570,0.08550,0.09570,0.18890,0.09310,0.16530,0.08730,0.11110,0.08420,0.09890,0.42680,0.09950,0.08730,0.08530,0.07710,0.16580,0.09080,0.14330,0.35660,0.09800,0.09030,0.08420,0.09430,0.09470,0.09330,0.09220,0.08940,0.12650,0.08620,0.11880,0.28310,0.08980,0.08660,0.08340,0.11440,0.08630,0.09300,0.08360,0.08560,0.08310,0.08280,0.08250,0.20470,0.08300,0.08510,0.08250,0.09110,0.08140,0.08900,0.08200,0.08480
0:20:34,0.53720,0.07710,0.17970,0.07750,0.21510,0.07840,0.31940,0.08360,0.09110,0.08540,0.10950,0.08490,0.48550,0.10790,0.16450,0.11160,0.16690,0.10040,0.22030,0.11950,0.08970,0.82270,0.10340,0.13440,0.28530,0.10460,0.13940,0.10280,0.12890,0.11050,0.16380,0.11150,0.09060,0.64920,0.09410,0.11420,0.08980,0.10470,0.07730,0.09720,0.08850,0.08720,0.08260,0.10250,0.08620,0.44140,0.08500,0.10350,0.27550,0.09270,0.22680,0.08680,0.12360,0.08350,0.09980,0.38720,0.10980,0.08700,0.08570,0.07720,0.22200,0.09310,0.18360,0.56420,0.10930,0.09320,0.08440,0.10110,0.10460,0.10160,0.09210,0.09310,0.15620,0.08800,0.14400,0.43560,0.09550,0.08900,0.08350,0.11610,0.09040,0.09730,0.08370,0.08730,0.08270,0.08310,0.08040,0.29000,0.08280,0.08590,0.08240,0.09400,0.08040,0.09180,0.08180,0.08540
0:30:34,0.73390,0.07720,0.23710,0.07760,0.27030,0.07840,0.44080,0.08370,0.09030,0.08530,0.12300,0.08500,0.64120,0.11560,0.20120,0.12300,0.20180,0.10320,0.29540,0.13440,0.09040,1.10040,0.11070,0.16250,0.36610,0.10940,0.16090,0.11410,0.14720,0.11080,0.20040,0.12110,0.08990,0.84830,0.09780,0.13240,0.09010,0.10590,0.07720,0.10040,0.08860,0.08800,0.08250,0.10730,0.08590,0.59140,0.08490,0.11210,0.36020,0.09250,0.29290,0.08660,0.13910,0.08390,0.10140,0.34990,0.12540,0.08700,0.08670,0.07750,0.27910,0.09300,0.22630,0.77000,0.12160,0.09650,0.08500,0.10940,0.11190,0.11080,0.09260,0.09660,0.18980,0.08980,0.16960,0.59060,0.10140,0.09150,0.08400,0.11910,0.09520,0.10340,0.08410,0.09020,0.08250,0.08370,0.08040,0.37710,0.08270,0.08690,0.08260,0.09750,0.07890,0.09550,0.08190,0.08670
0:40:34,0.92440,0.07770,0.28760,0.07800,0.33510,0.07880,0.57110,0.08390,0.09210,0.08570,0.13750,0.08560,0.80130,0.12420,0.24010,0.13740,0.24490,0.10700,0.37150,0.15000,0.09150,1.31070,0.11910,0.18950,0.45600,0.11480,0.18630,0.12420,0.16750,0.11190,0.23850,0.13170,0.08990,1.02590,0.10200,0.14880,0.09040,0.10710,0.07770,0.10440,0.08900,0.08960,0.08270,0.11290,0.08610,0.73970,0.08530,0.12230,0.44210,0.08650,0.36180,0.08680,0.15900,0.08460,0.10480,0.30590,0.14270,0.08730,0.08870,0.07880,0.35190,0.09520,0.27810,0.96760,0.13450,0.10040,0.08670,0.12290,0.12390,0.12080,0.09340,0.09990,0.22450,0.09190,0.19660,0.74370,0.10820,0.09400,0.08480,0.12340,0.10100,0.11050,0.08520,0.09270,0.08250,0.08480,0.08060,0.47490,0.08290,0.08890,0.08280,0.10170,0.07790,0.09980,0.08230,0.08800
0:50:17,1.07520,0.07810,0.34650,0.07870,0.40860,0.07940,0.68700,0.08490,0.09450,0.08810,0.15190,0.08840,0.94040,0.13320,0.29160,0.15200,0.28570,0.11200,0.44650,0.16710,0.09330,1.36130,0.13160,0.21960,0.54880,0.12040,0.20910,0.13590,0.19120,0.11320,0.27990,0.14210,0.09060,1.21480,0.10710,0.16730,0.09080,0.10820,0.07830,0.10930,0.08970,0.09160,0.08330,0.11970,0.08660,0.90310,0.08630,0.13520,0.52400,0.08680,0.43760,0.08730,0.17880,0.08520,0.10720,0.26540,0.16140,0.08820,0.09260,0.08070,0.42400,0.09990,0.33010,1.13800,0.14990,0.10430,0.08800,0.13600,0.13570,0.13180,0.09560,0.10500,0.26100,0.09370,0.22570,0.89320,0.11700,0.09670,0.08640,0.12680,0.10820,0.11790,0.08640,0.09520,0.08250,0.08600,0.08100,0.57820,0.08320,0.09180,0.08320,0.10680,0.07850,0.10470,0.08310,0.08950
1:00:34,1.17770,0.07920,0.38960,0.07960,0.47000,0.08020,0.79330,0.08570,0.09560,0.08820,0.16320,0.08720,1.04820,0.14320,0.33660,0.16720,0.32470,0.11580,0.51580,0.18340,0.09360,1.36410,0.14130,0.24700,0.63420,0.12670,0.23360,0.14830,0.21740,0.11560,0.32080,0.15320,0.09160,1.32140,0.11190,0.18690,0.09120,0.11070,0.07910,0.11450,0.09120,0.09420,0.08430,0.12740,0.08740,1.03840,0.08800,0.14960,0.60430,0.08760,0.51070,0.08840,0.19840,0.08600,0.11000,0.22840,0.17890,0.08970,0.09600,0.08300,0.49040,0.10450,0.38190,1.23940,0.16600,0.11070,0.08960,0.14800,0.14780,0.14340,0.09750,0.11100,0.29540,0.09550,0.25860,1.01040,0.12560,0.10070,0.08800,0.13740,0.11520,0.12530,0.08790,0.09760,0.08280,0.08740,0.08180,0.67030,0.08380,0.09460,0.08050,0.11220,0.07950,0.11040,0.08430,0.09070
1:10:34,1.23220,0.08020,0.43630,0.08060,0.52340,0.08120,0.88970,0.08700,0.09820,0.09030,0.17580,0.08930,1.12290,0.15310,0.37710,0.18250,0.36070,0.12000,0.58000,0.19950,0.09480,1.35020,0.15170,0.27690,0.70580,0.13270,0.25750,0.15960,0.24020,0.11860,0.35950,0.16330,0.09330,1.35710,0.11680,0.20570,0.08660,0.11360,0.08010,0.11930,0.09280,0.09650,0.08570,0.13490,0.08870,1.13170,0.09010,0.16780,0.67950,0.08280,0.57770,0.08960,0.21660,0.08610,0.11270,0.19490,0.19570,0.09140,0.09890,0.08570,0.55190,0.10870,0.43040,1.28650,0.18040,0.11690,0.09120,0.16150,0.15930,0.15420,0.09940,0.11630,0.32940,0.09720,0.28850,1.09450,0.13380,0.10460,0.08950,0.14750,0.12170,0.13270,0.08940,0.09980,0.08140,0.08870,0.08230,0.74550,0.08450,0.09680,0.08060,0.11760,0.08040,0.11600,0.08540,0.09180
1:20:34,1.25470,0.08150,0.48180,0.08180,0.57350,0.08240,0.96850,0.08830,0.10090,0.09320,0.18820,0.09330,1.17150,0.16220,0.41540,0.19700,0.39510,0.12370,0.64010,0.21510,0.09610,1.32720,0.16240,0.30600,0.76930,0.13940,0.28000,0.17070,0.26200,0.12180,0.39770,0.17280,0.09540,1.34890,0.12180,0.22460,0.08660,0.11650,0.08130,0.12450,0.09470,0.09900,0.08740,0.14220,0.09030,1.19500,0.09240,0.18220,0.74710,0.08410,0.63710,0.09110,0.23510,0.08670,0.11560,0.16750,0.21220,0.09360,0.10210,0.08950,0.60760,0.11260,0.47380,1.30210,0.19470,0.12270,0.09320,0.17460,0.17080,0.16510,0.10140,0.12140,0.36010,0.09950,0.31610,1.15490,0.14150,0.10830,0.09130,0.15800,0.12770,0.13970,0.09120,0.10170,0.08170,0.09010,0.08260,0.80950,0.08530,0.09920,0.08170,0.12330,0.08160,0.12130,0.08670,0.09300
1:30:34,1.25850,0.08290,0.52550,0.08330,0.62140,0.08370,1.03610,0.08980,0.10400,0.09640,0.20250,0.09780,1.20380,0.17120,0.45220,0.21030,0.42860,0.12820,0.69540,0.23170,0.09710,1.30640,0.17300,0.33300,0.82670,0.14610,0.30210,0.18150,0.28300,0.12570,0.43440,0.18280,0.09820,1.33290,0.12680,0.24200,0.08670,0.11960,0.08280,0.12970,0.09690,0.10200,0.08960,0.14980,0.09210,1.23600,0.09570,0.19650,0.80560,0.08540,0.69050,0.09270,0.25280,0.08780,0.11850,0.14600,0.22850,0.09600,0.10550,0.09350,0.65740,0.11550,0.51450,1.30290,0.20850,0.12620,0.09480,0.18620,0.18210,0.17570,0.10360,0.12610,0.39050,0.10230,0.34260,1.19680,0.14910,0.11170,0.09320,0.16280,0.13380,0.14660,0.09280,0.10360,0.08180,0.09150,0.08350,0.86520,0.08610,0.10150,0.08260,0.12810,0.08270,0.12640,0.08800,0.09410
