name	location	median_u	median_i	num_u	num_i	all_u	all_i
c61r16	b1A5	0.0719121040488253	18.227202349110094	225	199	[0.022961280277685753, 0.07833193363772274, 0.08424874064394951, 0.11932311415101217, 0.11798898094442817, 0.11775442569047201, 0.08728820250014964, 0.06109561572048966, 0.05065066960468894, 0.044033438265122085, 0.04009945295630643, 0.045646054681871384, 0.0479824144516189, 0.04602795528905163, 0.05234821766395252, 0.056661154440745445, 0.05270101623308253, 0.05544961672908782, 0.1263935134520445, 0.10119855702328324, 0.12344397924159618, 0.06566472207883188, 0.0735955115240426, 0.08371769909934933, 0.09628250878927261, 0.09423459784281706, 0.10395643337712426, 0.05662073868711141, 0.05906500345708722, 0.06135770531724158, 0.09282550817402925, 0.08140988733697724, 0.08120664404351685, 0.046991317331523536, 0.04595708737639411, 0.062468215558064394, 0.03662372897008853, 0.03211723182591667, 0.03269639169359254, 0.040482291257606356, 0.03338319301777942, 0.03537520082780795, 0.047865616556124695, 0.04843497311939154, 0.05377742248938446, 0.06284350320200134, 0.06323877072557352, 0.06962041014690618, 0.07795778446570946, 0.07156036843424335, 0.07244440795449084, 0.09985141216351467, 0.09792708794814214, 0.09600176108705716, 0.07878888837200441, 0.07124894279853533, 0.0786783305883918, 0.11687171490740213, 0.08840313529286302, 0.09235999598020075, 0.04994870829125405, 0.06158416363500504, 0.06337994077771708, 0.04594908646522831, 0.033440667803687714, 0.03539129784715645, 0.07516653195556577, 0.05830189458407206, 0.07002708325068803, 0.10820833631313356, 0.10530596294213786, 0.11072284175896688, 0.08774394109627312, 0.08344627785035676, 0.09372599392118271, 0.05411111832220434, 0.05979631368423328, 0.06521774502953274, 0.11638479089898514, 0.10243458562649023, 0.09529145829404907, 0.04116277601258014, 0.03589272011614828, 0.03928660603484749, 0.03500870008305825, 0.0320386732025775, 0.03581863575939444, 0.04782787534782691, 0.04537579981146373, 0.05213400264904569, 0.23571788575772892, 0.16471929477343294, 0.10368303739144868, 0.06830395868105495, 0.06453641996894782, 0.07621676580475305, 0.05471842437056604, 0.10590145050432762, 0.1059433974627527, 0.0840240467946106, 0.06905720689552336, 0.07533948774384681, 0.07746563235308618, 0.0685889841954319, 0.07057535994618933, 0.10812910567977144, 0.10874644918497003, 0.10488227065447568, 0.08821948043523331, 0.07610015366085514, 0.0778544983711295, 0.09461499284309093, 0.09074330597069778, 0.0873942930571154, 0.07294588771869484, 0.05993191071954177, 0.06940464738478218, 0.06711050001987293, 0.0654039657267661, 0.07332793121260595, 0.06586604847369551, 0.06809342311910603, 0.07530926355642341, 0.040978749176004435, 0.03734273510656241, 0.03482540258524669, 0.11444815363019652, 0.10372153906297785, 0.1025838080203967, 0.08276630733008628, 0.07384166518382909, 0.07593833156695641, 0.039715878142220384, 0.03670502411095509, 0.03726467633311701, 0.11998559499570614, 0.1144162973483104, 0.120195495418739, 0.09181203164590591, 0.11233541435271914, 0.12321272491455251, 0.07785936530877673, 0.08160914689130197, 0.08759389939607638, 0.09306041190656754, 0.07768589849116965, 0.08447096699578374, 0.08444949666119171, 0.0879466179943702, 0.0866392086569235, 0.080180774857702, 0.07496324442372974, 0.07175231533262266, 0.06351506629405329, 0.06132134663663267, 0.07990466005265598, 0.03653986785797568, 0.035940842604633774, 0.0340889515096918, 0.04775835234372338, 0.03912522893805954, 0.04002582656344651, 0.058807891221649956, 0.05416925473059185, 0.044607799871594266, 0.08405058661271103, 0.0694464690490984, 0.07516076751304464, 0.10578606701886216, 0.09142044136972521, 0.08610352215236, 0.07853613184824887, 0.06917932088571468, 0.0719121040488253, 0.08246612054840462, 0.07170476716218016, 0.07580794296830635, 0.081519747509019, 0.0761804753713215, 0.08193755313118808, 0.0712720229304317, 0.03804138510484926, 0.05333542293428086, 0.04899857499771729, 0.0385266809141298, 0.041070958314413125, 0.0383155722442561, 0.03856082910251271, 0.04775774183281635, 0.03618080831223846, 0.0337045051285112, 0.03621078860658668, 0.05116759825382036, 0.0463664895117384, 0.045460325190296934, 0.11765824310563161, 0.11806006556747706, 0.11268286577156568, 0.07563516822926566, 0.11302440142285626, 0.07680950294306269, 0.07293867366691877, 0.07150608650903803, 0.07963146385181691, 0.08107564550794202, 0.06787141286727409, 0.07632597933145586, 0.09641112442963232, 0.08536952578339685, 0.08793143101009022, 0.028461706834149093, 0.0322884481630327, 0.011885274360126142, 0.03253921299155285, 0.028297090634217602, 0.030784481033157274, 0.04499867590844546, 0.04532122349244652, 0.04244147848626703, 0.0843221816541493, 0.08172395586504878, 0.10459290678421984, 0.11174232040301052, 0.09882126779373038, 0.08574197925335227]	[24.713109945305586, 26.169969419572645, 19.646758826680617, 20.157568575964103, 25.412433445147073, 13.122776254046443, 12.685919335782447, 15.789242657929057, 14.610979709868174, 14.858087626045107, 16.29483637928023, 16.97351301232851, 16.076363646081614, 16.977080984301395, 11.912398632505726, 12.269790478889362, 13.659818891945626, 28.63439653426443, 27.27449984054034, 23.011942078607508, 22.0116819902115, 15.187610622208693, 26.869830341946418, 21.005601308777326, 20.817813421763457, 24.63445043100447, 12.903220943388177, 12.375536763117955, 15.006608562018414, 22.77314686953214, 23.734830517330685, 30.829949695399527, 28.453427185786662, 16.717604922562806, 27.166465155597127, 14.819801955305884, 14.524734480488615, 18.302066325973758, 15.067229021936184, 15.238913670119803, 17.081977802207728, 27.146527046055578, 36.697065504024124, 39.33064292152554, 32.047459897372455, 20.138498380598467, 24.73169054290403, 29.219902200835556, 20.19992866852398, 21.078772750485616, 23.64451904705837, 14.557346941781857, 15.086146541668038, 16.915912575771333, 11.864634214131733, 12.380511653760847, 13.958096861695426, 15.758778273134737, 15.204487620883828, 16.63109977601621, 24.01147778254188, 19.642575087397603, 21.998949922610866, 27.554787661494345, 30.005167739174823, 13.852962949088457, 11.038772092246464, 14.47394992613907, 19.106997043465046, 15.343525008513751, 26.826731619897124, 19.2176389595754, 21.661264364982447, 23.304688754215302, 30.287871183466116, 28.7340349319694, 32.00498087598208, 12.777590148407041, 13.360368843858062, 15.907181682441832, 33.24791492497189, 27.703070640721233, 33.252641400339996, 18.227202349110094, 19.576149999160457, 21.205286096192278, 21.105762882095174, 18.856265109440926, 19.982854682618235, 24.697687227942495, 25.74235749510317, 18.34386122604385, 27.17301249388771, 15.007843414224649, 11.847836254365017, 14.980228848321023, 18.618304450872596, 19.8418319331418, 12.37996484203519, 21.063662934054975, 18.972120896376754, 16.084236219006087, 16.554807765996276, 20.59226956650686, 21.89625216234048, 19.851397134850938, 21.503921289028344, 25.886105134119976, 8.763178535308146, 11.74148412990963, 19.27854171651901, 8.494122743129665, 7.523348434078862, 15.36347623955621, 21.895530812250076, 20.52066872085799, 20.595635999026516, 28.86023036554879, 21.818530408141193, 17.762137961177054, 16.30937681123857, 13.336935059455184, 14.611719501789853, 15.96718994296553, 14.281413893490678, 13.695199460913441, 15.142202937768388, 21.25221014241403, 21.239046356630663, 24.35511355816514, 23.666793359950248, 29.730776664696574, 11.271590973946356, 15.896195748774923, 17.74768035337641, 17.20155648402355, 15.917162924068558, 17.915967436773254, 25.85396044321005, 21.460738204413794, 24.831271624594137, 13.36123992949914, 13.125152263898327, 22.109325644127463, 15.663030545438303, 21.122755655549973, 27.89238770645001, 26.053221143275547, 26.2015008125444, 13.508762769232487, 14.10576539599373, 15.286210203730148, 17.46526799647175, 17.13986093393473, 20.16675670162955, 15.541373029883147, 12.601182606718295, 14.52262321476443, 16.945844844692225, 24.465366983366554, 24.716713252556307, 22.110868972274996, 22.456434346907, 27.43979219742509, 14.404997412939831, 19.708846972605883, 17.067154841674295, 25.918035476438156, 27.932047878998777, 15.099977658868864, 14.95531348173712, 17.555388876004677, 12.574545833940432, 11.103209878868233, 11.36280812676515, 25.84601814234484, 27.09340466266856, 8.808280775387603, 12.472766668009069, 18.18991166913005, 30.15047171234465, 13.694646058324793, 13.708123303427776, 16.512908221603894, 13.453903940495046, 13.89117821508786, 15.373464072382632, 23.19593567967758, 12.535496201954754, 15.083572190937248, 25.79480080506009, 27.34075938156165, 34.39429296618651, 19.39874061340014, 11.412768997990156, 18.169498961446198, 16.19168483684336, 15.430379140370034, 16.784808090246596]
c61r18.10L03	b2C8	0.09635088386016044	11.550767870439959	12	12	[0.0990659863690692, 0.0984055614844186, 0.09998861635956545, 0.11263964827842467, 0.11603909038024914, 0.11899421901726931, 0.09429620623590226, 0.04458121547234237, 0.09283323945883754, 0.04899914872403424, 0.04371227048645617, 0.04449102010828946]	[13.398379502993228, 9.922151910822459, 19.17103765387401, 5.8723219087418865, 10.785841028145269, 17.288393571156853, 9.824458309190204, 13.191613507478188, 19.83161152458934, 11.624571525604498, 10.57467372228202, 11.476964215275421]
c61r18.10L09	b2D5	0.4223682616594046	15.456045808728897	12	12	[0.4476895535884543, 0.26141045568040544, 0.36943770107061485, 0.5520298224038181, 0.5684881363623422, 0.5112738716949937, 0.5064958506035995, 0.4106661653479432, 0.434070357970866, 0.2438780021794366, 0.22706315030275445, 0.24426207447421777]	[18.140891773818137, 15.395550736248529, 21.68568633474104, 7.989424499541248, 16.113544968228986, 14.872957297424648, 13.856601034276594, 15.516540881209265, 13.956969409550132, 15.975242696341118, 15.374448336188463, 16.05618426754323]
c71r18.35L04	b1I8	0.13210615428858125	7.006566930564561	15	15	[0.14235621361589407, 0.13210615428858125, 0.12786398865728185, 0.1103022759907806, 0.11227856880597448, 0.12157572228258541, 0.1898956766033463, 0.16879835617614805, 0.14204984782313806, 0.07591239489528646, 0.07730869875298688, 0.0736143677572416, 0.1480646660549757, 0.14494912455213704, 0.1589385628103838]	[7.932194880922513, 5.851011947610254, 7.318676655471453, 7.087646120911281, 7.104681141483315, 8.024682815037387, 5.672987763625555, 6.033532629798079, 7.006566930564561, 7.340326059244491, 6.28497879292997, 8.598652966550288, 5.585089842974641, 4.970462062561512, 4.918937285277986]
c71r18.10L03	b2F5	1.9938279485985462	10.460152952236903	10	10	[2.339972553700701, 2.521540920989499, 2.5784427395482035, 1.9863664745158394, 1.8565110420437787, 1.7156011486830456, 1.6271786163752968, 2.001289422681253, 1.4883400779331002, 2.841008664893067]	[11.871240672730286, 12.19325059730469, 12.134650979056902, 4.9287440091576, 6.906425854133085, 9.543332818587562, 15.89305783166661, 10.218519633529407, 9.236993184939205, 10.701786270944398]
c71r18.10L15	b2G8	0.15179040258041504	7.36066753382398	12	12	[0.1858414970935292, 0.18709993010651965, 0.19380708951829861, 0.1464547623486235, 0.12879610442230582, 0.15712604281220655, 0.10005937639382603, 0.10170568862735435, 0.107857407828775, 0.17029648535253364, 0.18729262316595827, 0.1226701047308385]	[8.130110715345792, 7.346412247951316, 10.772475357677889, 7.489609161724723, 7.308895968083411, 10.03205272153866, 5.598940615980925, 7.3749228196966445, 9.190777237075432, 6.742660473077239, 6.085912904802168, 6.6890406228020325]
c61r18.35L24	b1E2	0.38640428918750475	15.534132479161986	18	18	[0.4509821852091784, 0.39165158437658126, 0.4475973408621446, 0.39826603665545796, 0.38115699399842823, 0.4251437370384164, 0.44738447329623615, 0.4212653373824798, 0.41378874030535207, 0.31035074488017783, 0.27951672740246997, 0.30836696064315644, 0.1590273639084249, 0.1687080096173802, 0.18024955896979375, 0.42287113652639186, 0.37094686198967936, 0.2732329663010558]	[17.593267798904456, 22.1735111418823, 19.134909822864103, 15.527526948589294, 13.30169052545058, 18.359048049761782, 13.786138805244907, 18.030515145143617, 20.053781348720218, 13.54241857377683, 15.540738009734676, 18.994066282026097, 6.672920215724779, 18.060907163676724, 15.153395571425696, 13.299907884968604, 12.96127976515371, 13.787169811522933]
c61r18.10L05	b2D1	0.15637190712544458	13.536923251308247	15	15	[0.14259504785624583, 0.14697614247806556, 0.20036522726221728, 0.09710935466368863, 0.10343260342344532, 0.19230311217978974, 0.17497186930293032, 0.18552013745879814, 0.1931344664688054, 0.16009009656963982, 0.15637190712544458, 0.15687100195376552, 0.07444130905918464, 0.08426036418020495, 0.08237009351764343]	[16.740964752155772, 22.26922104558103, 22.593294748670605, 5.890956295236847, 7.895610983578353, 10.247892952761495, 11.28119719913442, 11.706678282048617, 17.952220572477298, 11.464879369167425, 14.216242281973829, 18.93509619181795, 12.73008408185714, 13.536923251308247, 16.09088758135281]
c61r18.10L21	b2E8	0.3227253884071609	11.933659104991055	15	14	[0.3227253884071609, 0.30149260099294295, 0.2347560930862581, 0.37676367998708843, 0.3633599205538714, 0.35992497844523486, 0.29990075077812584, 0.3037163555493269, 0.32304289196929087, 0.15478774508540588, 0.16163263841190506, 0.16751690576179776, 0.45471247439084034, 0.40961063067428827, 0.4125392701514442]	[7.349159804440373, 10.854419130541078, 15.942824356017136, 12.183932040824837, 22.48207074554303, 7.270791043101083, 14.740942194786815, 18.552224790531028, 9.959575779965657, 8.778620976200727, 12.896606178147692, 11.683386169157272, 11.376152026576797, 12.942071851967958]
c71r18.35L15	b2B1	0.19254842734202884	8.5010895519231	15	15	[0.19855512426129557, 0.19254842734202884, 0.21711992806342367, 0.16281951254836105, 0.16753527828925713, 0.1811483527321914, 0.24500850406663105, 0.23440891630901134, 0.28671016934349286, 0.1028157194362448, 0.10596037028751003, 0.11196380108614927, 0.21549997880615893, 0.2232055783455386, 0.13714244485204374]	[7.383216514131458, 6.90197913251787, 9.202124952552158, 9.341007357603159, 10.024410841216932, 12.321710125407119, 7.6650062847496985, 8.5010895519231, 10.998210294332821, 8.976545101308435, 7.004343092214026, 8.834702225120912, 6.558120122310463, 6.525793707867571, 6.5132521223255]
c71r18.10L11	b2G4	6.349788319682763	16.02258828973929	8	9	[5.940662857771369, 6.345258714240913, 8.329088388874611, 9.07106163966706, 10.23303507345038, 4.111927997121937, 5.593807293126863, 6.354317925124613]	[22.25751146752282, 16.02258828973929, 26.362869484292606, 8.32059716971789, 11.929286363859672, 15.080747637504858, 15.660044208493217, 16.605978780232473, 20.587646427376654]
c71r18.10L24	b2H8	0.14756856700254983	8.780606536404054	12	12	[0.1408529473848362, 0.08696979770655716, 0.14453234549823055, 0.09326399685980577, 0.09612882608482057, 0.09925788461989056, 0.16780105308135665, 0.15322401156088064, 0.16788641870320706, 0.17449117274773432, 0.15060478850686912, 0.18585440931176544]	[11.178607555012505, 7.26032926597237, 8.774634565581193, 7.964909773175105, 8.294307421782314, 10.580453395642172, 12.97876535787685, 9.297208179570733, 10.99506271175603, 7.164491405944687, 7.585408120633243, 8.786578507226917]
c61r18.35L07	b1C3	0.46524631489978135	16.931204243905274	15	14	[0.3853644248202194, 0.5281741206296077, 0.504377708670154, 0.4668347260685009, 0.199790291630708, 0.46524631489978135, 0.5272912658680194, 0.43839594484628724, 0.44956886306218263, 0.6447108503524384, 0.644105389147871, 0.7237047885479397, 0.30156721016740684, 0.3225120638596641, 0.3649383109160545]	[17.190033900354866, 23.81808812979555, 4.777776700312908, 8.8326123426578, 21.647872424134412, 6.077569795430348, 9.655839683188267, 11.473579395118914, 16.9163250875993, 15.461899746118172, 16.946083400211247, 19.012207328513433, 17.742559438599802, 21.32348923374448]
c61r18.10L04	b2C9	0.12788235842311546	14.80907616951593	12	12	[0.13182683146529595, 0.13245243821375124, 0.13071941539675855, 0.1349643656213934, 0.13894431126777157, 0.1459158010906345, 0.1250453014494724, 0.11787661496938347, 0.1203639895051537, 0.05823307308268242, 0.06302196702919834, 0.06498392961259034]	[13.813185887690612, 16.57992060664684, 16.444659529149728, 13.835974026236268, 11.663352158873217, 16.40897897108538, 17.70434763281105, 15.500899881040173, 18.31597400963064, 10.05718522911621, 11.373441884641677, 14.117252457991688]
c61r18.10L14	b2E1	0.13935089433071712	15.275778503177381	12	12	[0.14303799150329943, 0.14744555885327684, 0.14132934856706084, 0.16276907723828093, 0.16869189444864946, 0.17371846862472806, 0.1310162653971262, 0.1286079945868807, 0.1373724400943734, 0.0735788363910019, 0.07771047942020955, 0.08260542454807587]	[24.530689537290282, 21.68420915216555, 23.870496020156615, 14.269087207208576, 17.44308271785263, 15.543614001218737, 13.351465106061191, 14.711318252571282, 16.293963822532636, 10.07423950863976, 13.834414985085692, 15.007943005136024]
c71r18.35L10	b2A5	0.16907497536339217	7.330194493541685	15	15	[0.16907497536339217, 0.17323207442856695, 0.17206295465101154, 0.15062548601428402, 0.14654796721073515, 0.15004897791569682, 0.21917430060490425, 0.18175959125410762, 0.13874416555289573, 0.08919666258360462, 0.09469912624230156, 0.10250847213035513, 0.20421056107185467, 0.1876024192150663, 0.1971257273846747]	[8.763998946901388, 6.502346196774743, 9.272679483444973, 13.102185002483449, 8.679316363840723, 7.330194493541685, 6.6027966858870535, 7.201725707188982, 8.853616538773045, 10.30273169968107, 7.0695471484607815, 7.928893604348248, 4.817297996339746, 5.56461512882162, 6.363238565888098]
c71r18.10L10	b2G3	0.1177465246027084	6.002134142377971	12	12	[0.1273277186206484, 0.12055739219332075, 0.10226129679024426, 0.11493565701209604, 0.10954810364660429, 0.13010379810816594, 0.0636619732633167, 0.06448828149142315, 0.05580549762148534, 0.1314338362595224, 0.1284096179668354, 0.1307688647928539]	[7.115933517355555, 5.925246888507545, 6.079021396248396, 5.560937868280304, 7.574051350556553, 5.480392083161711, 8.56264471451228, 6.189475762272224, 7.4817233133956345, 3.920946362340004, 4.340752218417628, 5.134329714923002]
c71r18.10L19	b2H3	3.3443844636546287	11.174598353754595	9	11	[3.545287078513001, 3.8359374013514635, 3.5255076322649024, 2.925758652056981, 3.256680902536128, 3.3443844636546287, 2.679497066974348, 3.068647809490112, 4.355176157811819]	[10.057444308719948, 13.048149448792275, 19.249222056092478, 6.183975114438178, 8.260297824782059, 11.301551930289108, 2.290891412376593, 11.473162042491, 9.969458253605909, 11.174598353754595, 14.220315076264766]
c61r18.10L02	b2C7	3.1499848762864175	16.886323928696267	12	15	[3.155335639469095, 3.0966620435809187, 3.1446341131037405, 0.9213680914521961, 3.321336215244544, 3.4937022481263535, 3.9092199245177968, 3.190872944569376, 3.1842123403385654, 2.089038555398625, 2.133951531489868, 2.074733400805178]	[24.045555231062465, 20.089675213622098, 18.328119944178333, 16.886323928696267, 13.810345534399113, 18.14746275509995, 14.342733352063128, 15.171826724259402, 19.573661120004004, 12.961781835825265, 13.411269490044504, 17.086479510683947, 11.55947723922366, 13.597458528118654, 17.848396198026858]
c61r18.10L07	b2D3	0.197810923514139	15.654221812206611	12	12	[0.12151673460762263, 0.1402246658117966, 0.25257196461178094, 0.24919807677152278, 0.261910968454138, 0.28485432685053735, 0.20464801598617857, 0.19097383104209945, 0.20983759991245932, 0.10714764119949628, 0.11258328056180186, 0.12165177540079407]	[17.71889261236678, 18.732077339352077, 22.446530034815723, 11.598203763176572, 15.438420789214685, 17.678685849085728, 6.053565398050798, 12.947580756748543, 18.50351578862815, 11.037601061314863, 12.537514652881047, 15.870022835198537]
c61r18.10L24	b2F2	2.2143170429663077	9.811058773037942	10	10	[2.3027691403276918, 2.445419429848935, 2.632093459612849, 2.1258649456049237, 1.5741205222931882, 1.5663246798027333, 1.571705317751927, 1.8907255142714836, 2.4473850214998296, 2.920924133702089]	[9.746866199317932, 10.736649595339575, 12.379780292829155, 6.046836747368573, 9.301037838573476, 9.875251346757953, 14.449696574557985, 8.12248809418538, 9.410757049792254, 12.607370837371167]
c71r18.10L01	b2F3	0.36058264900201137	8.201340662611571	12	12	[0.41013408954219766, 0.4083309715189746, 0.4092426510685503, 0.3257733688491698, 0.29048802591774064, 0.3414233189398718, 0.1840364169117536, 0.19927775028882608, 0.23291723165464753, 0.3797419790641509, 0.4055292393908064, 0.407955522958138]	[8.398415734442846, 8.592846031882642, 6.923320428971442, 8.818304571738837, 8.546379536270607, 13.939738674188133, 6.113342492884521, 7.472722919584029, 11.715245560601247, 5.791582425910696, 5.221546882101565, 8.004265590780296]
c71r18.10L14	b2G7	0.21698700360924178	7.66082535388885	12	12	[0.25207314769270334, 0.25369376411902367, 0.25716917460279226, 0.19522550353749005, 0.20328110302165625, 0.17849638557128017, 0.1254227980793676, 0.13069445638281937, 0.15285971234510512, 0.24699681578415497, 0.23069290419682734, 0.2534689904507984]	[8.360924730568518, 7.528679487825301, 8.966856871652242, 7.423614050019303, 7.196437012876385, 7.114819801400444, 10.63464040505372, 8.35351387688403, 9.07678774671162, 5.708369518444666, 5.94702352680188, 7.792971219952399]
