run	log_tsat	log_tbg	log_eta
best	2.6549738926413666	-5.439712092244132	4.503974905143069
samp_00	2.6851907204445125	-5.466246206898146	4.454008730881149
samp_01	2.720042988193948	-5.310661464249198	4.476755016611304
samp_02	2.7329896522050867	-5.273078681735116	4.413626180119275
samp_03	2.608936874246471	-5.404566365373721	4.402734211789696
samp_04	2.665095653975982	-5.533710424388242	4.521158095320668
samp_05	2.807229133656347	-5.508233544037384	4.401999333123507
samp_06	2.75442672568366	-5.492656111339314	4.471267353772281
samp_07	2.7168046022968713	-5.3376712662864785	4.5065952625882275
samp_08	2.6876509974175793	-5.283804124461084	4.469244196105889
samp_09	2.5800775968175045	-5.556382006152686	4.3163554959150225
samp_10	2.827975635371221	-5.454629992634194	4.49291725224437
samp_11	2.6930189162181755	-5.3396245333515235	4.555448494162876
samp_12	2.5947571182994857	-5.378746626657224	4.5293522395434955
samp_13	2.5557575544088698	-5.587097156491533	4.547485473595792
samp_14	2.666900831227102	-5.479737614458931	4.463911519391432
samp_15	2.7868461359532386	-5.469907529680393	4.330753119627064
samp_16	2.7051385400496617	-5.5935773518960445	4.521987533831977
samp_17	2.938637333799317	-5.509320759003729	4.374798295161564
samp_18	2.6432935252146224	-5.4531785272789275	4.563625156030804
samp_19	2.665613605077917	-5.384181145899642	4.494150678399288
samp_20	2.7404981936247665	-5.488826903394052	4.495864491437646
samp_21	2.5881629790556633	-5.574246239862646	4.595230285427608
samp_22	2.4962886771065644	-5.374207210269082	4.62933063832049
samp_23	2.582848640942304	-5.377615701717314	4.530196900955445
samp_24	2.686272865997095	-5.543063176112861	4.50091440982059
samp_25	2.5167803271444926	-5.397012740552679	4.560681789835395
samp_26	2.705338578403259	-5.47201051020526	4.4441327672519755
samp_27	2.528421354509645	-5.392770075030805	4.471668877033025
samp_28	2.603778516272288	-5.672999739467218	4.596847948873571
samp_29	2.484641959988832	-5.366747286479725	4.748043325839481
samp_30	2.599257765630393	-5.4526029753026135	4.539214131744229
samp_31	2.633609475106384	-5.337837172937752	4.553529654587092
samp_32	2.485010535796458	-5.51145937728082	4.613755089177017
samp_33	2.647955431285353	-5.386123714373614	4.456890975157764
samp_34	2.547894155224514	-5.403172417830992	4.683668390235052
samp_35	2.9383574939963126	-5.485692326347284	4.37082540091586
samp_36	2.6017813315277043	-5.371535682823809	4.629907654118159
samp_37	2.81346226904765	-5.362649762750591	4.533957174736622
samp_38	2.5776493305417993	-5.449718356416821	4.669069116060398
samp_39	2.69430644801731	-5.44171142533298	4.434819520995525
samp_40	2.793800460617467	-5.4510046098388	4.402774143390382
samp_41	2.504303182377042	-5.362091853372964	4.541293275031784
samp_42	2.5996825842641216	-5.402435793877816	4.53622784428016
samp_43	2.5590896946585286	-5.422144670310682	4.525966412508299
samp_44	2.6706396698908677	-5.609291844196975	4.438634471501396
samp_45	2.704783249557109	-5.463550399291949	4.489056824702122
samp_46	2.5392189288373164	-5.462724620113671	4.469851018820603
samp_47	2.53001520865437	-5.368984035982551	4.527452970420879
samp_48	2.5809905130043918	-5.405807342917273	4.552580361134297
samp_49	2.556131887322972	-5.401016625697914	4.515135552358432
samp_50	2.9335073062080044	-5.63159565012751	4.321631228682518
samp_51	2.6381303787083863	-5.432581045351327	4.526993090274285
samp_52	2.7570961124443207	-5.414108971624751	4.5312143826140625
samp_53	2.621816114185865	-5.368592369646841	4.532539801719072
samp_54	2.739404129873017	-5.334349632750374	4.401959510936972
samp_55	2.6749609525952494	-5.5855899183013635	4.453852997835624
samp_56	2.6697857325462313	-5.291240497643555	4.535735428276459
samp_57	2.6601509370068475	-5.539666313656007	4.467595723369271
samp_58	2.55325245201651	-5.27220587877746	4.641679882400129
samp_59	2.5644639143445307	-5.382617110426446	4.666431259331093
samp_60	2.7510045226108377	-5.375603108111993	4.393349521937305
samp_61	2.7011912372635063	-5.593257046435749	4.371780180236922
samp_62	2.6907960518275607	-5.225648811717876	4.419927785844095
samp_63	2.580656381207472	-5.263468673098506	4.645597199385255
samp_64	2.642676710211087	-5.648608988478446	4.534637916656308
samp_65	2.6791579693728536	-5.309274424084671	4.5561654538216905
samp_66	2.702165185268394	-5.456670302393463	4.499725161042912
samp_67	2.658858285339852	-5.435131088754191	4.50219115155361
samp_68	2.7209160640728074	-5.46038900991379	4.471569019042902
samp_69	2.726647244570188	-5.272710252289322	4.4602245323806615
samp_70	2.745471660880663	-5.341832594957095	4.447538789416128
samp_71	2.7132115710594404	-5.51256129118957	4.384503655043799
samp_72	2.81324262454242	-5.539484212697379	4.460070929486881
samp_73	2.4804286784262333	-5.270917392958239	4.694460370953289
samp_74	2.6328784809682912	-5.633593462022794	4.5465112110558925
samp_75	2.6814567405131555	-5.485299237040901	4.594684956632223
samp_76	2.485905177530457	-5.258417860802798	4.668855835584263
samp_77	2.6153920664128334	-5.405765776618608	4.4397050787508245
samp_78	2.7328892223439527	-5.27516169856311	4.423401281003767
samp_79	2.7036910081301793	-5.377384821293438	4.522846406953625
samp_80	2.650611344757162	-5.274260421769281	4.52157469910239
samp_81	2.6501277640106253	-5.304623357314595	4.546051366233332
samp_82	2.5585903061886084	-5.372629568804007	4.6229974953353405
samp_83	2.665272854439686	-5.333451966349686	4.539227119576139
samp_84	2.766910619496336	-5.4271808098082825	4.46403200457553
samp_85	2.60310684528316	-5.7193394399200095	4.508090155602666
samp_86	2.7117738672372655	-5.4978536305441565	4.578220563386921
samp_87	2.498519870181038	-5.611858590849486	4.592324630002834
samp_88	2.5096963469206095	-5.410718211520152	4.60932287398618
samp_89	2.784130912154009	-5.462822198712783	4.466597983292357
samp_90	2.8395191230367396	-5.626825944734398	4.337720682746482
samp_91	2.4596765519742285	-5.532629191795945	4.613226071351284
samp_92	2.495302792041123	-5.709139467864637	4.551810301202752
samp_93	2.7275896378428257	-5.361195786118172	4.396545948312066
samp_94	2.5796614097056523	-5.438640397485493	4.5790067406193975
samp_95	2.660426796642879	-5.491082531302823	4.506034736047403
samp_96	2.6959072384032314	-5.518583905972047	4.557726010690264
samp_97	2.6808567588189094	-5.458533411667703	4.551109342213931
samp_98	2.5455974608973873	-5.426895524401773	4.550047963611326
