name	location	median_u	median_i	num_u	num_i	all_u	all_i
r17.35con10L01	b13D7	11.4155687475	14.2706676986	3	3	[10.5913010944, 11.4155687475, 13.2359660945]	[13.2118763366, 14.2706676986, 15.1360760322]
r17.35wt10L11	b13D6	1.79963331904	19.8559768031	3	3	[1.79963331904, 1.71039497246, 1.82410768536]	[17.1978724095, 19.8559768031, 21.4126309452]
r17.35wt10L10	b13D5	0.00587116512433	0.0348761394918	3	3	[0.00587116512433, 0.00519385339585, 0.00780657313831]	[0.0378005610942, 0.0348761394918, 0.0281615745015]
r17.35wt10L09	b13D4	0.00527331665692	0.344741461832	3	3	[0.00527331665692, 0.00404565465148, 0.00894464455315]	[0.344741461832, 0.344307858799, 0.346625982299]
r17.35wt10L08	b13D3	0.898134870305	23.3116230886	3	3	[1.04265612112, 0.898134870305, 0.889884674035]	[23.1810944052, 23.3116230886, 28.6829484013]
r17.35wt10L07	b13D2	0.00672264640859	0.040909104707	3	3	[0.00511393955773, 0.00672264640859, 0.0132678647254]	[0.040909104707, 0.0412106529644, 0.0331483588809]
r17.35wt10L06	b13D1	1.30533734287	15.4918072044	3	3	[1.32560599813, 1.29261287616, 1.30533734287]	[15.4918072044, 14.7477744388, 17.0907175595]
c71r18.35L07	b2A2	0.0300944140566	2.21928449795	21	12	[0.0335932757246, 0.0305071475354, 0.0300944140566, 0.0285820736314, 0.0294791265321, 0.0278110162275, 0.041421352022, 0.043301332298, 0.0470576770112, 0.0443462827667, 0.0584306023317, 0.0371166496239, 0.0238524735457, 0.0249257333732, 0.02825538969, 0.0271408593818, 0.0328499537332, 0.0126170361949, 0.0948363933921, 0.0274072257466, 0.0212739683005]	[2.04872089665, 2.31148205791, 2.68581733522, 1.79199716539, 2.3894747971, 2.66647696678, 1.51987415885, 2.42492744949, 2.94535997693, 2.127086938, 1.9143844635, 2.07378403806]
c60gal.10L17	b16F4	0.680145579405	11.2911598839	3	3	[0.680145579405, 0.666960506872, 0.800856960161]	[10.2215215686, 11.2911598839, 14.5079155033]
gal.10L03	b15A4	0.137807869976	1.09950657945	3	3	[0.13178544458, 0.137807869976, 0.140198407509]	[0.895186524319, 1.09950657945, 1.31927274748]
r17.35con10L03	b13D9	0.00637153030034	0.0829766896275	3	3	[0.00637153030034, 0.00252090143303, 0.00675992792127]	[0.0881795730617, 0.0829766896275, 0.0769611986526]
r17.35con10L02	b13D8	10.4477139932	13.64868536	3	3	[9.54721940364, 10.4477139932, 13.4843173797]	[13.1375366283, 13.64868536, 16.0602944366]
DJ.c61.L35.05	DJb05	0.00845636842202	0.288512169968	3	3	[0.00845636842202, 0.00828108791144, 0.00969099148167]	[0.298638529662, 0.288512169968, 0.282760660728]
DJ.c61.L35.04	DJb04	0.265281765396	13.3779527655	3	3	[0.307965715952, 0.265281765396, 0.2554977493]	[10.8924455763, 13.3779527655, 19.0726069856]
DJ.c61.L35.07	DJb07	0.0172924201804	4.37206446382	3	3	[0.0203779691342, 0.0172924201804, 0.015929456496]	[6.74728270329, 3.62428828621, 4.37206446382]
gal.10L04	b15A5	0.261319022102	15.1432801831	3	3	[0.261319022102, 0.23980116283, 0.271253959214]	[15.1432801831, 13.964656072, 15.4229234872]
DJ.c61.L35.01	DJb01	0.0142300180273	3.51988207537	3	3	[0.0158861961259, 0.0142300180273, 0.0134586385832]	[3.51988207537, 2.96881152586, 4.55952969742]
35L24.bcA	b6C3	0.0212537888289	0.869146143136	3	3	[0.0212537888289, 0.0173822580598, 0.0235345811009]	[0.779044737205, 0.869146143136, 0.98314769486]
DJ.c61.L35.03	DJb03	0.574769251414	nan	3	2	[0.994777303391, 0.548830061944, 0.574769251414]	[54.4325230172, 65.8027738945]
DJ.c61.L35.02	DJb02	0.0145978348721	8.63849326384	3	3	[0.0153144461721, 0.0142329928588, 0.0145978348721]	[8.48198743948, 8.63849326384, 13.5733269807]
c61.bcE	b6I7	0.0359052237097	1.77179498563	3	3	[0.0366119472837, 0.0354024818194, 0.0359052237097]	[1.32860835571, 1.77179498563, 1.97415206058]
c61.bcD	b6I6	0.128181300955	7.01019731728	6	6	[0.119248592568, 0.137114009342, 0.111999686935, 0.141426790859, 0.107980698927, 0.156158878284]	[5.30433314843, 7.30605995669, 5.77171759661, 8.02897598781, 6.71433467786, 7.97079079764]
c61.bcC	b6I5	0.0560791497625	3.7627684893	6	6	[0.0590284018368, 0.0542986581621, 0.0523197203175, 0.0578596413629, 0.0656733108989, 0.053074962709]	[4.37121461184, 3.49877800742, 4.11450271795, 3.40565503336, 4.02675897119, 3.10266473639]
35L24.bcA	b6C2	0.094789427722	3.62342053202	3	3	[0.094789427722, 0.0538192580491, 0.102121279865]	[3.35780812156, 3.62342053202, 3.89415279342]
DJ.c61.L35.09	DJb09	0.178316427072	nan	3	2	[0.178316427072, 0.163054617067, 0.186616775382]	[44.9145042413, 27.0238359934]
DJ.c61.L35.08	DJb08	0.0943458685537	9.30634299426	3	3	[0.101019130803, 0.0943458685537, 0.0882071573842]	[8.34886051909, 9.30634299426, 10.0403254026]
gal.10L02	b15A3	0.0684931431278	6.74015361349	3	3	[0.0710987623507, 0.0684931431278, 0.0613241143978]	[6.40062971337, 6.74015361349, 6.87789098099]
wt.c61r18.10L10	b4E9	0.0380095280698	6.48883849301	3	3	[0.0380095280698, 0.0363474638685, 0.0425084503726]	[7.78962189416, 6.27819378784, 6.48883849301]
wt.c61r18.10L09	b4E8	0.736915216429	19.1921669957	3	3	[0.77862941751, 0.644654210033, 0.736915216429]	[16.8547543326, 19.1921669957, 38.1146153302]
wt.c61r18.10L06	b4E5	0.167453141236	0.167077118999	3	3	[0.16955591984, 0.167453141236, 0.162408122071]	[0.181958614946, 0.167077118999, 0.0977304555499]
wt.c61r18.10L05	b4E4	0.238892156394	14.2220534488	3	3	[0.266660675683, 0.238892156394, 0.187426648129]	[14.2220534488, 14.7022642418, 8.45016920995]
wt.c61r18.10L08	b4E7	0.701289254297	16.4086297347	3	3	[0.823383920598, 0.701289254297, 0.689534469184]	[16.4086297347, 16.2086490868, 23.7279435484]
wt.c61r18.10L07	b4E6	4.34935962057	15.4160786465	3	3	[4.34935962057, 2.45209152308, 5.23508685156]	[15.4160786465, 9.21072263365, 19.3611228807]
wt.c61r18.10L02	b4E1	0.385601232903	25.604103395	3	3	[0.501384120929, 0.300937164472, 0.385601232903]	[30.9446692592, 25.604103395, 19.7556771061]
wt.c61r18.10L04	b4E3	0.167059908304	17.466589696	3	3	[0.167059908304, 0.166078143996, 0.179537642648]	[15.7668318215, 20.2484947559, 17.466589696]
wt.c61r18.10L03	b4E2	0.00405889825592	0.442720635599	3	3	[0.00405889825592, 0.00557217831021, 0.00317687510811]	[0.442720635599, 0.345073863995, 0.479983153607]
c65r18.10L11	b9G8	0.054863076906	0.0846932180502	3	3	[0.0519006530036, 0.054863076906, 0.0578401119308]	[0.0831530852546, 0.0846932180502, 0.105087196275]
c65r18.10L12	b9G9	0.0387551223091	0.0381712785398	3	3	[0.0422125352877, 0.0383009756016, 0.0387551223091]	[0.0503951738179, 0.0381712785398, 0.0317209219762]
c71gal.10L03	b15H9	nan	18.4410008181	2	3	[16.5890811696, 19.3717621348]	[16.9708029648, 18.4410008181, 22.0162867159]
c71gal.10L02	b15H8	2.78758260765	18.9382715168	3	3	[2.94236246357, 2.78758260765, 2.77138902244]	[21.972223117, 18.9382715168, 18.5921321654]
c65r18.10L05	b9G2	0.0525770943641	0.0803059689917	3	3	[0.0525770943641, 0.0553012211166, 0.0517219188281]	[0.0800151837052, 0.0803059689917, 0.0892590528149]
c61gal.10L21	b15H4	5.73760563363	32.0113541036	3	6	[5.10992808446, 5.73760563363, 6.39978978359]	[32.0113541036, 31.3075312421, 36.8105411762, 32.0113541036, 31.3075312421, 36.8105411762]
c71gal.10L01	b15H7	2.54028851109	15.8664032035	3	3	[2.40177811786, 2.71072266176, 2.54028851109]	[13.1796936816, 15.8664032035, 22.1474509701]
c65r18.10L04	b9G1	0.0581160193671	0.119728337999	3	3	[0.0690927437332, 0.0581160193671, 0.0573572005839]	[0.159589003408, 0.10958859414, 0.119728337999]
c61gal.10L18	b15H1	3.20433455138	24.5103047656	3	6	[2.93599054298, 3.20433455138, 3.55064782219]	[24.5103047656, 23.7566397368, 31.3292724959, 24.5103047656, 23.7566397368, 31.3292724959]
c65r18.10L10	b9G7	0.0111915268132	nan	3	2	[0.0117293753323, 0.0111915268132, 0.010785602881]	[0.0125509573248, 0.00465976918972]
c61gal.10L20	b15H3	6.59048430925	28.6029982655	3	6	[5.63573909398, 6.59048430925, 8.15928932923]	[26.3746837048, 28.6029982655, 31.6245836758, 26.3746837048, 28.6029982655, 31.6245836758]
c61gal.10L19	b15H2	nan	28.2322507526	2	6	[16.998553677, 20.5161276481]	[28.2322507526, 27.7941278529, 29.2035893308, 28.2322507526, 27.7941278529, 29.2035893308]
oc0.35L08	b5F9	0.471469650756	nan	3	2	[0.503963901852, 0.471469650756, 0.432509908253]	[0.00460358717811, 0.00393636243741]
oc0.35L07	b5F8	0.0675559157065	0.00352683376008	9	3	[0.0849663163985, 0.0968128920577, 0.110854192546, 0.0662270491592, 0.0675559157065, 0.0663240484941, 0.103732831287, 0.0521012282087, 0.0625625962404]	[0.00258815514651, 0.00367295273303, 0.00352683376008]
