run	log_tbg	log_alphap	log_betap	b14D6_log_P	b14D6_weight	b14D7_log_P	b14D7_weight	b14D8_log_P	b14D8_weight	b15A2_log_P	b15A2_weight	b15A3_log_P	b15A3_weight	b15A5_log_P	b15A5_weight	b15A6_log_P	b15A6_weight	b15A7_log_P	b15A7_weight	b15A9_log_P	b15A9_weight	b15B1_log_P	b15B1_weight	b15B2_log_P	b15B2_weight	b15B3_log_P	b15B3_weight	b15B4_log_P	b15B4_weight	b15B5_log_P	b15B5_weight	b15B6_log_P	b15B6_weight	b15B7_log_P	b15B7_weight	b15B8_log_P	b15B8_weight	b15B9_log_P	b15B9_weight	b15C1_log_P	b15C1_weight	b15C2_log_P	b15C2_weight	b15C5_log_P	b15C5_weight
fit	-5.821840333101084	5.166191923159755	0.14959265739307084	-5.155694675723314	1.0	-5.150682473207262	1.0	-5.187031389474522	1.0	-6.581133360683236	1.0	-5.614742260079443	1.0	-4.167914860515196	1.0	-3.228060824503529	1.0	-3.67697806191349	1.0	-6.46640873077773	1.0	-10.603001385177034	1.0	-8.116469495202901	1.0	-6.873993150025237	1.0	-2.544650652965365	1.0	-4.0965135412911575	1.0	-10.245497831304267	1.0	-4.069998414810555	1.0	-6.833522718585422	1.0	-10.22216945397538	1.0	-5.671909464193591	1.0	-7.084536846683401	1.0	-5.186657736545659	1.0
samp_00	-5.6854326254889616	5.3939069735300365	0.06634604791298095	-5.1754628959121165	1.0		0.0		0.0	-6.649027655925216	2.0	-5.643316141165189	2.0		0.0	-3.220523936446826	1.0	-3.6612302155373966	1.0		0.0		0.0	-8.248581581707132	3.0		0.0	-2.539066450848734	2.0	-4.088151354346483	2.0		0.0	-4.071811781097888	1.0	-6.911259861702804	1.0	-10.382592582755754	1.0	-5.697731945977921	1.0	-7.1739842861531375	1.0	-5.212596774465107	2.0
samp_01	-5.8623473938754485	4.8598890025924435	0.2608205160266993	-5.123287566856062	1.0		0.0	-5.15574392596128	2.0		0.0		0.0	-4.163633398263492	1.0		0.0	-3.703633806878579	1.0	-6.386603992638563	1.0	-10.420541747304858	1.0	-7.976784260534507	1.0	-6.782255620712652	3.0	-2.5564604956719412	1.0	-4.108600384743614	2.0	-10.028797197994873	1.0	-4.0672860097931505	2.0		0.0	-10.026649839027444	1.0		0.0	-6.983736226947221	2.0	-5.146657706302058	1.0
samp_02	-5.163155239642518	5.530602334528898	0.08150207635300168	-5.229697253176103	1.0	-5.221219861032052	1.0		0.0	-6.786798846537802	2.0	-5.721544606808954	1.0	-4.193334616760186	2.0		0.0	-3.66861490694052	2.0		0.0		0.0	-8.486778159728493	1.0		0.0		0.0	-4.10490587801119	2.0	-10.66221157743436	1.0	-4.092784693553204	2.0	-7.0759820363433015	1.0		0.0	-5.781242145746815	1.0	-7.37032071867748	2.0	-5.26921911338641	2.0
samp_03	-5.8588017666752545	4.952305592453481	0.21016089946219363	-5.126734600862666	1.0	-5.123976401820745	2.0		0.0		0.0		0.0	-4.160319079302696	3.0	-3.2350763383368055	1.0	-3.691051392064806	1.0		0.0	-10.458864677081158	1.0	-8.004377744707625	1.0	-6.798980974364852	1.0	-2.5506746285415542	1.0	-4.100104179103158	2.0	-10.073649694563365	1.0	-4.063660714541913	1.0		0.0	-10.067307597783632	3.0	-5.6361990803223465	1.0	-7.002995307417169	1.0		0.0
samp_04	-5.362916474787955	5.495012294523732	0.03831977884667214	-5.196118776826006	2.0		0.0	-5.22653223744276	2.0	-6.713872378804547	1.0	-5.674679424940076	1.0	-4.177539657938062	1.0	-3.220766257507133	1.0	-3.6596622860092882	2.0	-6.591199347981751	2.0		0.0		0.0		0.0	-2.5388155978318063	1.0	-4.090861785205946	3.0		0.0	-4.078220258034821	2.0	-6.990576129974055	1.0		0.0	-5.730569326400757	2.0		0.0		0.0
samp_05	-5.831700310001821	5.256495143398023	0.028495177813447774		0.0		0.0	-5.1577327011439555	2.0	-6.554288370948678	2.0	-5.58249819559412	2.0	-4.147248938206697	1.0	-3.213464919921919	2.0	-3.6538773724016895	3.0	-6.4387919436943	1.0	-10.573223227708072	1.0	-8.087854277069471	2.0	-6.842170896174009	2.0	-2.5356094368809594	1.0	-4.071455741840084	1.0	-10.209449407278598	1.0		0.0		0.0		0.0		0.0		0.0		0.0
samp_06	-6.185625554519821	5.0761803589597205	0.13567629775452963		0.0	-5.116754123552251	3.0		0.0	-6.512519485565279	1.0	-5.57017240902726	1.0		0.0	-3.223536632895174	2.0	-3.6719630817854636	2.0		0.0	-10.470381420337658	1.0	-7.9805154047760505	2.0	-6.784666273532848	1.0		0.0	-4.084298666440822	2.0		0.0	-4.0547609855754825	2.0		0.0	-10.04442098167698	1.0	-5.625770396922567	1.0	-6.993577073669791	1.0	-5.150736614896332	1.0
samp_07	-5.478969532430691	5.07608774102167	0.28360031885976744	-5.201408692481295	1.0		0.0	-5.234607801552447	1.0		0.0	-5.670372166627195	2.0	-4.199996270877817	2.0	-3.2494698362198875	1.0		0.0	-6.5278303569974865	2.0		0.0	-8.22386048962624	1.0		0.0		0.0		0.0	-10.363930809015718	2.0		0.0	-6.905151519261862	1.0	-10.311634892428044	2.0	-5.7336202022223945	2.0	-7.168258739219754	2.0	-5.2283342407895095	2.0
samp_08	-5.356428135459213	5.24389537049464	0.13350765370065135	-5.181835237536201	1.0	-5.17656353531802	2.0	-5.213776666486913	1.0		0.0		0.0	-4.178110820593059	1.0	-3.2296928478816094	1.0	-3.6782367864466425	1.0	-6.531522674202872	2.0		0.0		0.0	-6.979427855175674	1.0	-2.5450027098457335	1.0	-4.1031351808229495	1.0	-10.400996767247507	2.0	-4.079216039980515	2.0	-6.916916961133104	2.0	-10.340705679373134	1.0	-5.713606096224812	2.0		0.0		0.0
