run	log_tbg	log_alphap	log_betap	b3C7_log_P	b3C7_weight	b7D8_log_P	b7D8_weight	b7D9_log_P	b7D9_weight	b7E1_log_P	b7E1_weight	b7E2_log_P	b7E2_weight	b7E3_log_P	b7E3_weight	b7E4_log_P	b7E4_weight	b7E5_log_P	b7E5_weight	b7E6_log_P	b7E6_weight	b7E7_log_P	b7E7_weight	b7E8_log_P	b7E8_weight	b7E9_log_P	b7E9_weight	b7F1_log_P	b7F1_weight	b7F2_log_P	b7F2_weight	b7F3_log_P	b7F3_weight	b7F6_log_P	b7F6_weight	b7F7_log_P	b7F7_weight	b7F8_log_P	b7F8_weight	b7G1_log_P	b7G1_weight	b7G2_log_P	b7G2_weight	b7G3_log_P	b7G3_weight
fit	-7.112365320380544	3.0514719403528674	0.20047013286947213	-4.336597307808572	1.0	-2.9579582553591246	1.0	-5.461699046970058	1.0	-8.474157304903144	1.0	-4.719400840082793	1.0	-5.828684731937949	1.0	-9.69634855857672	1.0	-2.098502043703872	1.0	-10.587650782611052	1.0	-4.483933953851621	1.0	-8.86211063077945	1.0	-10.342750940897872	1.0	-4.388306861905089	1.0	-3.2784935858551605	1.0	-11.266042642332982	1.0	-8.3900677626889	1.0	-5.9914831399938695	1.0	-2.424251520943044	1.0	-5.250566068864965	1.0	-7.255770852725609	1.0	-9.253700945998261	1.0
samp_00	-7.052969017668349	3.1606427270105724	0.14173233541073435		0.0	-2.9587918834322506	1.0	-5.483157804818534	1.0	-8.516743521088687	2.0	-4.736512291570315	1.0		0.0	-9.750200150072416	3.0	-2.0815090685348347	1.0	-10.6355378799249	2.0		0.0		0.0	-10.413396934201586	3.0	-4.404000243420719	1.0		0.0		0.0	-8.428545179666429	1.0	-6.015390694584835	2.0		0.0	-5.271393047244134	1.0	-7.284041863249232	2.0		0.0
samp_01	-6.51631890708653	3.1026266383342116	0.12979343832614393	-4.324791005546835	1.0	-2.9418996776114357	1.0	-5.455135374132843	3.0	-8.58595593505476	2.0	-4.70870804608722	1.0	-5.8254821478752365	2.0		0.0	-2.0768418115474265	1.0		0.0		0.0	-8.988167723007205	2.0		0.0		0.0		0.0	-11.453782332696008	1.0	-8.468708790587462	1.0		0.0	-2.40468782007687	2.0	-5.242602162214758	2.0	-7.270849463888178	1.0	-9.41725856925848	1.0
samp_02	-7.218850606951381	2.790051246498663	0.4071624879990878	-4.328746226675813	1.0	-2.981495220832723	1.0	-5.442394968626891	1.0	-8.424157503894095	1.0	-4.7085556097877586	2.0		0.0	-9.630237225490392	2.0	-2.1685474999820364	1.0	-10.529885674242026	1.0	-4.477685671453439	1.0	-8.8064728710349	1.0	-10.251200873079057	1.0	-4.379882761504212	3.0	-3.299708758577115	1.0	-11.182313577684031	2.0	-8.345517381473254	1.0		0.0		0.0		0.0		0.0	-9.18698780277362	1.0
samp_03	-6.107020453836508	3.3138070713147965	0.10424060551086317	-4.397439270614915	2.0	-2.9769534463371747	1.0	-5.547523114428733	1.0	-8.861566074933124	4.0		0.0	-5.925334919843191	1.0	-10.072168371738902	2.0	-2.072901716393254	1.0		0.0		0.0	-9.26346651745207	2.0	-10.85402889769115	1.0		0.0		0.0		0.0		0.0	-6.088191857819033	1.0		0.0	-5.331443141317913	2.0	-7.405725636742907	2.0	-9.716556774035398	1.0
samp_04	-6.992877678401442	3.0117491929635714	0.16278288132551		0.0	-2.933342135040125	2.0		0.0		0.0	-4.684129583746271	1.0	-5.791650396155622	2.0		0.0	-2.0845732908339003	2.0	-10.545469557829497	1.0	-4.449480188894411	1.0	-8.832780742492991	4.0	-10.315731403321951	1.0	-4.35405623718711	2.0	-3.2513520205559523	1.0		0.0	-8.357265882413776	1.0		0.0	-2.4060133418457474	2.0		0.0	-7.218763679331289	1.0		0.0
samp_05	-8.221365869729695	3.1819014644690666	0.05114568890328949	-4.315404651653636	1.0	-2.927720424330138	2.0	-5.4423832737998055	1.0	-8.350149659670361	1.0		0.0	-5.807557294399368	2.0	-9.477448272453534	1.0	-2.053842543597909	3.0	-10.394229453832411	5.0	-4.460491243513655	1.0	-8.710391446976228	1.0		0.0	-4.367219132579308	1.0		0.0	-10.872018061849023	1.0		0.0	-5.9731385384573485	1.0		0.0		0.0		0.0		0.0
samp_06	-6.802040127742585	2.4840257395510337	0.8657680647522309	-4.424279843685463	1.0	-3.111049341186808	1.0		0.0		0.0	-4.802713850805696	2.0		0.0	-9.85247841000077	3.0		0.0		0.0	-4.576055231777703	2.0	-9.003942837223475	2.0	-10.553191810264495	1.0	-4.475009124479088	4.0	-3.4263121404979473	1.0	-11.454654542399902	1.0	-8.498912829333065	1.0	-6.053622987069413	1.0		0.0	-5.3204879487853045	1.0		0.0		0.0
samp_07	-6.0486177058816315	3.627953593960456	-0.07588437001663836	-4.426868264027054	4.0		0.0	-5.6003720523231255	1.0	-9.001624092991245	1.0		0.0	-5.984136968704791	1.0		0.0	-2.0302919377885646	2.0		0.0		0.0	-9.401130893008817	3.0	-11.000011971013505	2.0		0.0	-3.291476751624593	2.0		0.0		0.0		0.0	-2.3842675411985024	1.0		0.0	-7.4895722305252574	2.0	-9.859780378325215	2.0
samp_08	-8.329730380787067	0.7869652804293521	2.2102287608377083	-4.292033029422102	1.0	-3.1140898872537672	3.0		0.0		0.0	-4.659215993263111	2.0		0.0	-9.32632716035859	1.0		0.0	-10.223562374131648	2.0	-4.444173797080824	1.0	-8.57613776457886	2.0		0.0	-4.340798790351886	1.0	-3.3932233048691978	1.0		0.0	-8.167199597350018	2.0	-5.87493122099015	1.0		0.0		0.0	-7.108133746756007	2.0	-8.900999602812593	2.0
samp_09	-7.084787472473699	3.0723587642497923	0.091567177087106	-4.292654524429722	1.0		0.0	-5.416645694308152	1.0		0.0		0.0		0.0	-9.63529751173857	1.0	-2.0630539472148137	2.0	-10.524202162763101	1.0	-4.438702609834402	3.0	-8.80766127314244	2.0	-10.271337798410096	1.0	-4.3442301779012045	1.0	-3.236260162019629	1.0	-11.194492216904248	1.0	-8.339469198738792	2.0		0.0	-2.3872865027058197	1.0	-5.205837820452724	1.0		0.0	-9.195014735916638	2.0
samp_10	-7.612386942000443	2.833023062352145	0.2280769287695508	-4.259048960042149	2.0		0.0		0.0	-8.298418017088206	2.0		0.0	-5.734130553616056	1.0	-9.456497121706906	2.0	-2.0995649133804593	2.0	-10.368788254332918	2.0	-4.406176674872767	1.0	-8.666582343499202	1.0		0.0	-4.310045356782312	2.0	-3.2292382579019594	1.0	-10.93040163605472	2.0		0.0		0.0		0.0	-5.161514783004002	1.0		0.0	-9.017979657426078	2.0
