run	log_tbg	log_alphap	log_betap	b1A1_log_P	b1A1_weight	b2C6_log_P	b2C6_weight	b2C7_log_P	b2C7_weight	b2C8_log_P	b2C8_weight	b2C9_log_P	b2C9_weight	b2D1_log_P	b2D1_weight	b2D2_log_P	b2D2_weight	b2D3_log_P	b2D3_weight	b2D4_log_P	b2D4_weight	b2D5_log_P	b2D5_weight	b2D6_log_P	b2D6_weight	b2D7_log_P	b2D7_weight	b2D8_log_P	b2D8_weight	b2D9_log_P	b2D9_weight	b2E1_log_P	b2E1_weight	b2E3_log_P	b2E3_weight	b2E6_log_P	b2E6_weight	b2E7_log_P	b2E7_weight	b2E8_log_P	b2E8_weight	b2E9_log_P	b2E9_weight	b2F1_log_P	b2F1_weight	b2F2_log_P	b2F2_weight	b1B8_log_P	b1B8_weight	b1B9_log_P	b1B9_weight	b1C1_log_P	b1C1_weight	b1C2_log_P	b1C2_weight	b1C3_log_P	b1C3_weight	b1C4_log_P	b1C4_weight	b1C5_log_P	b1C5_weight	b1C6_log_P	b1C6_weight	b1C7_log_P	b1C7_weight	b1C8_log_P	b1C8_weight	b1C9_log_P	b1C9_weight	b1D1_log_P	b1D1_weight	b1D2_log_P	b1D2_weight	b1D3_log_P	b1D3_weight	b1D4_log_P	b1D4_weight	b1D5_log_P	b1D5_weight	b1D6_log_P	b1D6_weight	b1D7_log_P	b1D7_weight	b1D8_log_P	b1D8_weight	b1D9_log_P	b1D9_weight	b1E1_log_P	b1E1_weight	b1E2_log_P	b1E2_weight	b13G3_log_P	b13G3_weight	b13G4_log_P	b13G4_weight	b13G5_log_P	b13G5_weight	b13G6_log_P	b13G6_weight	b13G8_log_P	b13G8_weight	b13G9_log_P	b13G9_weight	b13H1_log_P	b13H1_weight	b13H2_log_P	b13H2_weight	b13H3_log_P	b13H3_weight	b13D7_log_P	b13D7_weight	b13D8_log_P	b13D8_weight	b13D9_log_P	b13D9_weight	b13E1_log_P	b13E1_weight	b13E2_log_P	b13E2_weight	b13E3_log_P	b13E3_weight	b13E5_log_P	b13E5_weight	b13E7_log_P	b13E7_weight	b13E8_log_P	b13E8_weight
fit	-5.502022795743435	6.721359554600321	-0.042746395868728256	-4.362041103105229	1.0	-8.163880746823777	1.0	-1.5311809271909775	1.0	-5.241789692032552	1.0	-4.934204201756605	1.0	-4.74395819954341	1.0	-7.821968785534118	1.0	-4.4893767547350665	1.0	-5.582589732936866	1.0	-3.717686410869395	1.0	-11.170829083660887	1.0	-12.091993675066867	1.0	-5.9505257224783765	1.0	-11.011220126347824	1.0	-4.843979382823902	1.0	-10.676861366531545	1.0	-5.891348618608104	1.0	-6.094351926900566	1.0	-4.009039323749906	1.0	-5.414555023512164	1.0	-11.921340182280645	1.0	-1.9521902246585463	1.0	-10.969689552215442	1.0	-8.883692249817921	1.0	-10.499839085110452	1.0	-5.839474816717195	1.0	-3.6139967899694656	1.0	-8.128446125783169	1.0	-10.674485029381447	1.0	-11.624757205956254	1.0	-9.768253236549608	1.0	-10.96000312439507	1.0	-10.17846273502217	1.0	-7.862384826458484	1.0	-7.999738634970031	1.0	-3.1734172861107846	1.0	-11.669764177518188	1.0	-6.2682995166407105	1.0	-6.81026944113918	1.0	-10.782021110805845	1.0	-8.616973314607938	1.0	-4.428615254664336	1.0	-10.971558253799454	1.0	-3.8087960613834095	1.0	10.373220620380588	1.0	1.2964768244139089	1.0	0.8983378298315294	1.0	1.5523579073646319	1.0	-3.094208001987052	1.0	1.638356327279769	1.0	-2.6843915793268405	1.0	0.0735426309274118	1.0	-3.2333723317115095	1.0	0.5943146516865664	1.0	0.3629252536507813	1.0	-11.922931355208508	1.0	6.830314215403109	1.0	0.8747673706964053	1.0	0.9451622949542619	1.0	0.800705577595126	1.0	0.8804231267223535	1.0	8.136530002074538	1.0
samp_00	-5.358246074495091	7.088451199770283	-0.052543193428973796	-4.370633942750491	1.0		0.0	-1.5317881369847934	1.0	-5.2559148266127975	1.0	-4.951179399052761	4.0		0.0	-8.082508369087783	2.0	-4.499815236141704	1.0	-5.605074382104389	1.0	-3.7213023774581027	4.0	-11.515444660284825	1.0	-12.465667391090532	2.0		0.0	-11.367859220709695	1.0		0.0		0.0		0.0	-6.1457651119457815	1.0	-4.0097330033761605	3.0	-5.43869593723652	1.0	-12.284217297945416	1.0		0.0		0.0	-9.230878393686911	1.0		0.0	-5.872371120509231	2.0		0.0		0.0	-11.051514171416805	1.0	-11.990557650408359	1.0	-10.135850793496308	4.0	-11.326408296207115	1.0	-10.55728410977984	3.0		0.0	-8.302885017773125	1.0		0.0	-12.036922973753201	1.0		0.0		0.0		0.0		0.0	-4.437787295414199	2.0	-11.354768106953802	2.0		0.0		0.0	1.2969080309192762	2.0	0.8981062068670399	5.0	1.551116852438747	1.0	-3.093994854007451	2.0	1.6367580286000176	1.0	-2.683203322965497	1.0	0.07322391830011928	1.0	-3.234190392890054	1.0		0.0	0.3625382416564124	1.0		0.0		0.0	0.8748495586796775	2.0	0.9455141472566767	1.0		0.0		0.0		0.0
samp_01	-5.497377022914893	6.709268318418785	-0.031147362212013717	-4.362941949995235	2.0	-8.16641772420784	3.0	-1.5313137092769111	1.0	-5.243939701919788	1.0	-4.935588502297102	2.0	-4.745325451449044	1.0		0.0	-4.490352306922521	1.0	-5.585303837504557	1.0	-3.718230860640325	2.0		0.0		0.0	-5.953738193489051	2.0	-11.011147871632566	3.0	-4.845245385896018	1.0	-10.676678324037182	2.0	-5.894329857564938	3.0	-6.097651496378415	1.0	-4.009925548893926	1.0		0.0	-11.921243939178721	1.0		0.0		0.0	-8.885410228329446	1.0		0.0	-5.842605830247875	2.0		0.0		0.0	-10.674768583171566	1.0		0.0		0.0	-10.960054139370348	1.0	-10.179061410908648	1.0	-7.866191675074181	1.0	-8.002982555140155	2.0	-3.173775710163739	1.0		0.0	-6.27197512221392	1.0		0.0	-10.782290930064994	1.0	-8.619822457169771	1.0		0.0	-10.971803499960677	3.0		0.0	9.902790001686304	1.0	1.2958746754503025	1.0	0.8983977585905094	3.0	1.5507470134184684	3.0		0.0	1.6370303521843204	1.0	-2.684718754907302	1.0	0.07348486298933883	1.0		0.0		0.0		0.0		0.0	4.031820395948298	3.0		0.0		0.0	0.8008815605498313	1.0	0.8803970882243292	3.0		0.0
samp_02	-5.63373868101744	6.697783313748801	-0.04909737595140942	-4.358394619927739	2.0	-8.11127343670853	1.0	-1.5309138194595409	1.0		0.0		0.0	-4.738845459125489	1.0	-7.776092863459632	3.0	-4.485225207504088	2.0	-5.571113017601035	2.0	-3.715757398858389	1.0	-11.139104892646257	2.0		0.0	-5.934377231532991	3.0		0.0	-4.8381243300823815	2.0	-10.645223605360684	1.0		0.0		0.0		0.0		0.0	-11.883090550338917	1.0	-1.9519065766980763	1.0	-10.932002152233755	3.0	-8.826691059855484	1.0		0.0	-5.824850750077308	1.0		0.0	-8.068427898982515	1.0	-10.62555703798553	1.0		0.0	-9.714939335422761	4.0	-10.917737104156828	1.0	-10.124490174684436	2.0	-7.802755968462408	1.0		0.0	-3.1722977977635054	1.0	-11.62946055024942	1.0	-6.246943326811957	1.0		0.0		0.0	-8.543655093252708	1.0	-4.4247323560303755	1.0	-10.921506955512555	1.0	-3.806682320671354	1.0	10.879323491258297	1.0		0.0		0.0	1.5504614086236868	1.0	-3.093286993589452	1.0	1.6386671701410944	2.0	-2.6838334018802525	2.0		0.0		0.0		0.0	0.3628301362541554	2.0	-11.8813883671914	2.0	7.556284615115344	1.0	0.8745569267372718	1.0	0.9451868593499942	3.0		0.0		0.0	8.817350113023693	1.0
samp_03	-5.683261575787426	6.5082096771227205	-0.011027956798809213	-4.356810616491931	1.0		0.0	-1.5308881313634288	2.0	-5.231823162405695	1.0	-4.92306791877439	1.0	-4.737869521286298	1.0	-7.687573698762031	1.0	-4.482867750762373	1.0		0.0	-3.7157917617036285	1.0	-10.995271705890048	1.0		0.0	-5.921664276039488	3.0	-10.822201381513429	2.0	-4.833574564948188	2.0	-10.50412621666235	2.0	-5.863198124964346	3.0		0.0	-4.009448430045202	2.0		0.0	-11.730082350759826	2.0		0.0		0.0		0.0	-10.287559112310579	3.0		0.0	-3.6114584395271354	2.0	-7.96211261058701	1.0	-10.460872813880805	2.0		0.0	-9.559663925677944	1.0	-10.760052592660845	1.0		0.0	-7.708881753383721	2.0	-7.842523722581487	2.0		0.0		0.0	-6.226052099974683	3.0	-6.736407823576459	1.0		0.0		0.0		0.0	-10.752649879473744	1.0		0.0	8.885560310025971	1.0	1.2965373972188783	1.0	0.8985573855975073	1.0	1.5504895165253467	4.0	-3.0949265303221782	1.0	1.637329606398165	1.0		0.0		0.0	-3.233369836705606	1.0	0.5943106369370138	2.0		0.0		0.0	5.787648798452927	1.0	0.8746687657610769	2.0	0.9451676403783332	2.0		0.0		0.0		0.0
samp_04	-5.146624253282305	7.332123473846528	-0.09753735785977796	-4.376745474753055	2.0	-8.677311492037788	2.0	-1.5323578771516	2.0		0.0		0.0		0.0	-8.276432543648903	2.0	-4.507046641553944	2.0	-5.620505173105289	1.0	-3.7242138066587263	2.0		0.0	-12.68513992865628	2.0	-6.0176944836566895	1.0		0.0		0.0		0.0	-5.957636007221235	1.0	-6.1799717444847	3.0		0.0	-5.454780686329167	1.0		0.0	-1.9509470247184366	2.0		0.0	-9.444678967422629	3.0		0.0		0.0		0.0	-8.679967997715291	2.0	-11.264737982027345	1.0	-12.201408977163329	1.0	-10.346657399316056	1.0		0.0		0.0	-8.399318061180802	1.0	-8.532165112935418	1.0	-3.1764356505997946	3.0	-12.248845562930052	1.0		0.0		0.0		0.0	-9.241386517844695	1.0		0.0	-11.571697225362922	2.0	-3.816192458283805	1.0		0.0	1.2960222593751929	3.0		0.0	1.5496962820131637	2.0	-3.0945407015731456	1.0	1.636756635722961	4.0	-2.68308023947379	1.0		0.0	-3.2353241226606917	1.0		0.0	0.36246198494789406	1.0	-12.509002008694676	1.0	4.055689852380784	1.0	0.8748072947264663	3.0	0.9449202593877257	2.0		0.0	0.8800875470503643	1.0		0.0
samp_05	-5.637806534649678	6.55000242697166	0.007089928254389291	-4.360542877821929	1.0		0.0	-1.5311787372865273	1.0	-5.239697551421787	3.0	-4.9297047206164555	1.0		0.0	-7.731970295376673	2.0	-4.487175800158994	1.0	-5.5770020310036275	2.0	-3.7176600204170516	1.0	-11.053121901890584	1.0	-11.955434852399433	1.0	-5.93712452874435	2.0		0.0	-4.839714577884741	1.0	-10.561194522894338	4.0	-5.8780648158427296	2.0		0.0		0.0	-5.407752537363802	1.0	-11.792519454297235	2.0		0.0		0.0	-8.754718441554374	2.0	-10.357462575641947	2.0		0.0	-3.61332520228472	1.0	-8.015720264398835	3.0		0.0		0.0		0.0	-10.825905831115112	2.0	-10.031720842830397	1.0	-7.759113161172732	1.0	-7.8935908754869875	1.0	-3.17384739111049	3.0	-11.537347146968372	2.0	-6.246042726095496	1.0		0.0	-10.63736372861558	2.0	-8.474414991359623	1.0	-4.426962814162248	2.0	-10.824725321338912	1.0		0.0		0.0	1.2950491134917217	1.0	0.8982321807311054	2.0	1.550437290048409	2.0		0.0		0.0		0.0		0.0	-3.234313434293326	2.0		0.0	0.3624384970400069	1.0		0.0		0.0	0.8743849393309899	1.0	0.9450025337232109	1.0	0.8003718906726337	1.0		0.0		0.0
samp_06	-5.401150713807774	6.884219465628445	-0.06588326204537368	-4.365493526150888	1.0	-8.28536471842901	5.0	-1.5315108711288328	1.0	-5.247493686965784	1.0	-4.941326188633121	1.0	-4.747747327651722	1.0		0.0	-4.4936431132968755	1.0		0.0		0.0	-11.305795586172323	1.0		0.0		0.0	-11.152686841752875	2.0		0.0		0.0	-5.908657557873452	3.0	-6.116757897042258	1.0	-4.0088351020300825	2.0	-5.4247733924679	3.0		0.0	-1.9515369723708353	1.0	-11.111069696833072	1.0		0.0		0.0	-5.853735852865795	1.0	-3.6157553792740518	1.0		0.0	-10.827306359606217	1.0	-11.770900288887812	2.0	-9.9177169086821	1.0		0.0	-10.333050880052559	1.0	-7.983044605317302	1.0		0.0	-3.173900064852019	1.0		0.0	-6.295369787042073	2.0	-6.862951748320826	2.0	-10.936040111473545	1.0	-8.773063170324223	1.0	-4.432313268083296	1.0	-11.127476237582098	3.0	-3.810348704747115	2.0	11.71637227296454	1.0	1.2966793621861294	2.0		0.0		0.0	-3.0938507362012917	1.0	1.636335818779155	2.0	-2.6836266025042828	1.0	0.07341882922206305	1.0		0.0		0.0	0.36272884836225777	2.0		0.0	8.433014653542667	1.0	0.8749287467275934	1.0	0.9449531944115395	1.0	0.8010820142610858	2.0		0.0	9.586329829852549	1.0
samp_07	-5.5052400610561865	6.639482408994398	-0.019261489258290736	-4.362428963519375	1.0	-8.126133993285853	2.0	-1.5313304113995063	3.0	-5.243577343913269	1.0		0.0		0.0	-7.7903069496821535	2.0	-4.489584519404782	2.0	-5.583861178318353	1.0	-3.718248312442919	1.0	-11.115717659330603	1.0	-12.032691365614578	2.0	-5.949571644338158	2.0	-10.954372965456304	1.0		0.0	-10.622922392774779	1.0		0.0	-6.091753381067668	1.0		0.0		0.0	-11.863580131751357	1.0		0.0		0.0	-8.835389781137101	1.0		0.0	-5.839642666217122	1.0	-3.614202365377123	2.0		0.0	-10.614843608613624	2.0	-11.566403986266947	3.0	-9.712335515508014	1.0		0.0		0.0	-7.82951870337414	2.0		0.0	-3.173959701366459	1.0		0.0	-6.264745330662455	3.0		0.0	-10.721858210572602	1.0	-8.56870204764937	3.0	-4.429005145806547	1.0		0.0		0.0	14.546950213264221	1.0		0.0	0.8983271058392202	2.0	1.550024155490155	2.0		0.0	1.6368688303592995	2.0	-2.685364474322237	1.0	0.07348254949175305	3.0		0.0		0.0	0.36256179127861127	1.0	-11.863987161011359	1.0		0.0	0.8745130900326841	3.0	0.9455901834369378	1.0	0.8003495684101317	1.0	0.8804769381497294	1.0		0.0
samp_08	-5.398060001505052	6.925988016023183	-0.11292400109691551		0.0		0.0		0.0		0.0		0.0		0.0	-7.914792433387586	3.0	-4.490647862894998	1.0		0.0	-3.7174007494012966	1.0	-11.300322703070835	3.0	-12.237306835548923	3.0	-5.95673340559609	1.0		0.0		0.0	-10.803438121281282	1.0		0.0	-6.104799993679583	2.0		0.0	-5.417669125039122	1.0	-12.060714076315218	2.0	-1.9509831968075884	3.0		0.0		0.0	-10.645634350524668	3.0	-5.842834257941169	1.0		0.0		0.0	-10.821308773341665	2.0	-11.765454633313427	1.0	-9.910817866903125	1.0	-11.101042801686559	1.0	-10.326547348362453	2.0		0.0		0.0	-3.1728368148817787	2.0		0.0	-6.281798621741509	2.0	-6.847173331141847	3.0	-10.930132574636307	3.0	-8.761988343541416	2.0	-4.429397883407883	1.0	-11.12161053930835	2.0		0.0	11.003880077505961	1.0	1.2961715777034413	2.0		0.0		0.0	-3.0926722207659543	3.0	1.637953586966568	1.0		0.0		0.0	-3.2322742073080266	1.0	0.5946280727471036	2.0	0.3629583617511024	1.0	-12.066261503628422	2.0	7.525399105081537	1.0		0.0		0.0		0.0		0.0	8.764043081794318	1.0
