run	log_tsat	log_tbg	log_alphap	b1A1	b1A1_weight	b1B8	b1B8_weight	b1B9	b1B9_weight	b1C1	b1C1_weight	b1C2	b1C2_weight	b1C3	b1C3_weight	b1C4	b1C4_weight	b1C5	b1C5_weight	b1C6	b1C6_weight	b1C7	b1C7_weight	b1C8	b1C8_weight	b1C9	b1C9_weight	b1D1	b1D1_weight	b1D2	b1D2_weight	b1D3	b1D3_weight	b1D4	b1D4_weight	b1D5	b1D5_weight	b1D6	b1D6_weight	b1D7	b1D7_weight	b1D8	b1D8_weight	b1D9	b1D9_weight	b1E1	b1E1_weight	b1E2	b1E2_weight	b2C6	b2C6_weight	b2C7	b2C7_weight	b2C8	b2C8_weight	b2C9	b2C9_weight	b2D1	b2D1_weight	b2D2	b2D2_weight	b2D3	b2D3_weight	b2D4	b2D4_weight	b2D5	b2D5_weight	b2D6	b2D6_weight	b2D7	b2D7_weight	b2D8	b2D8_weight	b2D9	b2D9_weight	b2E1	b2E1_weight	b2E3	b2E3_weight	b2E6	b2E6_weight	b2E7	b2E7_weight	b2E8	b2E8_weight	b2E9	b2E9_weight	b2F1	b2F1_weight	b2F2	b2F2_weight
fit	2.75613150595682	-5.538053552600462	6.556755584310754	-4.4044500218904385	1.0	-10.88865397054328	1.0	-8.818664437404442	1.0	-10.412049804756533	1.0	-5.883876413092433	1.0	-3.6555022899813694	1.0	-8.085415091376227	1.0	-10.585344158133132	1.0	-11.539778803198477	1.0	-9.68686505495457	1.0	-10.874853373533348	1.0	-10.090304371500736	1.0	-7.830783553526139	1.0	-7.962501165050801	1.0	-3.2160251760606466	1.0	-11.58423735019733	1.0	-6.3040320157913765	1.0	-6.827208036351695	1.0	-10.691632654460626	1.0	-8.550390992341114	1.0	-4.471108595348573	1.0	-10.87926000004574	1.0	-3.851231958775477	1.0	-8.122050743541221	1.0	-1.5787255070604218	1.0	-5.289283154099859	1.0	-4.975933745312736	1.0	-4.788849010611927	1.0	-7.793733803963146	1.0	-4.531453822146876	1.0	-5.629369324745499	1.0	-3.760138139467232	1.0	-11.094411578527179	1.0	-12.004128681704815	1.0	-5.992266789304299	1.0	-10.930038618086838	1.0	-4.8853941523613225	1.0	-10.60313675363405	1.0	-5.932129777937135	1.0	-6.1322413683165315	1.0	-4.054981591234379	1.0	-5.457584773208748	1.0	-11.837845095842075	1.0	-1.9982488914708878	1.0
samp_00	2.792867715607197	-5.556158031648822	6.516068427908056		0.0	-10.885109313330057	3.0	-8.820586647969424	2.0	-10.405631630051172	2.0	-5.92407773588281	1.0	-3.694409554248695	1.0	-8.094904583385427	1.0		0.0	-11.534732868666007	2.0	-9.682813466126165	1.0	-10.869639420969767	1.0	-10.083634923353014	3.0	-7.84405163930257	1.0	-7.973913129524925	2.0	-3.2555021168178793	2.0		0.0	-6.340617987689442	1.0		0.0	-10.684210247652782	1.0	-8.551790453518059	1.0	-4.5105184684064605	2.0		0.0	-3.8905340595173294	1.0		0.0		0.0	-5.330969120252505	1.0	-5.015163311749984	4.0		0.0	-7.808169071461205	2.0		0.0	-5.67065308983721	3.0		0.0		0.0	-11.997907521989971	1.0		0.0	-10.926463214124901	1.0		0.0	-10.602479675732981	1.0	-5.9709022406752315	1.0		0.0	-4.095814036857776	1.0		0.0	-11.83341476041675	1.0		0.0
samp_01	2.7365655622448686	-5.549639432138543	6.627748457647543		0.0		0.0	-8.854616100558768	2.0		0.0		0.0	-3.6351301435853696	3.0	-8.108979098118999	1.0		0.0		0.0	-9.732901529765638	1.0	-10.925029727722729	2.0	-10.140177024818035	2.0		0.0	-7.983373590815905	1.0	-3.1949492949401113	1.0	-11.634834219651657	1.0	-6.290594538028156	1.0		0.0	-10.74360476761248	2.0	-8.584683734206733	2.0	-4.450866341664095	2.0		0.0	-3.8305231908140946	1.0		0.0		0.0	-5.267983324246289	2.0		0.0	-4.76786917728855	1.0	-7.811188079724013	3.0		0.0	-5.609162409545421	1.0	-3.7393707225729855	1.0		0.0	-12.055376799671793	1.0	-5.975330509357056	2.0	-10.97875151033587	3.0	-4.8661592010869645	1.0	-10.648640055494283	2.0		0.0	-6.117400794223985	3.0	-4.032765554244196	1.0		0.0		0.0	-1.9751831946323544	1.0
samp_02	2.7812305218699476	-5.595323183408084	6.39661186774502	-4.427403389988109	1.0		0.0	-8.702251302053853	1.0	-10.265918840922224	2.0		0.0	-3.680322996156269	4.0	-7.991992919333199	2.0		0.0	-11.400324023162641	1.0		0.0	-10.73404376892341	1.0	-9.942877235252217	1.0	-7.747692117283325	2.0	-7.875213476231973	1.0	-3.2427182211930154	2.0	-11.443931863696367	1.0	-6.2964339455093254	1.0	-6.79603296137677	1.0	-10.541725980675933	1.0	-8.429408602689547	2.0	-4.493760679692309	1.0		0.0		0.0	-8.032036737137505	1.0	-1.6089310042626388	3.0	-5.3090646471617085	1.0	-4.993937023206528	2.0		0.0		0.0	-4.553300874859322	2.0		0.0	-3.7857139338915244	1.0	-10.968131418171287	1.0		0.0	-5.995520562890916	2.0		0.0		0.0		0.0		0.0		0.0	-4.08327907186655	1.0	-5.471069697760906	1.0	-11.701198820034719	2.0	-2.028191740713552	2.0
samp_03	2.6998820913631683	-5.737726388849497	6.370249720753783		0.0	-10.634628116120215	1.0	-8.56254692457001	1.0	-10.12828269019252	2.0	-5.777578487131243	1.0	-3.591095414270135	1.0	-7.851343915333336	1.0		0.0	-11.278972399930465	2.0		0.0		0.0	-9.798866935332033	1.0	-7.606190585019191	1.0	-7.7365490505780405	1.0		0.0	-11.321868038260753	1.0		0.0		0.0		0.0	-8.274899635855116	3.0		0.0	-10.587242130063578	2.0		0.0	-7.898628102058665	1.0	-1.5093411060422288	2.0	-5.20416273631911	1.0	-4.895638376757245	1.0	-4.713950853376463	3.0	-7.590960144771067	1.0		0.0		0.0	-3.695805294548002	1.0	-10.857302516568247	3.0		0.0	-5.880867224095813	1.0	-10.676056442941098	1.0		0.0	-10.36825674106357	1.0	-5.823019663860978	1.0		0.0	-3.9907639000055157	4.0	-5.365718513564645	2.0	-11.583193730369738	1.0	-1.9336680210823969	2.0
samp_04	2.841976529875286	-5.903590034911663	6.104054265409216	-4.481477901453465	1.0	-10.500807281033262	1.0		0.0	-9.956051932799031	1.0	-5.899996084961731	1.0		0.0		0.0		0.0		0.0	-9.268448827243617	4.0	-10.452250609318082	2.0		0.0	-7.59461955475538	1.0	-7.7160119160402605	2.0	-3.30746972039445	2.0		0.0	-6.274815048230695	1.0		0.0		0.0	-8.198788304824877	1.0		0.0	-10.391248501414127	1.0	-3.9374889058950564	3.0		0.0		0.0	-5.349026666466413	1.0		0.0	-4.863021295900204	1.0		0.0	-4.6044118735691955	1.0		0.0	-3.847431991798961	3.0	-10.748133416296215	3.0		0.0	-5.995836566454402	3.0	-10.542073246883483	1.0	-4.9459034119645064	2.0		0.0	-5.938159054464462	1.0		0.0	-4.150847781765299	3.0	-5.497242973676343	1.0	-11.449069457856154	3.0		0.0
samp_05	2.7605657493165183	-5.7674205948748405	6.453183801218485	-4.40287603838048	2.0	-10.77435647615118	1.0	-8.686257668084725	1.0		0.0	-5.8611358045200275	2.0		0.0	-7.965620557311496	1.0		0.0	-11.420884400510856	1.0		0.0		0.0		0.0	-7.7174220508915905	1.0	-7.849052133187767	1.0	-3.2194166092586065	1.0		0.0	-6.266925687580852	1.0	-6.768225243123331	2.0	-10.547485920125553	1.0	-8.397214706952694	2.0		0.0	-10.732540609150519	3.0		0.0	-8.012434721204464	2.0		0.0		0.0		0.0		0.0	-7.700080803380914	2.0		0.0	-5.613421759602799	2.0		0.0	-10.995108337268372	3.0		0.0	-5.9659794496854675	1.0	-10.815889733646273	2.0	-4.87899887303659	2.0	-10.504259838638836	1.0	-5.907247456105567	2.0	-6.101106708217416	2.0		0.0	-5.443737599689801	2.0	-11.724132969080177	2.0	-2.003527549782729	1.0
samp_06	2.7689821184762673	-5.454671032931117	6.570909586511789	-4.420666042632759	1.0	-10.920509374881888	3.0	-8.862041699506959	1.0	-10.450756517348903	2.0	-5.908830217607472	1.0	-3.6702906310598213	3.0	-8.132177268025824	1.0	-10.623948726462752	2.0	-11.573122372009355	1.0	-9.727805110463516	1.0	-10.909496432819145	1.0	-10.131758624977504	2.0		0.0	-8.008231756601054	1.0	-3.230464823886362	1.0		0.0		0.0		0.0	-10.730546016612198	1.0	-8.60367751558389	1.0		0.0		0.0	-3.866287532054468	1.0		0.0	-1.5944628960334115	4.0	-5.309552124960902	1.0		0.0		0.0	-7.83282254478961	1.0		0.0	-5.652119323740381	1.0	-3.7750626547878805	3.0		0.0	-12.039780253941354	2.0		0.0	-10.961861931467551	1.0		0.0		0.0	-5.957176348762692	1.0		0.0	-4.070425680792824	1.0	-5.478703956567695	2.0	-11.870392371023852	2.0	-2.0131863555385077	1.0
samp_07	2.784572284881761	-5.6494639016805115	6.513168603121183	-4.432796203129786	2.0	-10.867207982237256	1.0	-8.78830776905978	1.0	-10.379104410180846	1.0		0.0		0.0	-8.060046093618338	2.0	-10.552201522710813	3.0		0.0		0.0	-10.848480324622328	1.0		0.0	-7.808599747579709	1.0	-7.940122167121794	1.0	-3.2459870331297376	1.0		0.0	-6.319738377139069	1.0	-6.832079291936533	1.0	-10.657762779546934	1.0	-8.509829751266318	1.0	-4.499332880845605	1.0	-10.844258414397864	1.0		0.0		0.0	-1.6129570769513866	1.0		0.0	-5.002537385868102	1.0		0.0	-7.780546551075549	3.0	-4.5594184890710165	3.0	-5.654325236204859	2.0	-3.789474556605715	2.0		0.0		0.0	-6.012806570244357	1.0	-10.908642692885417	3.0		0.0	-10.58847689842387	2.0	-5.953016180408295	1.0		0.0		0.0	-5.482507782603638	1.0	-11.815855153917898	3.0	-2.0310530036382866	1.0
samp_08	2.771419276331333	-5.596318499437969	6.538794332748781	-4.419766996181395	1.0	-10.882733881302201	1.0	-8.807333028755673	1.0	-10.4006299549887	1.0		0.0	-3.671174486334339	3.0		0.0	-10.573872437759745	1.0	-11.532652527503947	1.0	-9.67470232917952	2.0		0.0	-10.07696419137854	1.0	-7.822212802289561	1.0	-7.954042284878891	1.0	-3.2321195961640554	3.0		0.0		0.0		0.0	-10.67984512554811	2.0	-8.533527492900589	1.0	-4.486380666528483	1.0		0.0	-3.866948778022397	2.0	-8.114740873159672	3.0	-1.5971386866622355	2.0	-5.304155305998915	2.0	-4.990492332462386	1.0		0.0	-7.789865929520231	1.0	-4.546598256419583	1.0	-5.643213740623811	1.0	-3.775910111252555	2.0	-11.091487616406711	2.0		0.0	-6.004082250643408	2.0		0.0		0.0		0.0	-5.944114495525741	1.0		0.0	-4.071184333188111	1.0	-5.4714100571081845	1.0		0.0	-2.015858243339412	1.0
