run	log_tbg	log_alphap	log_betap	b1A1_log_P	b1A1_weight	b2C6_log_P	b2C6_weight	b2C7_log_P	b2C7_weight	b2C8_log_P	b2C8_weight	b2C9_log_P	b2C9_weight	b2D1_log_P	b2D1_weight	b2D2_log_P	b2D2_weight	b2D3_log_P	b2D3_weight	b2D4_log_P	b2D4_weight	b2D5_log_P	b2D5_weight	b2D6_log_P	b2D6_weight	b2D7_log_P	b2D7_weight	b2D8_log_P	b2D8_weight	b2D9_log_P	b2D9_weight	b2E1_log_P	b2E1_weight	b2E3_log_P	b2E3_weight	b2E6_log_P	b2E6_weight	b2E7_log_P	b2E7_weight	b2E8_log_P	b2E8_weight	b2E9_log_P	b2E9_weight	b2F1_log_P	b2F1_weight	b2F2_log_P	b2F2_weight	b1B8_log_P	b1B8_weight	b1B9_log_P	b1B9_weight	b1C1_log_P	b1C1_weight	b1C2_log_P	b1C2_weight	b1C3_log_P	b1C3_weight	b1C4_log_P	b1C4_weight	b1C5_log_P	b1C5_weight	b1C6_log_P	b1C6_weight	b1C7_log_P	b1C7_weight	b1C8_log_P	b1C8_weight	b1C9_log_P	b1C9_weight	b1D1_log_P	b1D1_weight	b1D2_log_P	b1D2_weight	b1D3_log_P	b1D3_weight	b1D4_log_P	b1D4_weight	b1D5_log_P	b1D5_weight	b1D6_log_P	b1D6_weight	b1D7_log_P	b1D7_weight	b1D8_log_P	b1D8_weight	b1D9_log_P	b1D9_weight	b1E1_log_P	b1E1_weight	b1E2_log_P	b1E2_weight
fit	-5.538037181990729	6.517991736416106	0.038762735236397644	-4.3651558626105755	1.0	-8.083221616736358	1.0	-1.5316944291055103	1.0	-5.250263232874195	1.0	-4.936837934026175	1.0	-4.749704307007212	1.0	-7.7549015354736595	1.0	-4.492214278921518	1.0	-5.590405010462963	1.0	-3.72041654300911	1.0	-11.055611992550979	1.0	-11.965290184331572	1.0	-5.953340460863282	1.0	-10.891240183002942	1.0	-4.846273756318131	1.0	-10.564326314967458	1.0	-5.89319450053871	1.0	-6.093324509708096	1.0	-4.015497970697449	1.0	-5.41858798630865	1.0	-11.799072119067224	1.0	-1.9540305546819614	1.0	-10.849854806499437	1.0	-8.779844288592091	1.0	-10.373249047555012	1.0	-5.844942172914468	1.0	-3.615677471225616	1.0	-8.046585483496054	1.0	-10.546541156555175	1.0	-11.500989333712173	1.0	-9.648059576162213	1.0	-10.836051845918467	1.0	-10.051508856704174	1.0	-7.791950819218747	1.0	-7.923668986741906	1.0	-3.175634944215168	1.0	-11.545445652641785	1.0	-6.265130646750262	1.0	-6.788336183920617	1.0	-10.652826347166096	1.0	-8.511586094278357	1.0	-4.431844374812827	1.0	-10.840442178253166	1.0	-3.81158963621393	1.0
samp_00	-5.458556737150605	6.67468843874374	0.019273761879080864		0.0	-8.194275403293267	2.0	-1.531801411208464	1.0	-5.2553628844449864	1.0	-4.9433693758119555	2.0	-4.7525756775419925	1.0	-7.851091761243829	2.0	-4.4957392346669245	1.0	-5.600068492341365	2.0	-3.721094647736798	4.0	-11.187042753026049	1.0		0.0	-5.97205557702003	1.0		0.0	-4.852382906657669	1.0		0.0	-5.911465236752805	2.0	-6.117065155845391	2.0	-4.014194997178541	1.0	-5.428689751511015	1.0		0.0	-1.9531463856925793	1.0	-10.987906325916285	2.0	-8.912074592055333	1.0	-10.522065857777546	1.0		0.0		0.0		0.0	-10.696512593835443	1.0	-11.643600425551973	2.0		0.0		0.0	-10.202562871660872	1.0	-7.900033506608284	1.0	-8.034425862139093	1.0		0.0	-11.68879747049975	1.0		0.0	-6.840612096788477	1.0	-10.80414805679176	3.0	-8.653972033460425	1.0	-4.43476246880363	1.0		0.0	-3.8124654426692777	1.0
samp_01	-5.5188839735042095	6.463711558141719	0.08054709313475375		0.0	-8.08403296404357	3.0	-1.5321605686438438	1.0	-5.259120213182501	1.0	-4.942469646773714	2.0	-4.755678432854773	1.0		0.0	-4.496463670786984	2.0	-5.600758682296174	1.0	-3.72297405530214	1.0		0.0	-11.954762685291668	2.0	-5.9642139504376255	1.0	-10.88076276660803	2.0		0.0		0.0	-5.903315077816979	2.0	-6.103855042350526	1.0	-4.019728951406815	1.0		0.0	-11.78820318314893	4.0		0.0	-10.8394200733616	1.0	-8.77689937914207	1.0		0.0		0.0	-3.617761145670499	1.0		0.0		0.0		0.0	-9.641139745542278	1.0	-10.82588640409033	1.0		0.0	-7.797098591645924	1.0	-7.926886307039328	2.0	-3.177390313859032	2.0		0.0	-6.276257990195453	1.0		0.0	-10.64334349614476	2.0	-8.51236853945518	1.0	-4.436053026929397	2.0	-10.830745749274998	1.0	-3.814334444889716	2.0
samp_02	-5.467692557119201	6.431422733826803	0.09302647446440088	-4.371110624257639	1.0	-8.082484434332157	1.0	-1.5322645496411982	1.0	-5.263580051662839	2.0		0.0	-4.758666842745878	4.0	-7.755998095004177	1.0	-4.498508112420093	2.0	-5.605945463359476	1.0	-3.724285011630992	1.0	-11.027316685256919	1.0	-11.939940175171927	2.0	-5.969516518763754	2.0		0.0	-4.853901583622549	2.0		0.0		0.0		0.0	-4.02201331377868	1.0	-5.430683427163026	2.0	-11.772234002317195	2.0		0.0	-10.823501600811008	2.0		0.0	-10.35142171148898	1.0		0.0	-3.6188013856726817	2.0		0.0	-10.524031109750972	1.0	-11.474466710238936	1.0	-9.631232990409062	1.0	-10.810952219702678	1.0	-10.032477552980142	2.0	-7.8004252136820025	1.0		0.0		0.0		0.0	-6.28169100852508	1.0	-6.802284721873157	1.0	-10.630119131512945	1.0		0.0	-4.438112059398332	1.0	-10.817458389531769	1.0	-3.8157019959386336	1.0
samp_03	-5.280852309760435	6.8144903825905345	0.008395423903534314	-4.373430300700288	2.0	-8.330636941284972	1.0	-1.5321733425595008	1.0	-5.267151198441936	2.0		0.0	-4.759767517866724	1.0	-7.972728100083811	2.0	-4.502407198238228	3.0		0.0	-3.7235923848489842	2.0		0.0		0.0	-6.002114500899611	1.0		0.0		0.0		0.0		0.0		0.0	-4.0157834397647	1.0		0.0		0.0	-1.9528898636470933	1.0		0.0		0.0		0.0	-5.885759166857565	1.0		0.0	-8.312816277452903	3.0	-10.84431394964888	1.0		0.0	-9.939774375809112	2.0	-11.120231503584327	3.0	-10.353628382948356	3.0	-8.047965554119463	1.0	-8.179060541851504	2.0	-3.1767934212851956	3.0	-11.83015944546505	1.0	-6.337619667577128	1.0	-6.916487006464696	1.0	-10.953222309599282	2.0		0.0	-4.440755615138744	1.0		0.0	-3.8152865010916153	2.0
samp_04	-5.5311717845820265	6.378363569736305	0.08701149602253513		0.0	-8.028573326697527	1.0	-1.532131538352325	2.0	-5.256359570081494	1.0	-4.938937857336663	1.0	-4.7543870848969965	2.0		0.0		0.0	-5.5951106105211945	2.0	-3.7229122253746327	2.0	-10.970341788686284	1.0		0.0		0.0		0.0		0.0		0.0	-5.892717590542431	1.0	-6.090218902952114	2.0		0.0		0.0	-11.709636160737944	2.0		0.0		0.0	-8.709359135798053	3.0	-10.282652648027486	1.0		0.0	-3.61731051878194	1.0	-7.992356060801765	2.0	-10.454708816048024	5.0	-11.410559708078358	1.0	-9.563801617120374	4.0	-10.746010151359949	1.0		0.0	-7.745180367544448	2.0	-7.872919171408188	2.0	-3.177627468589373	1.0	-11.454695721318355	1.0	-6.260056110565664	1.0		0.0		0.0		0.0		0.0		0.0	-3.814144751678261	2.0
samp_05	-5.679002065147665	6.429372398900742	0.07264471246309817	-4.364470831153214	1.0	-8.021437764705242	1.0	-1.5317616614463154	1.0		0.0	-4.934131801636206	3.0	-4.749078059417363	1.0	-7.702507516260517	1.0	-4.491091023659431	2.0	-5.585545467574239	2.0	-3.7206253635873643	2.0	-11.000714202408902	2.0		0.0	-5.942966020852785	2.0		0.0		0.0		0.0		0.0	-6.080069211627399	1.0		0.0	-5.413767539103903	1.0		0.0	-1.9548164751196389	1.0	-10.78683597449466	2.0	-8.705508672717862	4.0		0.0		0.0	-3.6154895290916267	1.0		0.0	-10.468352094716588	1.0		0.0	-9.568973186333427	1.0	-10.766653816105766	1.0	-9.968593909367526	2.0	-7.728332326208745	1.0	-7.859763722492545	1.0	-3.176063782467638	3.0	-11.478680846906533	1.0	-6.248714632884381	1.0		0.0	-10.573701171440602	1.0		0.0	-4.431054802288483	2.0		0.0	-3.8117128215453597	1.0
samp_06	-5.524435014377081	6.463664559072539	0.052181290971124006	-4.365786073172602	1.0	-8.059980863432392	2.0	-1.5318160733260087	3.0	-5.251860971026564	1.0	-4.937035007581615	1.0	-4.75092675812093	1.0		0.0		0.0	-5.591402172975601	1.0	-3.7210799651743858	2.0	-11.017564969647358	1.0		0.0		0.0		0.0		0.0	-10.527214482624297	1.0	-5.892140027150489	1.0	-6.091228129128498	1.0	-4.017220880081186	3.0		0.0	-11.759673771504827	1.0		0.0	-10.811130037772896	1.0	-8.749780148965687	3.0	-10.333993469839873	1.0		0.0	-3.6160514337286696	1.0		0.0	-10.506751115663267	1.0	-11.46126055698397	3.0	-9.611778312622217	3.0		0.0	-10.012914839396194	1.0	-7.77245074185618	2.0		0.0		0.0	-11.50562044773973	1.0	-6.2622579856176195	1.0		0.0	-10.612660476045683	1.0	-8.483349220688696	1.0		0.0	-10.799748819536806	2.0	-3.8122598610278144	2.0
samp_07	-5.602060684118008	6.412315150533868	0.050386319447114025	-4.362886080455727	2.0		0.0		0.0	-5.2453471143804515	2.0	-4.931391420525781	2.0	-4.747028389668067	1.0		0.0	-4.489266602049168	2.0		0.0		0.0	-10.965740959780526	1.0		0.0		0.0	-10.795473573753437	2.0	-4.841213616525996	2.0	-10.476187992067427	2.0	-5.878151202921948	2.0	-6.074322439279981	2.0	-4.0162941362250555	3.0	-5.409969195415435	1.0		0.0	-1.9547883408930917	1.0	-10.754147315907376	2.0		0.0	-10.267894279930978	2.0		0.0	-3.614683471303816	1.0		0.0		0.0		0.0	-9.546354984356904	2.0	-10.73548081612948	1.0	-9.944181022794753	1.0		0.0	-7.849463348783692	1.0	-3.1756468458931266	1.0	-11.44573300259014	2.0	-6.2426212798594864	1.0		0.0	-10.545382871238148	1.0	-8.414854098834306	1.0		0.0	-10.7312761925492	2.0	-3.810830089996629	1.0
samp_08	-5.399130583490874	6.3491950269528115	0.11232429579261029	-4.373434921820959	1.0		0.0	-1.5326686633820843	1.0	-5.268631422758539	1.0		0.0	-4.762415554572253	1.0	-7.731962362278768	1.0	-4.500730568956127	2.0		0.0		0.0	-10.969826906815449	1.0	-11.883452261013861	3.0	-5.9716260774150625	1.0		0.0	-4.855913153587425	1.0	-10.480818057885724	1.0	-5.9098129857266395	1.0	-6.1092520935384	1.0		0.0		0.0	-11.715137865672048	2.0		0.0		0.0		0.0	-10.297354150884058	3.0	-5.864870275586066	4.0	-3.6201310689884085	2.0	-8.024794800442214	1.0	-10.469132337676049	2.0		0.0		0.0		0.0	-9.980749788088358	1.0	-7.780505025622849	1.0	-7.904701767936543	2.0	-3.179786761329448	1.0	-11.461776019162118	1.0	-6.281342621633807	3.0		0.0	-10.574802927222917	1.0	-8.482276675250398	1.0	-4.440511963624209	1.0	-10.76154965247729	1.0	-3.817691501027763	1.0
