run	log_tbg	log_alphap	log_betap	b3D3_log_P	b3D3_weight	b7G5_log_P	b7G5_weight	b7G6_log_P	b7G6_weight	b7G7_log_P	b7G7_weight	b7G8_log_P	b7G8_weight	b7G9_log_P	b7G9_weight	b7H1_log_P	b7H1_weight	b7H2_log_P	b7H2_weight	b7H3_log_P	b7H3_weight	b7H4_log_P	b7H4_weight	b7H5_log_P	b7H5_weight	b7H6_log_P	b7H6_weight	b7H7_log_P	b7H7_weight	b7H8_log_P	b7H8_weight	b7H9_log_P	b7H9_weight	b7I1_log_P	b7I1_weight	b7I2_log_P	b7I2_weight	b7I3_log_P	b7I3_weight	b7I4_log_P	b7I4_weight	b7I5_log_P	b7I5_weight	b7I7_log_P	b7I7_weight	b7I8_log_P	b7I8_weight	b7I9_log_P	b7I9_weight
fit	-6.65278141594919	3.757705832612029	0.06849562294956434	-4.591527053465357	1.0	-9.956535948993903	1.0	-9.019281815161216	1.0	-5.135061322315092	1.0	-5.002029587048261	1.0	-2.40986843918801	1.0	-3.097087870376855	1.0	-4.862249515424544	1.0	-0.05893710660294544	1.0	-4.054965227007404	1.0	-2.570148020192039	1.0	-4.051250458049127	1.0	-6.389358755021233	1.0	-5.77548598103333	1.0	-5.3571074434182195	1.0	-11.270749039122588	1.0	-3.84448019036813	1.0	-1.59190073509514	1.0	-7.946530291201784	1.0	-3.995805673440667	1.0	-8.5312623135814	1.0	-10.939814233902286	1.0	-7.536086740664653	1.0
samp_00	-5.889665641265308	4.301886710653146	-0.15183513323493078	-4.653241051806979	1.0	-10.630534453386018	2.0		0.0	-5.241610776542611	1.0	-5.1047366217540215	2.0		0.0	-3.0572488935092283	2.0	-4.956687169630765	2.0	-0.049172735520087725	1.0	-4.095323183765165	2.0		0.0	-4.076768076931567	3.0	-6.573432592118039	2.0		0.0		0.0	-11.829298599528437	1.0		0.0	-1.565733414354361	1.0		0.0	-4.0257323850278395	2.0	-8.872037918811222	1.0		0.0		0.0
samp_01	-6.514259300305158	3.597197226898932	0.27016834455045213		0.0		0.0		0.0	-5.1718816382117705	1.0	-5.037979439708518	2.0		0.0		0.0	-4.899146277929765	4.0	-0.07960764545281945	1.0	-4.10017968641767	2.0	-2.6199279420657167	1.0		0.0	-6.419231711644842	1.0	-5.806740286332338	2.0	-5.389180210616176	3.0	-11.351144756452252	2.0	-3.8839858774366447	1.0		0.0		0.0		0.0	-8.576511277199334	1.0		0.0	-7.585531249454376	2.0
samp_02	-5.985881761724124	3.557272553580916	0.1343773111487633		0.0	-10.118163554203043	1.0	-9.065719942624643	1.0	-5.093214298652003	1.0		0.0	-2.4166847094786323	1.0	-3.1064522713844838	1.0	-4.821216047248863	1.0		0.0	-4.02911218671925	1.0	-2.5782966087662778	2.0	-4.030034573162587	2.0		0.0	-5.728361592533634	1.0	-5.309899191076486	3.0	-11.358046419098653	1.0	-3.8166548028387957	1.0	-1.605728413134354	1.0		0.0	-3.973420723499295	1.0	-8.522929014075489	1.0		0.0	-7.571148318311655	3.0
samp_03	-6.576194434639612	3.861986477242492	0.04654382381460318		0.0		0.0		0.0	-5.166176159310574	2.0	-5.032480584681094	1.0	-2.4096140521290126	2.0		0.0	-4.891303204101708	1.0	-0.05757833277014225	2.0		0.0	-2.569385576191539	3.0	-4.067431715237888	1.0		0.0	-5.812748873901111	1.0	-5.3913601563273765	1.0	-11.373483811904856	2.0	-3.863377185223138	2.0	-1.587825798302081	2.0		0.0	-4.012400016453555	1.0	-8.594754758348083	1.0		0.0	-7.595904441355634	1.0
samp_04	-7.224404079555573	3.8150727730400935	0.016622612618819553	-4.582699867801678	1.0	-9.65260093556157	1.0	-8.9059924915897	1.0	-5.128255286174424	1.0		0.0	-2.4003877269933827	1.0		0.0	-4.8561606636782395	2.0	-0.0545588724351656	1.0	-4.046535717595169	1.0	-2.5593804307603154	2.0	-4.040971160445857	1.0	-6.379858524224645	1.0		0.0		0.0	-11.091844340058428	1.0		0.0	-1.5836712429553617	2.0	-7.907468616360048	2.0	-3.9863476308280466	1.0	-8.475199640748425	1.0	-10.860841240923927	3.0		0.0
samp_05	-5.922328683857819	4.555408059652682	-0.2120508482222009	-4.681880661708083	1.0	-10.822578817870472	1.0	-9.649507163211851	1.0	-5.294927932132034	1.0	-5.15677283392477	1.0	-2.391259579269631	1.0	-3.048033740398939	2.0	-5.004274954487734	1.0		0.0	-4.116031038686004	1.0	-2.5442704609896762	1.0	-4.08947756392441	1.0		0.0	-6.000770682434216	1.0	-5.549992311598055	1.0		0.0	-3.919493448768689	1.0	-1.562206478298741	2.0	-8.389898588266213	2.0	-4.041309239826586	1.0	-9.019206749123917	3.0		0.0		0.0
samp_06	-5.76654973906367	4.380664030487798	-0.18214030894266633		0.0	-10.718063436028313	3.0		0.0	-5.256901099323171	1.0	-5.119169076391848	1.0		0.0	-3.0524439829066803	5.0		0.0	-0.04878373839999487	1.0	-4.099662071112847	2.0	-2.5441253094320264	1.0	-4.078693139163474	1.0	-6.605501757960808	1.0	-5.9481632093054495	1.0		0.0	-11.9310754747883	1.0	-3.899325766903067	1.0	-1.5637055330108134	3.0		0.0		0.0	-8.92842827154421	1.0		0.0		0.0
samp_07	-6.907026553958708	4.155525207442161	-0.048936377388746025		0.0		0.0		0.0	-5.22574811713969	1.0	-5.091457184508542	2.0		0.0	-3.0773881929127365	1.0		0.0	-0.052936026711484105	1.0	-4.100810922861667	1.0		0.0	-4.086722952200966	1.0	-6.514469334447825	1.0	-5.888648308089875	3.0	-5.461239582355069	1.0	-11.477642739317021	4.0	-3.89497101531994	1.0	-1.5745958759208132	1.0	-8.086886017454693	1.0	-4.034008924719326	1.0	-8.67948020102723	1.0	-11.147661229043505	2.0		0.0
samp_08	-6.278331363999837	3.838175571005689	0.02946212180335052	-4.6017381067823315	1.0	-10.186054900651017	2.0		0.0		0.0	-5.017744276236755	1.0	-2.4052683906407455	1.0	-3.0899094324692724	1.0		0.0	-0.05610379945629066	2.0	-4.061312525600488	1.0	-2.5647263838475	1.0	-4.0557096987472026	2.0		0.0	-5.798667599006801	3.0	-5.376274016292968	1.0		0.0		0.0	-1.5859624427129015	1.0		0.0	-4.000683836602938	2.0	-8.607425688729544	2.0	-11.025490505988937	1.0	-7.622938559448023	1.0
