run	log_tbg	log_alphap	log_betap	b9D1_log_P	b9D1_weight	b9D2_log_P	b9D2_weight	b9D3_log_P	b9D3_weight	b9D4_log_P	b9D4_weight	b9D6_log_P	b9D6_weight	b9D8_log_P	b9D8_weight	b9D9_log_P	b9D9_weight	b9E1_log_P	b9E1_weight	b9E2_log_P	b9E2_weight	b9E3_log_P	b9E3_weight	b18A8_log_P	b18A8_weight	b18A9_log_P	b18A9_weight	b18B2_log_P	b18B2_weight	b18B5_log_P	b18B5_weight	b18B6_log_P	b18B6_weight	b18B7_log_P	b18B7_weight	b18B8_log_P	b18B8_weight	b18C1_log_P	b18C1_weight	b18C6_log_P	b18C6_weight	b18C7_log_P	b18C7_weight
fit	-22.73613958091088	1.5872808329441663	-0.18380581521079245	-6.491864897312813	1.0	-6.965222335154743	1.0	-1.4697107545283568	1.0	-7.891887716018303	1.0	-7.893192586764327	1.0	-5.55741107575875	1.0	-9.380300891117605	1.0	-8.980516382080513	1.0	-8.32559454678518	1.0	-8.308046508851975	1.0	-2.27775138710962	1.0	-3.261846020408432	1.0	-6.736791877311519	1.0	-5.980673308261031	1.0	-7.129971029630896	1.0	-4.528061251439875	1.0	-4.342785090264418	1.0	-3.8956629784756593	1.0	-6.307186785188098	1.0	-5.751612857569464	1.0
samp_00	-23.819983968286447	3.3027580296620505	-1.8479033129412865	-6.500271588532015	1.0		0.0		0.0		0.0		0.0		0.0	-9.405193418199016	2.0	-9.004948538694283	1.0	-8.349152820450831	2.0	-8.331460340599566	3.0		0.0	-2.985297533520147	1.0	-6.748044219040458	1.0		0.0	-7.150913843090182	1.0		0.0	-4.236614597297882	2.0		0.0	-6.30588528195695	3.0	-5.738448128181924	3.0
samp_01	-23.540042549592677	1.6788374134127018	-0.3450571875372737	-6.456590884036216	1.0	-6.930150155515016	1.0	-1.4154377631042288	1.0	-7.856954990726278	1.0	-7.8582385166835165	1.0	-5.5216390351908125	1.0	-9.34543925181869	1.0		0.0		0.0	-8.273165291085435	2.0	-2.2222102454793333	2.0	-3.215749654355116	3.0		0.0		0.0		0.0	-4.490022090319556	1.0	-4.304240120960797	2.0	-3.8554887940984655	2.0	-6.271656562771578	1.0		0.0
samp_02	-22.58811568942776	1.8999334761019122	-0.4132823543767789		0.0	-7.0060756957525285	1.0	-1.443650549393895	1.0	-7.9332031871480915	2.0	-7.934451753321767	2.0	-5.595991950174805	1.0	-9.421845183793083	1.0	-9.022033603563147	1.0	-8.36701900707971	2.0		0.0	-2.253123048261618	2.0	-3.26860446209499	1.0		0.0	-6.019734121770648	1.0	-7.171148024891394	1.0		0.0		0.0	-3.9203475611954945	2.0		0.0	-5.790162738307699	2.0
samp_03	-23.278409282261386	1.256169382403653	0.2498613869898935	-6.544318391141079	2.0	-7.017124206527438	2.0	-1.6019167550795865	2.0	-7.943395818578542	5.0	-7.944785710724923	1.0	-5.611268850704527	3.0	-9.431656801025506	1.0	-9.031902960938275	1.0	-8.377018974724406	1.0		0.0		0.0		0.0		0.0	-6.034205997001434	1.0		0.0		0.0		0.0		0.0	-6.3603172385091105	1.0		0.0
samp_04	-21.813454725519343	3.461587748151754	-1.9486651062291878	-6.525740712135767	3.0	-7.008624855640607	1.0		0.0	-7.942367927583874	2.0		0.0		0.0		0.0		0.0	-8.377675905118085	2.0	-8.359994848850212	2.0		0.0		0.0	-6.7741350016916275	4.0	-5.996139076724877	1.0	-7.1787701179243415	1.0	-4.443935053257608	1.0	-4.241866688665008	1.0	-3.749388267206599	1.0		0.0	-5.759753065477175	1.0
samp_05	-20.97785218861971	2.3909461795700797	-0.8857324783045066		0.0	-7.013560188837406	1.0		0.0		0.0	-7.942882528590395	2.0	-5.597976613060729	1.0		0.0	-9.03106954250516	1.0	-8.375884205891792	1.0	-8.358307789647341	1.0	-2.144460594800835	4.0	-3.1991241471029803	1.0		0.0	-6.022757090155149	1.0	-7.179483735658574	2.0	-4.545048445880995	3.0		0.0	-3.8901920805193826	1.0		0.0	-5.7919745815955315	1.0
samp_06	-22.373299580484037	0.8591282309363478	0.4053774960751959	-6.424271381102443	1.0		0.0	-1.5452673855409849	2.0	-7.82276855650953	2.0		0.0	-5.4921061231134285	1.0		0.0	-8.911210413223392	1.0	-8.256342353454782	1.0		0.0		0.0	-3.2439901086139136	2.0	-6.668881638224299	1.0	-5.914793030851682	1.0		0.0	-4.472757636426707	1.0	-4.289845469102226	2.0	-3.850605887924681	3.0	-6.240649592949467	1.0	-5.686434652398185	1.0
samp_07	-22.968176641618317	0.9278714180579407	0.36992961840162875	-6.440819166751407	1.0		0.0	-1.5518633577706884	3.0		0.0	-7.840827425212232	2.0	-5.508522811509552	1.0	-9.327553259320625	1.0		0.0		0.0	-8.255453195188108	1.0	-2.327436689897895	1.0	-3.2575727516255544	1.0	-6.6854503051938	1.0		0.0	-7.077597091377334	1.0	-4.488608492927616	2.0	-4.305554683857698	1.0	-3.865856089686398	1.0	-6.2571517005692785	1.0	-5.702853255140782	2.0
samp_08	-22.305587353264343	2.6894050822431113	-1.2208285410171162		0.0	-6.993621453386935	3.0		0.0		0.0	-7.923796782256797	1.0		0.0	-9.41251922373459	4.0	-9.012542242222203	1.0	-8.357193198840877	1.0	-8.33959667968192	1.0	-2.067924549415921	1.0	-3.1207622838722213	2.0		0.0		0.0		0.0	-4.505699049355317	2.0	-4.3122107636865294	1.0		0.0	-6.327869856518986	1.0	-5.76689541377658	2.0
samp_09	-21.66929932492801	1.5408569411875086	-0.10126935978719791	-6.510125904471951	2.0		0.0	-1.4989101266727376	1.0	-7.909981003882183	1.0	-7.911315013763257	2.0	-5.575896032043933	1.0		0.0	-8.99861920006467	1.0		0.0	-8.326138373931071	2.0	-2.306373063300686	1.0		0.0	-6.755027526326418	1.0	-5.999129943606921	2.0	-7.148056288080954	2.0		0.0	-4.36261501663785	3.0		0.0		0.0	-5.770143963585501	1.0
samp_10	-22.655763872849562	1.7731920687123615	-0.2957949120056882	-6.528095693467414	3.0	-7.001783781929706	2.0	-1.465904235889005	1.0		0.0	-7.929983713397066	1.0	-5.59273571267027	1.0	-9.417242761229623	2.0		0.0		0.0	-8.344915530064778	1.0	-2.277414978939836	2.0		0.0		0.0	-6.016276940831999	1.0	-7.166699432568617	2.0		0.0		0.0	-3.9234146154046035	2.0	-6.343059758555482	1.0	-5.786939803211091	1.0
samp_11	-17.828127703937295	3.438124384906574	-2.0109444768087585	-6.483347841793882	2.0	-6.966079828598895	1.0		0.0		0.0	-7.899805119069651	3.0	-5.526131320346671	1.0	-9.39125844141992	1.0	-8.990893390094715	4.0		0.0	-8.317220240004257	2.0		0.0		0.0	-6.7316064215189275	1.0	-5.953999586720121	1.0		0.0		0.0	-4.204674672677652	2.0		0.0	-6.287179547375974	1.0	-5.717898598284416	1.0
samp_12	-21.715668576229803	3.279997621304276	-1.8012246849375264	-6.5126923262400735	1.0		0.0		0.0	-7.926146335709339	2.0	-7.926514504934602	1.0	-5.558892820417529	2.0		0.0	-9.016978828959115	2.0	-8.361145659413133	1.0	-8.343487542834508	2.0		0.0		0.0	-6.760400329140527	1.0	-5.986539073519731	1.0	-7.162997638910955	1.0		0.0	-4.251227759396587	2.0	-3.762537632356553	1.0	-6.318702756115778	2.0	-5.751537042287096	1.0
samp_13	-23.512239355735847	1.896578904197006	-0.3886469663626282	-6.5427994935892	1.0	-7.016737125453702	1.0	-1.4540344685022508	1.0		0.0	-7.945108858826855	1.0	-5.606717672793584	1.0	-9.432499120216963	2.0	-9.032662900479053	2.0		0.0	-8.360109104615178	2.0	-2.2648566053721337	2.0		0.0	-6.787956847356903	1.0		0.0	-7.181774308066641	1.0		0.0	-4.383772264678396	3.0	-3.931382438793651	2.0		0.0		0.0
samp_14	-23.427048596823685	1.6532434804722222	-0.17946991381231284		0.0	-7.000255015928963	2.0	-1.4908743316795783	1.0		0.0	-7.928305964400071	1.0	-5.592083755714678	2.0	-9.41545321849615	2.0	-9.015675150464562	3.0	-8.360722840383291	1.0		0.0	-2.3016633427687094	1.0		0.0		0.0		0.0	-7.165026723241101	1.0	-4.561701085333634	2.0	-4.376159481983961	1.0	-3.9281688051807886	1.0	-6.342053534532918	1.0	-5.786309905279991	1.0
samp_15	-24.126468997721815	1.8420097100147648	-0.26261364546651883	-6.578862442001521	2.0		0.0	-1.4994677642395895	1.0	-7.979649243166596	1.0	-7.980926358949263	2.0	-5.643172964310849	1.0	-9.468231204684614	3.0	-9.068440744334787	2.0	-8.413441072145908	1.0	-8.395888466710055	1.0	-2.315033847334909	1.0		0.0		0.0		0.0	-7.217590007333386	2.0	-4.60891615398571	1.0	-4.422431955423363	1.0		0.0		0.0	-5.837421394996347	1.0
samp_16	-23.83879371879203	1.4245835994341867	-0.12039956332856755	-6.442709329077154	1.0		0.0	-1.4525561409754	1.0	-7.84234501013479	1.0		0.0	-5.508882566664354	1.0	-9.330688924261738	2.0	-8.930935292313183	2.0	-8.276018973956157	1.0		0.0	-2.2553038289134695	2.0	-3.2254527684025764	1.0	-6.68754740756501	1.0	-5.931957427746563	1.0		0.0	-4.482107680596784	1.0	-4.297467317451871	2.0		0.0	-6.258323944044673	2.0	-5.703085588782098	1.0
