run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
fit	-7.022849144554368	1.7217878590212257	-0.003561286558595466	-0.5447328958129264	1.0	-9.742583627667072	1.0	-8.839486052289203	1.0	-9.60182329919536	1.0	-9.033936290110512	1.0	-7.128749705377654	1.0	-6.309093769475548	1.0	-7.945398085588756	1.0	-3.1097961693054192	1.0	-7.325232322995426	1.0	-3.617361491458695	1.0	-1.2185409542693062	1.0	-6.410993870269555	1.0	-5.130430887979298	1.0	-4.652012847832648	1.0	-3.6709407756848105	1.0	-5.518750028122731	1.0
samp_00	-9.240070952748516	1.852170033269482	-0.15213829086474123		0.0		0.0	-8.660603543031295	2.0		0.0	-8.830578221247471	3.0	-7.0874387153974325	1.0	-6.281217989130982	2.0		0.0	-3.091425077872813	1.0	-7.260578418791227	1.0		0.0	-1.1575862877123375	1.0	-6.380929630047978	1.0	-5.113488999260577	2.0	-4.636695782728792	1.0	-3.651471317755738	1.0	-5.499918174956051	1.0
samp_01	-6.662410134509389	2.397995236124893	-0.4266319421184252		0.0		0.0	-9.085581491553075	4.0	-9.980669472561589	1.0		0.0	-7.278754360782997	4.0	-6.445074743768352	2.0	-8.15127052173263	1.0		0.0		0.0	-3.6927962439454793	2.0	-1.088929827738035	1.0		0.0		0.0	-4.7606706028785	2.0		0.0		0.0
samp_02	-7.1654676274403215	1.6215521037843148	0.05224566037231649		0.0		0.0	-8.788660740841678	1.0	-9.516430998356952	1.0	-8.979470083924037	2.0	-7.101103321711849	1.0		0.0		0.0	-3.0936195568635387	2.0	-7.293387930385779	3.0		0.0	-1.2350758830197217	1.0	-6.385641966767273	1.0		0.0		0.0	-3.654147385846461	2.0	-5.496114472038063	3.0
samp_03	-17.913480780591858	-9.056992451932384	10.544630372435321		0.0		0.0	-8.533364305740967	2.0	-9.068035183475446	1.0	-8.699729526785012	3.0	-6.979365292236385	2.0		0.0	-7.719868293459608	2.0		0.0	-7.150695830886586	3.0	-3.560825938928438	1.0		0.0		0.0	-5.025118128933575	3.0		0.0		0.0		0.0
samp_04	-6.8434287898754445	1.8299433815132593	-0.09710658814142471		0.0		0.0		0.0	-9.689785763673878	1.0	-9.08239871303585	2.0		0.0	-6.319963614848189	1.0	-7.975883769157969	1.0	-3.1100219331608625	1.0	-7.345172992110141	1.0	-3.618505433094463	2.0	-1.1829930723717481	1.0		0.0	-5.137173975584808	3.0	-4.657574959924702	1.0	-3.6714788013152653	2.0	-5.526653443913643	1.0
samp_05	-7.3523223980149774	1.6382822431359285	0.16369183419255928	-0.6220512334714381	2.0	-9.694393601991766	3.0		0.0		0.0	-9.026761802247844	2.0	-7.162400259652646	1.0		0.0		0.0	-3.15703950587963	2.0	-7.352720950232961	1.0		0.0		0.0	-6.448016481582997	1.0		0.0	-4.695101999605147	1.0	-3.7184785575223054	1.0	-5.559589261696385	3.0
samp_06	-7.15340830677823	2.004615409919979	-0.27682434930109745	-0.4616115556517884	1.0		0.0		0.0	-9.559955839467296	1.0	-9.01476986014699	2.0	-7.12881544659378	2.0	-6.309711460612698	1.0		0.0		0.0	-7.3219712746453345	1.0		0.0	-1.115823909371572	4.0		0.0	-5.12914105084559	4.0		0.0	-3.6552664227940816	1.0		0.0
samp_07	-6.210444430059594	2.2578216223528695	-0.3469637946753964		0.0		0.0		0.0	-10.228221969022192	1.0		0.0	-7.278066164132619	2.0	-6.433406524016893	1.0	-8.21590751548538	1.0	-3.1635504667331658	1.0		0.0	-3.677275703727167	2.0	-1.109185950507419	2.0	-6.539546551800808	1.0	-5.225435885593413	2.0	-4.738843658456939	3.0	-3.7277118173413797	1.0		0.0
samp_08	-6.157083002768849	1.7338524828019488	0.03178987537949117	-0.5648023415780907	1.0		0.0	-9.097584298457827	1.0		0.0		0.0	-7.2023711205827246	1.0	-6.361911268611538	1.0	-8.130134952017933	1.0	-3.1338478256060354	2.0	-7.438829286064083	2.0	-3.642703008501163	1.0	-1.2394775977977095	1.0	-6.467457771012015	1.0		0.0	-4.680658201894986	1.0	-3.696651197181961	3.0	-5.55556033006731	1.0
samp_09	-7.060112985913564	1.2096479664251907	0.23653073179640258	-0.5938546387095106	2.0	-9.542147204312776	1.0	-8.670238662580708	1.0	-9.391580837881335	3.0		0.0		0.0	-6.171157558538806	1.0	-7.787867088301422	1.0		0.0	-7.177933002544453	3.0		0.0		0.0	-6.272422009225088	2.0	-4.999103539429636	1.0	-4.523256432600787	1.0	-3.5577605340696845	1.0		0.0
samp_10	-6.557649230432247	2.0535104982896906	-0.1606012153291341	-0.5162724621709759	1.0		0.0	-9.059724384677128	1.0	-9.972988910304286	2.0	-9.267931563975214	1.0	-7.243324891629666	1.0		0.0	-8.12187087657086	1.0	-3.1723467788108777	2.0		0.0	-3.684406866681413	2.0	-1.173362773971869	2.0	-6.514611506887608	1.0		0.0		0.0	-3.7365000150171	1.0	-5.609210543816436	2.0
samp_11	-6.986328124594263	1.7508296191736339	-0.04832820418945743	-0.5264326928672285	3.0	-9.744800026140041	2.0	-8.836349526579351	1.0	-9.60448345586132	2.0		0.0	-7.121752835710755	1.0	-6.301574586479729	1.0		0.0		0.0	-7.318882947237272	1.0	-3.607735450696266	1.0	-1.1985606515569767	2.0	-6.40355145823147	1.0		0.0	-4.6435532825808465	1.0	-3.6610852088868717	1.0		0.0
samp_12	-7.772715037892716	1.6381114882676617	-0.03241377707283254	-0.5164080684348218	1.0	-9.466911374250344	3.0	-8.678583389986441	2.0		0.0		0.0		0.0	-6.241849520395712	2.0		0.0		0.0	-7.2343020508239455	2.0		0.0	-1.1908968124508357	1.0		0.0	-5.071720398626917	2.0	-4.595237549429524	2.0	-3.6178169582461654	1.0	-5.458097136987268	1.0
samp_13	-6.880744822479542	1.5288337042827322	0.19119141996697434	-0.6234820997317966	1.0		0.0	-8.86777352308371	3.0	-9.662906466549895	1.0		0.0	-7.135380990392613	1.0	-6.314069178903638	1.0	-7.9637826865521575	1.0		0.0	-7.336112856804307	1.0	-3.6287964059274436	4.0		0.0	-6.416286209248825	1.0	-5.135193671808949	1.0		0.0	-3.6834463197106513	1.0	-5.523076468693247	1.0
samp_14	-7.137020903452927	1.7329689858941233	0.134944036994382	-0.617284903085621	2.0	-9.811124261966551	1.0	-8.91260433042961	1.0		0.0	-9.106531591237674	1.0	-7.203344896263605	2.0	-6.383890650891747	1.0	-8.01951014305882	1.0	-3.1840814297704902	2.0		0.0		0.0		0.0		0.0	-5.205498096386758	4.0	-4.727046917303428	2.0		0.0		0.0
