run	log_tbg	log_alphap	log_betap	b9F9_log_P	b9F9_weight	b9G1_log_P	b9G1_weight	b9G2_log_P	b9G2_weight	b9G3_log_P	b9G3_weight	b9G5_log_P	b9G5_weight	b9G6_log_P	b9G6_weight	b9G8_log_P	b9G8_weight	b9H1_log_P	b9H1_weight	b9H3_log_P	b9H3_weight	b9H4_log_P	b9H4_weight	b9H5_log_P	b9H5_weight	b9H6_log_P	b9H6_weight	b9H7_log_P	b9H7_weight	b9H9_log_P	b9H9_weight	b9I1_log_P	b9I1_weight	b9I2_log_P	b9I2_weight	b17E6_log_P	b17E6_weight
fit	-23.048396013984753	0.39579499277365315	0.3395620045017304	-3.2133983898313097	1.0	-5.642912760736728	1.0	-5.893539671744426	1.0	-3.387474350962831	1.0	-7.874961773934486	1.0	-5.812968848948708	1.0	-5.845497191690604	1.0	-7.574371357141454	1.0	-8.767280957730359	1.0	-8.379251039594287	1.0	-7.687037127066774	1.0	-1.705251669300657	1.0	-1.2046271618816218	1.0	-6.472549369824563	1.0	-7.023469478767045	1.0	-6.304139815928983	1.0	-5.717465860568575	1.0
samp_00	-23.827891180341492	0.3335624140923678	0.4141352527142556		0.0		0.0	-5.899863600159308	2.0	-3.395314288658267	1.0	-7.881149671863667	3.0	-5.819295137478322	2.0	-5.85182658027152	2.0		0.0	-8.773460493584905	1.0	-8.385431004105424	1.0		0.0	-1.7205514151373915	1.0	-1.2241901572069172	2.0	-6.478796118909674	1.0	-7.029683040694913	1.0		0.0		0.0
samp_01	-21.282616302417377	0.966257248389945	-0.17561629623217404		0.0	-5.668779724867444	1.0	-5.919580225323161	2.0		0.0	-7.902425042866468	3.0		0.0	-5.871467468169634	2.0	-7.601772753709615	2.0	-8.794856662891103	1.0	-8.406753464492915	2.0		0.0	-1.6443748671105898	4.0		0.0		0.0		0.0		0.0		0.0
samp_02	-22.42294606196312	0.25455518072840244	0.4659519435304488		0.0		0.0	-5.8864165683415965	2.0	-3.382975991526288	2.0		0.0		0.0		0.0	-7.567001533479136	2.0	-8.759903311115133	1.0		0.0	-7.6796302859061845	1.0	-1.7141292787228142	2.0	-1.220776648278082	3.0		0.0		0.0	-6.296856056883387	2.0	-5.71041446053485	2.0
samp_03	-22.010536306229994	1.0167614619872372	-0.25915444379353086	-3.1997047158178886	2.0		0.0		0.0	-3.3786363988243426	2.0		0.0	-5.822142103544555	1.0		0.0	-7.585207840698615	1.0	-8.778326052205465	1.0		0.0		0.0		0.0		0.0	-6.4827153111722176	4.0	-7.034038291990287	2.0	-6.314183168300894	2.0	-5.726145437995148	2.0
samp_04	-22.03826493222068	0.43446226314450476	0.3857972853307446		0.0	-5.685411011839939	6.0		0.0		0.0		0.0	-5.855468463156499	1.0	-5.887992288966982	1.0	-7.616828922373966	2.0	-8.809743757115601	1.0		0.0		0.0		0.0	-1.2516783203401463	3.0	-6.515017433271566	2.0		0.0		0.0	-5.759952129050745	1.0
samp_05	-7.614763333605625	0.14893818189778937	0.5335226151624904	-3.1931460991810803	3.0		0.0	-5.876396785848845	2.0	-3.3661998360196734	1.0		0.0	-5.795066325356148	1.0		0.0	-7.593111658744694	1.0		0.0	-8.463236478000013	1.0	-7.7148523259718775	2.0	-1.703823787177767	1.0	-1.2139380647402391	1.0	-6.461681366032547	1.0		0.0	-6.290731475135655	2.0	-5.699309164471798	1.0
samp_06	-20.911087423824064	0.3418043911542911	0.4044090673138679	-3.2206336798902706	1.0		0.0	-5.899104579776237	1.0		0.0	-7.880412584758308	4.0	-5.818539616171172	1.0	-5.851067832084069	1.0	-7.57982127937852	1.0		0.0	-8.384690090943653	2.0	-7.692495957862715	1.0	-1.7186312001987534	1.0	-1.2217187357706827	2.0	-6.478048832127315	1.0	-7.028941217983456	1.0		0.0		0.0
samp_07	-18.918311707821033	-0.35055022180197076	0.9953559276162303	-3.182312255836484	1.0	-5.598740289682387	1.0	-5.849302360716151	2.0	-3.353497344821506	1.0		0.0	-5.768765970093429	1.0	-5.801297480073415	1.0		0.0		0.0		0.0	-7.641950981873177	1.0		0.0	-1.2559130093662847	3.0		0.0	-6.978488377865832	3.0	-6.259462368441223	1.0	-5.673564285430737	2.0
samp_08	-6.409559941866959	1.0133257506217	-0.22749179473718334	-3.216845083383155	1.0		0.0		0.0	-3.395985513238338	2.0		0.0	-5.8646101267516375	1.0	-5.898409607174369	1.0	-7.759562740495574	2.0		0.0	-8.824552283354347	1.0	-7.908158733339783	6.0		0.0		0.0	-6.550583138948168	1.0		0.0	-6.372932946943887	2.0		0.0
samp_09	-20.754166835144424	0.45727257880108046	0.3147653863802822		0.0	-5.661160691655575	1.0		0.0	-3.4048992270940617	1.0		0.0	-5.831221603854869	1.0		0.0	-7.592701884944824	4.0		0.0		0.0		0.0	-1.7185615896708206	2.0	-1.2162858768881497	3.0	-6.490850108762059	1.0		0.0	-6.322432557967961	2.0	-5.735690770094899	2.0
samp_10	-22.563119682325887	0.9723194082621556	-0.20148128519301986		0.0		0.0	-5.909614034894273	2.0		0.0	-7.892512526307811	3.0	-5.8289622029073085	1.0	-5.861493072470254	1.0		0.0	-8.784956695073099	2.0		0.0		0.0	-1.631647229931506	1.0		0.0	-6.489441111138218	3.0		0.0	-6.320915876711331	2.0	-5.733008689003542	2.0
samp_11	-20.069353810645918	0.600986085820326	0.08976670738628847		0.0		0.0	-5.870667928404325	2.0	-3.3589659487667114	1.0		0.0	-5.790069078408138	2.0		0.0	-7.551988613776254	2.0	-8.7449547428532	1.0	-8.356903314721727	2.0	-7.664637554686484	1.0	-1.6495061000552063	1.0		0.0	-6.4499588734288125	1.0	-7.001001125679571	1.0	-6.281508732056642	1.0	-5.694416578629714	2.0
samp_12	-21.85043112965227	1.011278272675526	-0.21764314169332324	-3.2187113241520797	1.0	-5.67008271666868	3.0		0.0	-3.3974558144651335	1.0		0.0	-5.840239927640429	5.0		0.0	-7.603234456387821	1.0	-8.796349446468799	2.0	-8.408247123367035	1.0	-7.715875001538327	1.0	-1.6372245307081832	1.0		0.0		0.0		0.0	-6.332255157318152	1.0		0.0
samp_13	-22.001668690223116	0.39870394961954536	0.36852792393555434		0.0	-5.6589125258742445	3.0	-5.909503301158067	1.0		0.0	-7.890908852191267	1.0	-5.828936460306107	1.0	-5.861462782002072	1.0	-7.590315177732662	1.0	-8.783221404647076	1.0		0.0	-7.702979631942422	3.0	-1.7236583873573286	1.0	-1.224591325313024	2.0		0.0	-7.0394133489581945	1.0	-6.320093834453211	1.0		0.0
samp_14	-22.203343755623983	0.9094434012559608	-0.054679957847936805	-3.2556256655362588	1.0	-5.701182484206274	3.0		0.0		0.0	-7.934523899746982	1.0		0.0	-5.903835390670488	1.0		0.0	-8.82694487775961	4.0	-8.43884622383726	1.0		0.0	-1.6926371320031812	2.0	-1.1674113316889718	1.0	-6.531582014479822	1.0		0.0	-6.36308214576868	1.0	-5.7754461275987286	1.0
samp_15	-20.04804319940245	-35.049829633153394	35.70319199904833	-3.2016957002463085	3.0	-5.604207711315515	1.0	-5.854637473332877	1.0	-3.369839236172128	1.0	-7.834213056781916	1.0	-5.774153270057424	2.0	-5.806728430249408	2.0	-7.533697856647291	1.0		0.0	-8.338438709383887	2.0		0.0		0.0		0.0		0.0		0.0	-6.264345011698687	1.0	-5.6792315052463715	2.0
samp_16	-8.8945040225294	0.6748516212400733	0.028989838858575676	-3.1875963062523103	3.0	-5.628156313585026	1.0	-5.879514426911016	2.0		0.0	-7.8760160505181025	1.0		0.0	-5.8313207075842906	2.0	-7.570986902710421	1.0		0.0	-8.393523599925121	1.0	-7.686131283863063	2.0	-1.6456118792235133	3.0		0.0		0.0		0.0	-6.29151803531226	1.0		0.0
samp_17	-22.27052282779914	0.9461927949811847	-0.18165877711992912	-3.206958870082277	2.0	-5.655769698333861	1.0		0.0		0.0	-7.8893778391614715	1.0		0.0	-5.8584211621985745	2.0	-7.588736940252558	2.0	-8.781808344640762	3.0	-8.393711334880757	1.0		0.0	-1.6330603360528342	2.0		0.0		0.0		0.0		0.0	-5.729975490672699	3.0
samp_18	-7.0397566078525715	0.07908160777829658	0.6319975761816917	-3.2101610309289748	2.0		0.0	-5.897958748800538	1.0		0.0	-7.974238789255192	1.0	-5.815996396713153	2.0	-5.849164234153097	1.0		0.0		0.0	-8.571519778811926	4.0	-7.773705960858203	2.0		0.0	-1.2434289186833423	1.0		0.0	-7.059918712736097	1.0	-6.315333106627056	2.0		0.0
samp_19	-18.75825734393021	0.4160503426123673	0.32324457428795383	-3.214837560027417	1.0	-5.644821815402311	1.0	-5.895476085524257	1.0		0.0	-7.876923913647535	1.0	-5.814897706867871	1.0	-5.8474309395722965	1.0	-7.576325947517802	2.0		0.0	-8.381225430296642	1.0	-7.689015279827628	1.0	-1.7048819866701008	1.0	-1.2032780236104508	1.0		0.0	-7.025430269993864	5.0		0.0		0.0
samp_20	-23.5032207374056	1.2549502580140022	-0.4281317586158811	-3.2214910560278507	4.0	-5.685491098493742	1.0		0.0		0.0	-7.920373622105414	2.0	-5.855720092020802	1.0		0.0	-7.619659154820932	2.0	-8.812878165940488	1.0		0.0		0.0	-1.6047471753112748	1.0		0.0	-6.516821898242906	1.0	-7.068345752316312	1.0	-6.348213551596556	2.0	-5.759455946776068	1.0
samp_21	-17.966671924317776	3.8848200885812725	-3.1013466853975524		0.0	-5.596937307790806	2.0	-5.851770348933071	2.0		0.0	-7.891126424787167	3.0	-5.768728113220987	1.0	-5.801087671399122	1.0		0.0		0.0	-8.397441488113015	2.0	-7.699442782982395	1.0		0.0		0.0		0.0	-7.027108073907636	1.0	-6.289564543121291	2.0	-5.6547431754949615	2.0
samp_22	-21.883739891688013	0.8913846289383871	-0.1326032564609076	-3.2066203321309024	1.0	-5.653090152787412	1.0	-5.903852137957113	1.0		0.0		0.0	-5.823218963098911	1.0	-5.855749723331062	1.0	-7.58584428857947	1.0	-8.778867945635081	2.0	-8.390816083164792	1.0	-7.698474591420334	1.0	-1.6400973840153987	2.0		0.0	-6.483537756293962	1.0	-7.034744891718452	1.0	-6.315032238991785	2.0	-5.727334116707545	1.0
samp_23	-21.435398488798672	0.19103004994264894	0.5223451245599412	-3.2075592834016438	1.0	-5.632333357157803	1.0	-5.882930231867778	3.0	-3.380602683293533	1.0		0.0	-5.802373365022972	1.0	-5.834901896411265	1.0		0.0	-8.756296998660035	1.0	-8.368277584200298	2.0		0.0	-1.717234700738421	1.0	-1.2268941962600346	2.0	-6.461750666538389	1.0		0.0	-6.293367346479086	2.0		0.0
samp_24	-21.128803244962857	0.6866473057623524	0.066231496850309	-3.212480246682064	1.0	-5.650875507813781	1.0	-5.9015957804055885	2.0	-3.388451564633195	2.0	-7.883649035601413	1.0	-5.820996458008681	2.0		0.0		0.0	-8.776024514485187	2.0	-8.387972681596004	3.0		0.0		0.0		0.0	-6.480940589803769	1.0	-7.032034697317208	2.0		0.0		0.0
samp_25	-20.500758093006176	0.2875802582257193	0.4257879272961174		0.0	-5.632138153438613	1.0	-5.882736371814404	4.0	-3.378606574486966	1.0		0.0		0.0	-5.834705822077009	2.0	-7.56340592570719	2.0		0.0		0.0		0.0	-1.7059782038602889	2.0	-1.2103340661507296	2.0	-6.461665180888099	1.0	-7.012539182265891	2.0		0.0		0.0
samp_26	-6.655572943171853	0.8621010310371903	-0.10400561172315988	-3.2094230053346173	1.0	-5.6705597511891535	2.0	-5.927621482865355	1.0	-3.3871318836587774	1.0		0.0		0.0	-5.87835496943783	1.0		0.0		0.0	-8.705993719373202	3.0		0.0	-1.6456654537858226	1.0		0.0	-6.524708977638516	4.0		0.0	-6.349208032748112	2.0	-5.748082482249916	1.0
