run	log_tbg	log_alphap	log_betap	b2F3_log_P	b2F3_weight	b2F5_log_P	b2F5_weight	b2F6_log_P	b2F6_weight	b2F7_log_P	b2F7_weight	b2F8_log_P	b2F8_weight	b2F9_log_P	b2F9_weight	b2G2_log_P	b2G2_weight	b2G3_log_P	b2G3_weight	b2G4_log_P	b2G4_weight	b2G5_log_P	b2G5_weight	b2G6_log_P	b2G6_weight	b2G7_log_P	b2G7_weight	b2G8_log_P	b2G8_weight	b2H1_log_P	b2H1_weight	b2H3_log_P	b2H3_weight	b2H4_log_P	b2H4_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2H8_log_P	b2H8_weight	b1I8_log_P	b1I8_weight	b2A1_log_P	b2A1_weight	b2A2_log_P	b2A2_weight	b2A4_log_P	b2A4_weight	b2A5_log_P	b2A5_weight	b2A6_log_P	b2A6_weight	b2A7_log_P	b2A7_weight	b2A8_log_P	b2A8_weight	b2A9_log_P	b2A9_weight	b2B1_log_P	b2B1_weight	b2B2_log_P	b2B2_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight	b2B6_log_P	b2B6_weight	b2B7_log_P	b2B7_weight	b2B9_log_P	b2B9_weight
fit	-5.598922195035741	4.720018153618038	-0.061674762107822204	-3.94391606437909	1.0	-2.0872435624599723	1.0	-12.306546985110526	1.0	-5.0402804418998555	1.0	-4.974603225009517	1.0	-11.704106225894948	1.0	-10.585179598819002	1.0	-5.0422889058017075	1.0	-0.5774445512999026	1.0	-6.687148655198467	1.0	-5.106474265731686	1.0	-4.436745592463127	1.0	-4.752680757407262	1.0	-6.6507226367423184	1.0	-1.4705287354442138	1.0	-6.911036713649766	1.0	-7.788306635554184	1.0	-6.892936761313646	1.0	-4.702203463067526	1.0	-4.883794495418468	1.0	-7.397802641222299	1.0	-6.444589020642095	1.0	-5.357895123781104	1.0	-4.66659252474596	1.0	-7.975144625326298	1.0	-10.383006244217786	1.0	-10.530482029404093	1.0	-7.325677153403769	1.0	-4.498857678982076	1.0	-4.29180033084637	1.0	-0.33931016149339105	1.0	-5.319240409114615	1.0	-4.996170606956443	1.0	-4.699076489682967	1.0	-10.156983047073172	1.0
samp_00	-5.599789311131953	4.793200033553901	-0.06381104338721773	-3.9473487109820655	2.0	-2.0860990907306576	3.0	-12.376911068784578	2.0		0.0		0.0		0.0	-10.65598958389208	1.0		0.0	-0.5777217379972258	3.0	-6.7241856926437045	1.0	-5.1257804355395065	1.0	-4.446618843434316	1.0	-4.767744096436196	4.0	-6.687312251805548	2.0		0.0		0.0		0.0	-6.9319891216235225	2.0		0.0	-4.900698786827789	1.0		0.0	-6.47913148449851	3.0		0.0		0.0	-8.027060567500344	2.0		0.0		0.0	-7.369985930683078	1.0		0.0	-4.3013818877145775	2.0	-0.339840284300094	2.0	-5.341824983310515	2.0		0.0		0.0		0.0
samp_01	-5.665103356120103	4.889525438735131	-0.146508214337411	-3.9271372038287207	2.0		0.0		0.0		0.0	-4.9760002692530145	1.0	-11.767063924805493	2.0	-10.656463753522463	1.0		0.0		0.0	-6.717391061516007	1.0	-5.111335489348366	2.0	-4.427737402647243	1.0	-4.7521149925796	1.0	-6.68185370510664	1.0	-1.4648599991185702	3.0	-6.945987287595456	2.0	-7.832646121072948	1.0	-6.926850604022471	2.0		0.0	-4.886015862760094	2.0	-7.433398969705064	1.0	-6.47321420599664	2.0		0.0	-4.662964305261115	1.0		0.0	-10.454094969787688	1.0	-10.601712836440472	1.0		0.0		0.0	-4.284952081500151	1.0	-0.3379791511182916	1.0		0.0	-4.996021713264465	1.0	-4.6994619239487925	3.0	-10.227481173668478	1.0
samp_02	-5.668079422569256	4.641883830111014	-0.02832864656680826	-3.9486209425009595	2.0	-2.0912162357600494	1.0		0.0	-5.033102658829675	1.0	-4.967549834566663	1.0	-11.639750127134636	2.0		0.0	-5.034456462995937	3.0	-0.5782739522988313	1.0	-6.659714162007496	1.0	-5.097558956841841	1.0		0.0	-4.747380842453589	1.0		0.0		0.0	-6.88194968801331	2.0	-7.74875232606259	1.0		0.0		0.0	-4.876872489300336	2.0		0.0		0.0	-5.348442464627854	2.0		0.0	-7.930475531351993	1.0	-10.323723235915228	1.0	-10.471932932715452	1.0	-7.289315234556199	3.0	-4.495616758811414	1.0	-4.290879408248879	1.0	-0.3398497765611394	1.0		0.0		0.0	-4.693634948230475	3.0	-10.094930575550954	2.0
samp_03	-5.835900830859993	4.349987783557751	0.1391299476130259		0.0		0.0	-12.023092627967586	1.0	-5.023080409222061	1.0	-4.957651203587067	1.0	-11.472159953683162	3.0	-10.363035676251737	2.0	-5.022082998501257	2.0	-0.5855689725476749	1.0		0.0		0.0	-4.448393052302565	2.0	-4.743018635419252	3.0	-6.558513824399386	4.0		0.0	-6.809278541312683	1.0		0.0		0.0		0.0		0.0	-7.256332968490868	2.0	-6.360677728665209	1.0	-5.332387223065952	2.0	-4.663901942686697	2.0	-7.819346660827247	1.0		0.0		0.0		0.0		0.0	-4.301869520151078	1.0	-0.3456824767122853	2.0	-5.2811652113692125	2.0	-4.981328582467563	1.0		0.0		0.0
samp_04	-5.545956156370244	4.840370330238722	-0.115252316098541		0.0	-2.0816787766104063	3.0		0.0	-5.047322673921746	1.0	-4.981694145085238	4.0		0.0	-10.662044603902714	1.0		0.0	-0.5762491079966889	1.0	-6.723450421824038	1.0		0.0		0.0		0.0	-6.686215551191542	1.0		0.0	-6.950273617700893	2.0	-7.841034776211763	1.0	-6.932311318125274	3.0	-4.709947032446188	2.0		0.0		0.0		0.0	-5.367494197200091	2.0	-4.669140488780591	1.0	-8.033620973653557	2.0		0.0		0.0	-7.373599000287932	2.0	-4.501104832471512	1.0	-4.29087211412443	2.0	-0.33858744454947487	1.0		0.0	-5.002406199463737	3.0	-4.704354078456021	1.0		0.0
samp_05	-5.590162231020503	4.374908026588032	0.10082605243331093	-3.9722510989377224	1.0		0.0	-12.12958625140971	1.0	-5.018133635369501	2.0		0.0	-11.529392868768694	1.0	-10.40560050349627	1.0	-5.01718813413931	1.0	-0.5836864085452654	2.0	-6.602115045338012	1.0	-5.07700847262216	1.0		0.0	-4.736954795977193	2.0		0.0	-1.486897791139292	1.0		0.0	-7.671317877810879	1.0		0.0	-4.679084901946007	1.0	-4.861566331401945	1.0	-7.288419099438036	2.0	-6.365622081583608	1.0	-5.329567297839492	1.0	-4.657391456224522	2.0		0.0	-10.203488734375318	2.0	-10.351571189222446	2.0	-7.22082089325206	1.0		0.0		0.0	-0.34399109727788796	4.0		0.0	-4.976153710971254	1.0	-4.682515597534929	1.0	-9.975036350319789	1.0
samp_06	-6.015426618392912	4.699260689301946	-0.06906125272172563	-3.9358526091062673	2.0	-2.0860046660310005	2.0		0.0	-5.021561196290763	2.0	-4.956904074744539	1.0	-11.566941437787465	1.0		0.0	-5.02382400753399	1.0	-0.5767013392879385	1.0	-6.638028849185866	2.0	-5.087441111840303	1.0	-4.424435372287485	3.0		0.0	-6.606087141986763	2.0		0.0		0.0	-7.710466225650058	1.0	-6.841350583458734	2.0	-4.6878690090199875	1.0	-4.86734933755232	2.0	-7.302500219361385	1.0	-6.4051489471728695	1.0		0.0	-4.652152991291356	1.0		0.0		0.0		0.0	-7.252938568274088	1.0	-4.486103633029287	2.0		0.0	-0.33855683134187764	1.0	-5.29824482625027	3.0	-4.977965255430845	1.0		0.0		0.0
samp_07	-5.606356130306584	4.859836549593772	-0.1011672987349233	-3.9393905637801403	1.0		0.0	-12.402499509323075	2.0		0.0	-4.990774900718463	1.0	-11.79976909513583	2.0	-10.68388213388205	3.0	-5.059836650898258	2.0	-0.5768094945837199	1.0		0.0		0.0		0.0	-4.7658618785310445	2.0		0.0	-1.467321676729452	1.0	-6.963394917588073	1.0	-7.854656471179351	2.0		0.0	-4.7185052199152	1.0		0.0		0.0	-6.489540715446176	2.0		0.0	-4.676919501842274	1.0		0.0		0.0	-10.628888488921518	3.0	-7.385361662588549	2.0	-4.508392648759973	2.0	-4.297159071905491	1.0		0.0	-5.344574110517658	1.0	-5.011409778441918	2.0		0.0	-10.25713517346266	2.0
samp_08	-5.586364017195726	4.9021658366439285	-0.16305622847847562	-3.9241420640582456	2.0	-2.077572626267382	2.0		0.0	-5.038884188041171	1.0		0.0	-11.786753122793032	1.0	-10.668014934284946	1.0	-5.042853587061849	1.0	-0.5751912867381599	1.0	-6.722170108112074	2.0	-5.109435915844222	1.0	-4.424885902829863	3.0		0.0		0.0	-1.464146009809254	1.0	-6.950810163058445	3.0	-7.8424722815090595	2.0	-6.932201229081897	1.0		0.0		0.0		0.0		0.0	-5.358058841611181	1.0		0.0	-8.03400655794965	2.0	-10.465910935074843	2.0		0.0	-7.372924505558102	1.0	-4.493256152441583	1.0	-4.282368958874224	1.0	-0.3376454556801288	1.0	-5.328915250740635	1.0	-4.993753518871473	1.0	-4.697161960892816	1.0	-10.241456415492532	1.0
