run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2A7_log_P	b2A7_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
fit	0.04490217970205062	-4.9316799393625335	1.0	-2.166553305208574	1.0	-4.794095538111136	1.0	-4.55870706899003	1.0	-0.5849269954005584	1.0	-4.692511256448815	1.0	-4.678963461575836	1.0	-5.1566625636276235	1.0	-1.5126800597901082	1.0	-4.091463725149911	1.0	-4.570294856100882	1.0	-7.767472282070977	1.0	-4.899731654438899	1.0	-0.34491097810276	1.0	-4.189891558813459	1.0	-4.676378969963693	1.0	-5.249364399484399	1.0	-6.267181435572151	1.0	-9.72149882459219	1.0	-9.964669025477912	1.0	-7.185354774320555	1.0	-5.316844111982278	1.0	-9.889528898244137	1.0
samp_00	-0.03070458759461006	-4.918408270851587	1.0	-2.168962030393089	1.0		0.0		0.0	-0.5849269860369297	2.0	-4.6798774478470735	1.0		0.0	-5.14258976035937	1.0	-1.5142392080811633	2.0	-4.085330079853044	1.0	-4.560017948505318	1.0		0.0		0.0	-0.3447452622067401	2.0	-4.179786754012356	1.0		0.0	-5.23415779388426	1.0	-6.248376997284384	2.0	-9.684852742732934	2.0	-9.928453503096872	1.0	-7.1628382795312175	1.0	-5.301974822698572	2.0	-9.853959683605769	1.0
samp_01	0.3656355007362291		0.0	-2.157369799455093	2.0	-4.840220431662103	1.0	-4.599088291088622	1.0		0.0	-4.739199029147324	4.0	-4.722540320711583	1.0		0.0		0.0	-4.111766778927436	1.0	-4.607248363340998	1.0		0.0	-4.949548395782904	2.0	-0.3454592108192032	1.0	-4.226452631624632	3.0		0.0		0.0	-6.339275901681961	2.0	-9.862838425172656	1.0	-10.104152513561685	2.0		0.0		0.0	-10.026689309224455	1.0
samp_02	-0.04242079650695604	-4.9162940437236715	1.0	-2.1693431506081384	1.0	-4.779593304237989	2.0	-4.54583568989289	2.0		0.0	-4.677863039749642	1.0		0.0		0.0	-1.514488135355006	1.0	-4.08433027508303	3.0		0.0		0.0	-4.8841923773566585	2.0		0.0		0.0	-4.662081439538967	3.0		0.0	-6.245404413696906	1.0	-9.67905514909121	2.0		0.0	-7.159290901362208	1.0		0.0	-9.848343852711789	3.0
samp_03	0.13223433630431108	-4.94619987075321	1.0		0.0		0.0	-4.570750026264458	1.0	-0.5849271346273931	2.0	-4.706308109677927	1.0	-4.6919011822223915	3.0		0.0	-1.5109765890410842	2.0	-4.097870323179085	1.0	-4.581393986567123	1.0		0.0	-4.91440513778192	1.0		0.0	-4.200830865648065	2.0		0.0	-5.266098772722582	2.0	-6.28804109073912	1.0	-9.762269316980921	2.0		0.0	-7.210461905818223	1.0	-5.333195978632273	1.0	-9.929086810794317	1.0
samp_04	0.23292404773664827		0.0		0.0		0.0	-4.583644725540236	3.0		0.0	-4.72119175770014	3.0		0.0		0.0	-1.5091234833796827	1.0	-4.104405373408997	2.0	-4.593206099206185	2.0		0.0	-4.930286498099662	2.0	-0.3452703633712465	2.0	-4.212505328562103	2.0	-4.704318862526587	1.0	-5.284310684011574	1.0	-6.3109433750174375	2.0		0.0	-10.049244335666051	1.0		0.0		0.0	-9.972649910959097	1.0
samp_05	0.0391783819804547	-4.930697452485905	2.0	-2.166733083175904	2.0	-4.79317292198441	1.0	-4.557890017402229	1.0		0.0	-4.691578623116671	1.0	-4.67808609969027	2.0	-5.155622045430842	1.0		0.0	-4.091008458057414	1.0		0.0		0.0	-4.898738950941634	2.0	-0.34489450943464695	1.0	-4.1891491625015576	2.0	-4.6754676051438855	2.0		0.0	-6.265784050459972	1.0	-9.718765255829947	1.0	-9.96197468425533	1.0		0.0	-5.315741413043361	2.0		0.0
samp_06	0.4111577027000528		0.0		0.0		0.0	-4.604004359242841	1.0		0.0	-4.744970764867598	1.0		0.0		0.0	-1.5062411706495547	3.0	-4.1139912776016185	2.0		0.0	-7.878453837468719	2.0	-4.955740642835003	1.0	-0.3455199363664881	1.0	-4.230878076577671	4.0	-4.727420490200485	1.0	-5.31378611441507	3.0	-6.348509912797307	1.0		0.0	-10.122078588481525	2.0		0.0	-5.3796937299381025	1.0		0.0
samp_07	-0.1473865342629948	-4.8966305653799225	1.0	-2.1728380302380517	3.0		0.0	-4.529226223318881	1.0		0.0	-4.659100525281733	1.0	-4.647472289571012	2.0	-5.119563560451144	1.0	-1.516811236068285	2.0	-4.07472157529661	1.0	-4.542898054472469	1.0		0.0	-4.864344239233688	1.0	-0.3444483028444002	1.0	-4.162986189585562	1.0		0.0		0.0	-6.218005327979446	1.0	-9.625874556704892	2.0	-9.870143251457137	1.0	-7.126719606582323	2.0		0.0	-9.796715907208107	1.0
samp_08	-0.17427778970701077	-4.891380251854879	1.0	-2.17373834246423	1.0		0.0		0.0	-0.5848901772463332	1.0	-4.654081769962616	1.0	-4.642729439154063	4.0	-5.1140007271674826	2.0	-1.517444698102962	1.0	-4.072080289059809	3.0	-4.538724714489497	1.0		0.0	-4.859046591752184	1.0	-0.3443773019624901	1.0	-4.1588946577915245	1.0		0.0		0.0	-6.210778216792011	2.0		0.0	-9.856268887690199	2.0		0.0	-5.271874541853206	1.0		0.0
