run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
fit	-1.91378421380588	-5.077686622468819	1.0	-2.4226116633525443	1.0	-4.8123315520563885	1.0	-4.693410003665962	1.0	-0.6439700809137981	1.0	-4.772436631293036	1.0	-4.840255458929376	1.0	-5.192284565080727	1.0	-1.7064101264812785	1.0	-4.20225724141563	1.0	-4.639230018326235	1.0	-7.5934431967491065	1.0	-4.7379062725829195	1.0	-0.32953431986857984	1.0	-4.036123316385839	1.0	-4.497667847829985	1.0	-4.993412000488046	1.0	-6.07120448160613	1.0
samp_00	-1.589792103382308		0.0		0.0	-4.930622316960877	1.0	-4.808333410812419	1.0	-0.637047490166986	1.0	-4.890505424200542	1.0	-4.958108739046729	1.0	-5.316704367779917	2.0		0.0		0.0	-4.752304833528309	1.0		0.0		0.0	-0.3373285597498529	2.0	-4.1427065776656855	3.0	-4.612876580770489	1.0	-5.116951843044818	1.0	-6.207625142349416	3.0
samp_01	-2.046818875472911	-5.026056328836315	1.0		0.0		0.0	-4.644434013058655	1.0		0.0		0.0	-4.790242321854047	2.0	-5.139937582798358	3.0	-1.71302986508071	2.0	-4.158613438260312	1.0	-4.59091520243065	2.0	-7.524440089697976	2.0	-4.6874676008118925	1.0		0.0	-3.9900101316265064	1.0	-4.44852660891848	1.0	-4.941332185103131	1.0		0.0
samp_02	-1.815420079964646		0.0	-2.4239551811513294	2.0	-4.848887627545831	1.0		0.0	-0.6420809405974548	1.0	-4.808932584866542	3.0		0.0	-5.230571363865644	1.0		0.0	-4.233611393706152	1.0	-4.674308836846596	1.0	-7.64504157218132	1.0		0.0	-0.3323675714783239	2.0	-4.069398627623478	1.0	-4.533374321777839	2.0	-5.03147281946797	1.0	-6.112877007285052	1.0
samp_03	-1.8902787934639715	-5.086744175023518	2.0		0.0	-4.821107629700822	1.0		0.0	-0.6435361718676779	1.0		0.0	-4.848996803532603	1.0	-5.201474631233867	3.0		0.0	-4.209823761298251	2.0		0.0	-7.605716890498005	1.0	-4.746745836698368	1.0	-0.3302498622974686	2.0	-4.044138522011247	2.0		0.0	-5.002537292900514	2.0		0.0
samp_04	-2.237619384893892	-4.951073268769738	2.0	-2.4035651087543437	1.0	-4.689015657703198	1.0	-4.572857616733049	3.0	-0.6478479341615166	4.0	-4.649270415460172	2.0	-4.717340600535472	2.0	-5.0640386452319905	1.0		0.0	-4.093896316464948	1.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0	-5.933386655122959	1.0
samp_05	-1.9458754112646797	-5.065290635887656	2.0	-2.42171471608765	1.0		0.0	-4.681676222165781	2.0		0.0	-4.76042139237908	2.0		0.0	-5.179705460813872	1.0	-1.7082095929553713	1.0	-4.19185812681923	1.0	-4.627661213046888	1.0	-7.576697581901792	1.0	-4.725811121055808	1.0	-0.3285239965031553	1.0	-4.025117401098632	1.0	-4.4858968776141195	2.0	-4.9809062935954795	1.0		0.0
samp_06	-1.7754620799915488	-5.1306046271653845	3.0	-2.4239369954055126	1.0	-4.863592865559235	1.0	-4.743310034999254	1.0		0.0		0.0	-4.8913346300225005	3.0		0.0		0.0		0.0		0.0	-7.66611156647165	3.0	-4.789435571987875	1.0		0.0	-4.082698460102674	2.0	-4.547709897977159	1.0		0.0	-6.12975447004984	2.0
samp_07	-1.778071800917402	-5.129613213952354	2.0	-2.4239492235596707	1.0	-4.862636423754014	2.0	-4.742380339399001	1.0	-0.6412829271831131	1.0	-4.822656669196398	1.0		0.0		0.0	-1.6975271895746358	1.0	-4.245294663199907	1.0		0.0	-7.664733319338133	2.0	-4.788474220896385	1.0	-0.33330067104058764	1.0	-4.081834473633395	1.0		0.0	-5.045805541068556	1.0	-6.1286535077639135	2.0
samp_08	-1.9890659578101366	-5.048547783441141	2.0		0.0	-4.784029648973831	1.0	-4.66580303772007	2.0		0.0		0.0	-4.81204936804115	1.0		0.0		0.0	-4.17772543472972	2.0	-4.612001183781713	2.0	-7.554276969352197	2.0	-4.709458558853842	1.0	-0.32707647149178737	2.0	-4.010175413643719	1.0	-4.469969882424719	1.0	-4.964017790081795	1.0		0.0
