run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2H4_log_P	b2H4_weight	b2H1_log_P	b2H1_weight	b2H5_log_P	b2H5_weight	b2H7_log_P	b2H7_weight	b2F8_log_P	b2F8_weight	b2F6_log_P	b2F6_weight	b2G5_log_P	b2G5_weight	b2F9_log_P	b2F9_weight	b2F7_log_P	b2F7_weight	b2G2_log_P	b2G2_weight	b2G6_log_P	b2G6_weight	b2A7_log_P	b2A7_weight	b2A1_log_P	b2A1_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
fit	3.190500925537871	-4.885476501055821	1.0	-2.0943617931720735	1.0	-4.756014412383541	1.0	-4.503846712125386	1.0	-0.5793903966937853	1.0	-4.702953945583473	1.0	-4.671706897838496	1.0	-5.043556563703117	1.0	-1.4752837222555468	1.0	-3.957341973799695	1.0	-4.445139016670673	1.0	-7.947465090142751	1.0	-4.998976104696088	1.0	-0.34088366830956124	1.0	-4.299063917727781	1.0	-4.70193331094857	1.0	-5.315793999930279	1.0	-6.430363770649659	1.0	-10.116747576487493	1.0	-6.892766246968887	1.0	-6.634724191242469	1.0	-7.7630745655045255	1.0	-6.874866858900934	1.0	-4.976619797338522	1.0	-12.261795331945605	1.0	-6.671085328838054	1.0	-11.66397442916765	1.0	-5.042527793549695	1.0	-10.545949454837338	1.0	-5.106490071989809	1.0	-10.343727792933981	1.0	-7.37401423548433	1.0	-7.303607667689198	1.0	-5.359029542543686	1.0	-10.4914443752881	1.0
samp_00	3.8243063737986076	-4.890373406811475	2.0	-2.0940135906799435	1.0		0.0	-4.507541120819317	1.0	-0.5794678129567341	1.0	-4.707633340357138	1.0		0.0	-5.0488018063559545	2.0	-1.475036279893707	3.0	-3.958610635098331	1.0	-4.448222435825256	1.0		0.0	-5.003941856224598	2.0	-0.3409970558240369	2.0		0.0	-4.706321154963024	3.0		0.0	-6.4395269069768615	2.0		0.0	-6.90300043332983	2.0		0.0	-7.775586748261598	1.0	-6.885105923164648	1.0		0.0	-12.280265344801931	1.0	-6.680852814529088	1.0	-11.68205863026858	1.0		0.0	-10.564476429992427	1.0	-5.1120083102715	2.0		0.0	-7.386224876258509	2.0		0.0		0.0	-10.5099067562118	1.0
samp_01	5.490518926792658	-4.8948862389809396	3.0		0.0	-4.764514995077048	1.0	-4.510929975410845	1.0		0.0		0.0		0.0	-5.0536420104512185	2.0	-1.4748129491156445	1.0		0.0		0.0	-7.973413959627462	1.0	-5.0085132075777565	1.0	-0.3411202491688423	2.0	-4.304691484487793	1.0	-4.710356998764423	2.0	-5.327943985120151	1.0	-6.448077684559672	1.0	-10.153190619959162	2.0	-6.912567098294123	2.0	-6.653387829953386	1.0	-7.78731129565009	1.0	-6.89467685730061	1.0		0.0	-12.297546019162787	1.0	-6.689977220188648	2.0	-11.698953943506226	1.0		0.0		0.0	-5.117106173750253	1.0	-10.379591757475664	3.0	-7.39767016578539	1.0		0.0	-5.370255092664218	1.0	-10.527149262831632	1.0
samp_02	2.3694222237675797	-4.872367154161201	1.0		0.0	-4.744116846858782	1.0		0.0	-0.5791985707942673	2.0		0.0	-4.660870265316678	2.0		0.0	-1.4759200700135102	1.0	-3.9537167962323845	2.0	-4.436722392763479	1.0		0.0	-4.9856858735740595	1.0	-0.34051783120677276	1.0		0.0	-4.690144596832391	1.0	-5.299065687795127	1.0	-6.406351356525477	2.0	-10.06743993061291	1.0		0.0		0.0	-7.730509917513285	1.0	-6.848112820557923	2.0	-4.963178481884278	1.0	-12.213343200801944	1.0	-6.645527997988988	1.0	-11.616652841424669	2.0	-5.028842902591675	2.0	-10.49745094088513	1.0	-5.091780299822079	3.0	-10.295195142270087	1.0	-7.342237132075037	2.0	-7.2735985157846885	1.0		0.0		0.0
samp_03	2.2904142865232546		0.0	-2.0954127610761013	1.0	-4.742384709447014	2.0	-4.492395479888288	2.0		0.0	-4.688599046544333	3.0	-4.6592870755374935	2.0	-5.0275176126725265	2.0		0.0	-3.9531616764427953	1.0	-4.4354839510855175	1.0	-7.907710682074319	1.0	-4.983757177050782	1.0		0.0		0.0	-4.688430043603163	1.0		0.0	-6.40292234874197	1.0		0.0		0.0		0.0		0.0	-6.844301403538393	1.0		0.0	-12.206391615964035	1.0	-6.641885296459242	1.0		0.0		0.0	-10.490532221796258	2.0	-5.089652424633217	3.0	-10.288272240866782	3.0	-7.3377273443279964	2.0	-7.269335323274638	3.0	-5.341252614735885	1.0		0.0
samp_04	3.1422823715742325		0.0	-2.0943982450411056	2.0		0.0	-4.5034580473194135	1.0		0.0		0.0		0.0		0.0	-1.4753086477141875	3.0		0.0	-4.444812060239685	3.0	-7.9460683079220695	1.0		0.0	-0.34083459720555787	1.0	-4.298752297438668	3.0	-4.701472994799095	1.0	-5.315135970243991	4.0	-6.429409928204622	2.0		0.0	-6.89170114426617	2.0	-6.633719671231959	1.0	-7.761771864585848	1.0	-6.873800704068679	2.0		0.0		0.0		0.0	-11.662101871928138	1.0	-5.041990740023314	1.0	-10.544006680518876	1.0		0.0		0.0	-7.372742846537431	2.0		0.0	-5.358418305463744	2.0	-10.489526093307855	1.0
samp_05	14.074442044690372		0.0		0.0	-4.7654672277604275	1.0	-4.51172075555216	2.0	-0.5795356992766211	2.0		0.0		0.0		0.0		0.0	-3.9599978744331517	2.0		0.0	-7.976381999845531	1.0	-5.009580278080466	2.0	-0.3411018205170592	1.0	-4.305315291148149	1.0	-4.71130170858814	1.0		0.0	-6.450092267396699	1.0		0.0	-6.914833355462415	3.0	-6.655511741707772	1.0	-7.790079924876473	2.0	-6.896932873381327	1.0	-4.987359712911717	4.0		0.0	-6.6921348249396395	2.0	-11.702933052347733	2.0	-5.053463309490816	2.0	-10.58586105518436	1.0	-5.1183020329027675	1.0		0.0	-7.400373129566969	1.0		0.0		0.0	-10.531218737993573	1.0
samp_06	2.4208109093444103		0.0	-2.0951973296595092	3.0	-4.745174282428246	1.0		0.0		0.0		0.0	-4.661835563733238	1.0	-5.030788142365648	1.0		0.0		0.0		0.0		0.0		0.0	-0.34054595820770495	1.0		0.0		0.0		0.0	-6.408451234840952	2.0	-10.07174477146702	1.0	-6.868354176643922	4.0	-6.611676368806638	1.0		0.0		0.0		0.0	-12.21756787478294	2.0	-6.647759054694703	3.0		0.0	-5.030058637993942	3.0	-10.501684918617833	2.0	-5.093083273040857	3.0	-10.299431731325829	2.0	-7.345003687523196	2.0	-7.27621388328686	2.0	-5.344870155668079	1.0		0.0
samp_07	3.9889141957917285	-4.891216956010778	3.0	-2.0939546296450056	1.0		0.0	-4.508176431723132	1.0		0.0	-4.708441158239762	1.0		0.0	-5.049703347542011	2.0	-1.4750029679484598	1.0		0.0	-4.44875070814213	1.0	-7.963185798455219	1.0	-5.00479296294228	1.0		0.0		0.0	-4.707076339986032	1.0	-5.323189633126791	1.0	-6.4411154520078835	2.0	-10.138858389261642	4.0		0.0	-6.6460482825853395	2.0	-7.777760794670501	2.0		0.0	-4.98250836777756	1.0		0.0	-6.682547434516099	4.0	-11.685199462014724	1.0		0.0	-10.56768971535791	2.0		0.0		0.0		0.0		0.0	-5.365864845333185	2.0	-10.513101239224962	1.0
samp_08	2.7533564870141447	-4.879799113122935	2.0	-2.094760523736444	2.0	-4.7508701958094175	1.0	-4.499537782563705	1.0	-0.5793091567207762	1.0		0.0	-4.66702879729132	1.0	-5.037484927560714	1.0	-1.4755633341738992	1.0	-3.9558116115835813	1.0	-4.4415219714518805	1.0		0.0		0.0	-0.3407207058962249	1.0		0.0	-4.696835926658857	1.0	-5.3085235710688465	1.0	-6.419877700112693	1.0	-10.095197367603399	1.0	-6.881072400660667	1.0		0.0	-7.748808875749434	2.0		0.0	-4.970797927882656	2.0	-12.24063896724972	1.0	-6.659916439333562	1.0	-11.643293470200954	2.0		0.0		0.0	-5.100113063211236	3.0		0.0	-7.360092285018001	2.0	-7.290464831605368	2.0		0.0	-10.470334844441819	2.0
