run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
fit	-1.332275152870659	-4.9781907139776305	1.0	-2.3087514781909633	1.0	-4.819493186441777	1.0	-4.608832117476134	1.0	-0.6210953843094705	1.0	-4.67239441879577	1.0	-4.788780272306649	1.0	-5.116493053200374	1.0	-1.616247610823503	1.0	-4.1455837588382725	1.0	-4.562555508119259	1.0	-7.381879845503958	1.0	-4.6878232203339065	1.0	-0.34372678755263475	1.0	-4.9742763335395415	1.0
samp_00	-1.326528220879155	-4.980122079609283	2.0	-2.308510582830073	1.0	-4.8213594442594605	1.0	-4.610606369852742	1.0	-0.6209920306091485	2.0		0.0		0.0		0.0	-1.6158771146066109	1.0	-4.147045664944272	2.0	-4.564290213300171	1.0	-7.38455113213735	2.0	-4.689710051296366	1.0		0.0	-4.97627498498758	1.0
samp_01	-1.1893886521789447		0.0	-2.301858669685707	3.0		0.0	-4.6521216723274295	1.0	-0.6186775714734871	1.0		0.0		0.0		0.0	-1.6069472777447915	1.0	-4.180462862324407	1.0	-4.604736987198888	2.0		0.0	-4.7340411233745865	2.0	-0.34498714904796246	1.0	-5.023204015017831	3.0
samp_02	-1.4917544201857043	-4.923441109545146	2.0	-2.3138653189056657	1.0	-4.766258743556796	1.0	-4.558154465733901	1.0		0.0	-4.61961903382244	1.0	-4.736314205775579	1.0	-5.060515325644049	1.0	-1.6262223231849022	2.0	-4.103630069263903	1.0	-4.513028639952594	1.0	-7.3078319884187	2.0		0.0	-0.34187421422296294	1.0		0.0
samp_03	-0.7295250430537451		0.0		0.0	-4.998110892624994	1.0	-4.776079269855349	1.0		0.0	-4.848853332818901	1.0		0.0		0.0	-1.5782310631761765	2.0		0.0	-4.724702578396863	1.0	-7.65337765860093	3.0	-4.86856021116003	6.0		0.0		0.0
samp_04	-1.5272803093808338	-4.910976102654368	1.0	-2.314569416906566	2.0		0.0	-4.546546125120332	2.0	-0.62430711586452	3.0		0.0		0.0		0.0	-1.6283490821335709	2.0	-4.093869334244004	1.0	-4.501664705446924	1.0	-7.291280435897962	2.0	-4.621791389538738	1.0		0.0		0.0
samp_05	-1.8018159667114568		0.0	-2.3134795262892	3.0	-4.657088456513997	1.0		0.0	-0.6281372259579172	1.0	-4.5111718202632805	1.0	-4.628480135389801	3.0	-4.946661803098646	1.0	-1.6423519865486036	3.0		0.0	-4.410201218363657	1.0		0.0	-4.523871929049869	1.0		0.0		0.0
samp_06	-1.135574482342775		0.0	-2.298811784083583	2.0		0.0	-4.667864140482029	1.0		0.0		0.0	-4.850208933121285	1.0	-5.182640858027506	2.0		0.0		0.0	-4.620051055047511	2.0	-7.4723367785982795	3.0		0.0	-0.34537632700813065	2.0	-5.041160230595252	2.0
samp_07	-1.266803203577781	-5.000044111971822	1.0		0.0	-4.840688677224836	1.0		0.0	-0.6199904507010892	3.0	-4.693385209312844	1.0	-4.809647200661496	1.0		0.0	-1.6120020633810783	3.0		0.0	-4.582157245477695	2.0		0.0	-4.7092389450001875	2.0		0.0	-4.996910832305674	1.0
samp_08	-1.1218889801034189	-5.047031695013854	1.0	-2.298009297108068	1.0	-4.886147981681712	2.0		0.0	-0.6175533183768238	1.0	-4.738366411044628	1.0	-4.854339473774877	1.0	-5.18711567255935	1.0	-1.6025446286069374	1.0		0.0	-4.623897186663616	1.0	-7.478584485511184	1.0	-4.755193601555036	1.0	-0.34546753709301703	1.0	-5.045686252012163	2.0
