run	log_tbg	log_alphap	log_betap	b13H4_log_P	b13H4_weight	b13H5_log_P	b13H5_weight	b13H6_log_P	b13H6_weight	b13H7_log_P	b13H7_weight	b13H8_log_P	b13H8_weight	b13H9_log_P	b13H9_weight	b13I1_log_P	b13I1_weight	b13I3_log_P	b13I3_weight	b13I4_log_P	b13I4_weight	b13I5_log_P	b13I5_weight	b13I7_log_P	b13I7_weight	b13I8_log_P	b13I8_weight	b13I9_log_P	b13I9_weight	b14A1_log_P	b14A1_weight	b14A2_log_P	b14A2_weight	b14A4_log_P	b14A4_weight	b14A5_log_P	b14A5_weight	b14A6_log_P	b14A6_weight	b14A7_log_P	b14A7_weight	b3G7_log_P	b3G7_weight
fit	-6.175399073676544	3.0788613596739776	-0.17444051334304403	-9.073061784954998	1.0	-6.964279611275382	1.0	-7.572271219422548	1.0	-10.156361756672158	1.0	-7.422901541235931	1.0	-7.8781927138469685	1.0	-10.507232930533164	1.0	-5.9829821612350464	1.0	-2.9594488853189094	1.0	-5.300750526637997	1.0	-4.358209639306458	1.0	-11.327659121223585	1.0	-13.418347642120002	1.0	0.6503037022692714	1.0	-4.683672947005915	1.0	-5.2524350853383135	1.0	-4.400528859129844	1.0	-7.4196208874071825	1.0	-9.13396162453103	1.0	-4.631083639985525	1.0
samp_00	-6.931393181115279	2.7135614772213366	-0.016389128580050084	-8.700399536707115	1.0	-6.823307584513171	1.0	-7.3686146181401	3.0	-9.816479212191986	2.0		0.0		0.0		0.0	-5.870138977938786	1.0	-2.9570585307781365	2.0	-5.20297230045887	1.0	-4.284510824199761	2.0		0.0	-11.80950368572732	1.0		0.0	-4.601985029221324	1.0	-5.155488010523776	1.0	-4.325104464625335	2.0	-7.256378272601122	1.0		0.0	-4.548187235893563	1.0
samp_01	-6.5993170727754995	3.2147185248914614	-0.3811545581640481	-8.878603493723944	2.0	-6.902036626540752	2.0	-7.470575626027427	1.0	-9.997541864344065	1.0	-7.349102418254326	1.0		0.0		0.0	-5.932970698538243	3.0	-2.894058645526807	2.0	-5.252022579497411	1.0	-4.306454702731414	1.0		0.0	-12.290204298929858	1.0		0.0		0.0	-5.204403793153303	2.0		0.0	-7.344833241609839	1.0	-8.962300854848039	2.0		0.0
samp_02	-5.9393802204223825	2.954495217663621	-0.11138793549783635	-9.103057169670455	2.0		0.0	-7.575455330380179	2.0		0.0	-7.410169357539729	2.0		0.0		0.0		0.0	-2.9662199912749303	1.0	-5.279137663916432	1.0	-4.341766015857755	2.0	-11.530162446193598	1.0	-26.63685769705013	1.0	0.6383438300878551	1.0	-4.665469836177971	1.0	-5.230558020171722	2.0	-4.38346726725699	1.0		0.0	-9.152016901010056	1.0	-4.611725249800426	2.0
samp_03	-6.759395239194094	3.251155139710694	-0.3106383249504482	-8.914739897431753	1.0		0.0		0.0	-10.044784042237564	2.0	-7.3987880154579395	1.0	-7.834527885999466	1.0		0.0	-5.984250319322167	3.0	-2.9272682013762	3.0		0.0	-4.353820154810656	1.0		0.0	-12.211309195492834	5.0	0.6709178421788382	1.0		0.0	-5.254965489153137	1.0		0.0		0.0		0.0	-4.630866957939203	1.0
samp_04	-5.762770095189375	3.274835932358082	-0.1403233073706414	-9.430998680703489	1.0		0.0		0.0		0.0	-7.613773004980809	3.0	-8.101082834829489	1.0	-10.960360096940049	4.0	-6.1163158126985575	1.0		0.0	-5.418562896227172	1.0		0.0	-12.136085032088038	2.0		0.0	0.6416439624345067	2.0		0.0		0.0	-4.498146854339301	2.0		0.0	-9.453772255493693	2.0	-4.734444427138672	1.0
samp_05	-6.004038329060452	3.7655894430015846	-0.6326848653078964		0.0	-7.0983439949216365	1.0		0.0	-10.386348840625413	1.0		0.0	-8.051097891258907	2.0	-10.819299727593028	1.0	-6.084780652693387	2.0	-2.871497999796478	3.0	-5.373939739042796	2.0		0.0	-11.770923061997268	1.0		0.0		0.0		0.0	-5.325340875725001	1.0	-4.425790232415243	2.0		0.0	-9.378485236148247	2.0	-4.674432686735547	2.0
samp_06	-6.28089683572843	3.333958800322814	-0.3573361906717518	-9.097421442722197	2.0	-6.99512365359108	2.0		0.0	-10.188392304387847	2.0		0.0	-7.908522018916153	2.0	-10.526109747934445	1.0		0.0		0.0	-5.321716289060843	2.0	-4.363859213279811	1.0	-11.31248655751767	1.0	-13.058429469637353	1.0		0.0	-4.693898141488535	2.0	-5.273528356871833	2.0		0.0	-7.450345907926132	1.0		0.0	-4.643911791609116	1.0
samp_07	-6.313307530306253	2.771766895950406	-0.040078709139814546		0.0	-6.863784218799136	1.0	-7.446853416546417	4.0		0.0	-7.313400993592272	3.0	-7.756116242685632	2.0	-10.268764336378258	2.0		0.0		0.0	-5.223792409053442	1.0	-4.299528485969825	2.0		0.0	-12.743350867871943	1.0	0.6210128940506077	1.0		0.0		0.0		0.0	-7.3096288729893235	1.0	-8.959061091905154	1.0	-4.564824652071968	1.0
samp_08	-5.852117773581041	3.41494282999862	-0.4717557903430487		0.0		0.0	-7.657375285369693	2.0	-10.275246706439805	1.0		0.0		0.0	-10.721858869916083	2.0	-6.003987032333966	4.0	-2.8892073936915788	1.0	-5.307140328988698	1.0		0.0	-11.770103095685794	2.0		0.0		0.0	-4.672785979867647	1.0	-5.2584826017921875	1.0	-4.3850229503626945	1.0	-7.475719098719063	2.0	-9.260745520379386	2.0		0.0
samp_09	-5.564750642983287	2.9653340854471124	-0.08936248278801696		0.0	-6.9985083702029485	1.0	-7.683636447824384	4.0		0.0		0.0	-7.955510405447888	1.0	-10.864975566316467	1.0	-5.993230628505971	1.0		0.0	-5.304441100452781	1.0	-4.361037497103741	1.0	-12.388317070352722	2.0		0.0	0.6329001159456015	2.0		0.0	-5.255046844975541	1.0	-4.402895266728416	1.0	-7.474361614379553	1.0	-9.288890656345716	2.0	-4.632013912368939	1.0
samp_10	-6.460648161737443	2.884442776766749	-0.12934362538360655	-8.859055933838862	2.0	-6.8688742372383835	1.0	-7.442435632257617	2.0		0.0	-7.316078550830244	1.0	-7.7548294637390525	2.0	-10.21847337674654	1.0	-5.903299417208573	1.0	-2.942943026199554	1.0		0.0		0.0		0.0	-12.43063873553769	2.0	0.6433321778117886	1.0	-4.621733767594775	1.0	-5.181806704978057	1.0		0.0	-7.312040376254709	3.0		0.0	-4.568647966131265	1.0
samp_11	-6.201936939881756	2.8878098668427206	-0.04882690801710729	-9.008710791890575	2.0	-6.927894832917654	1.0	-7.527996314307312	2.0	-10.09763073980205	1.0	-7.3832929705206105	1.0		0.0	-10.429710048668802	2.0	-5.952495674809576	3.0		0.0		0.0	-4.343917316696047	1.0		0.0		0.0	0.6239268538519291	1.0		0.0		0.0	-4.385308457110227	2.0	-7.379887005511991	1.0	-9.07354807894129	2.0	-4.611985820159348	1.0
samp_12	-6.535406952332347	3.5621433893645302	-0.5409446172347552		0.0		0.0		0.0	-10.163680188524381	2.0	-7.456253406963296	1.0	-7.90320092389835	1.0		0.0	-6.019112613603063	1.0	-2.8800696892887845	2.0	-5.324955683620843	1.0		0.0	-11.153997966336616	1.0	-12.561511386312747	4.0		0.0		0.0	-5.277175608389203	2.0		0.0	-7.45218033964073	1.0	-9.123184095704026	2.0	-4.640323722640286	2.0
samp_13	-6.619599274616064	3.015865876623903	-0.1526031966639079		0.0	-6.9193654107493705	1.0	-7.488000909456506	1.0	-10.016412772573762	1.0	-7.365890476746751	1.0	-7.803165801782458	3.0	-10.247815795678838	1.0	-5.953274997165279	1.0	-2.957286910081391	1.0	-5.2771930613950015	1.0		0.0		0.0	-12.292655491649757	2.0	0.6469586563969225	1.0		0.0	-5.229392855268317	1.0		0.0	-7.361668126479626	1.0	-8.979900871129312	2.0	-4.612497311455379	2.0
samp_14	-6.743676653635864	3.0824238714115326	-0.11345817420286933		0.0	-6.970542189333378	2.0		0.0	-10.071593234025627	1.0		0.0	-7.853557886883729	1.0		0.0	-6.003988241788257	3.0		0.0	-5.326537702179611	2.0		0.0		0.0	-12.255581425570282	3.0	0.6384881230111913	3.0		0.0	-5.278678774778043	3.0		0.0		0.0	-9.027671222117881	1.0	-4.659392313526588	1.0
samp_15	-6.1583882783118575	3.2928344360107986	-0.3279586080035852		0.0	-6.996995567844351	2.0	-7.612110228303207	1.0	-10.209181064068689	2.0	-7.458816239369638	1.0	-7.918087267772628	1.0	-10.575186159766657	3.0		0.0		0.0	-5.32020981778781	1.0	-4.36404627818314	1.0	-11.414268072759533	1.0		0.0		0.0	-4.693590856039557	3.0	-5.271865396866161	1.0	-4.4075589832777915	1.0		0.0	-9.188571921678358	1.0	-4.643000479953656	1.0
