run	log_tsat	log_tbg	log_F	b5A8	b5A8_weight	b5B2	b5B2_weight	b5B3	b5B3_weight	b5B5	b5B5_weight	b5B7	b5B7_weight	b5B8	b5B8_weight	b5B9	b5B9_weight	b5C1	b5C1_weight	b5C2	b5C2_weight	b5C3	b5C3_weight	b5C4	b5C4_weight	b5C5	b5C5_weight	b5C7	b5C7_weight	b5C8	b5C8_weight	b5C9	b5C9_weight	b5D1	b5D1_weight	b5D2	b5D2_weight	b5D3	b5D3_weight	b5D4	b5D4_weight	b5D5	b5D5_weight	b5D6	b5D6_weight	b5D7	b5D7_weight	b5E4	b5E4_weight	b5F2	b5F2_weight	b5F3	b5F3_weight	b5F5	b5F5_weight	b5F6	b5F6_weight	b5F7	b5F7_weight	b5F8	b5F8_weight	b5G1	b5G1_weight	b5G3	b5G3_weight	b5G4	b5G4_weight	b5G6	b5G6_weight	b5G9	b5G9_weight	b5H1	b5H1_weight	b5H2	b5H2_weight	b5H3	b5H3_weight	b5H4	b5H4_weight	b5H5	b5H5_weight	b5H6	b5H6_weight	b5H7	b5H7_weight
fit	4.9003603162277205	-6.074688216358866	3.146553201167747	-7.438105309640666	1.0	-8.055292976844443	1.0	-7.637659329326159	1.0	-9.32243530674644	1.0	-12.09822288277015	1.0	-6.083528092012535	1.0	-10.583082616778626	1.0	-10.892978911843226	1.0	-11.054826896626722	1.0	-5.5741531672463545	1.0	-11.84062387838405	1.0	-20.19235888637195	1.0	-13.531829821543433	1.0	-10.994935553472958	1.0	-10.425876465632607	1.0	-9.948882144507598	1.0	-13.818120803538948	1.0	-12.445370687645315	1.0	-10.182225470048289	1.0	-9.343086151648663	1.0	-20.365793625410724	1.0	-12.532571899359667	1.0	-3.4637570216342186	1.0	-3.514113391996923	1.0	-3.8210602328930148	1.0	-8.641367617191142	1.0	-7.983779739866293	1.0	-4.0724186703999115	1.0	-7.900456440056859	1.0	-7.287647146115759	1.0	-9.193612969274309	1.0	-6.738451895138976	1.0	-8.610060849415175	1.0	-7.203635908684869	1.0	-4.676203794459004	1.0	-4.9023968344460505	1.0	-6.277080304382437	1.0	-7.205574578761508	1.0	-8.61177942389291	1.0	-3.64501025289446	1.0	-4.468170040875643	1.0
samp_00	15.792299900045599	-5.945405498900923	3.086156499188746	-18.37776521965832	1.0		0.0		0.0	-20.294408105173915	1.0		0.0	-17.012983198159976	3.0	-21.585728685895685	2.0		0.0	-22.13562519527764	3.0	-16.50179910459622	1.0	-23.16798937793634	1.0		0.0	-258.55930646812794	3.0	-22.059377160007145	2.0	-21.429694116777632	1.0	-20.911021979279216	2.0	-248.42052324295918	2.0	-43.653891618428666	2.0	-21.168764976998357	2.0	-20.304790945896013	1.0	-107.29916647246316	1.0		0.0		0.0	-14.452057555224625	1.0	-14.75294445550313	2.0		0.0	-18.914665215814857	1.0	-15.000833147211212	1.0	-18.83222144554817	1.0		0.0		0.0		0.0	-19.555146126860897	2.0	-18.13674635038192	1.0		0.0	-15.829889586445999	1.0		0.0		0.0	-19.542838886212323	1.0		0.0	-15.397059563311249	2.0
samp_01	2.4194959454427063	-5.919756453423235	3.2997216476844353	-4.96530924164443	2.0		0.0		0.0		0.0	-10.376518794309481	2.0	-3.5409117327775235	3.0		0.0	-8.587212670554123	1.0	-8.815945125441464	1.0		0.0	-9.924942363695317	1.0	-17.716529250096716	1.0	-20.465055667778685	1.0		0.0	-8.096944415171546	3.0		0.0	-23.21753727360758	2.0	-17.504856473534353	1.0	-7.832419949208656	2.0	-6.9697534232987355	2.0		0.0		0.0	-0.7303637802113762	2.0	-0.783628931869869	1.0		0.0	-6.172445192093871	1.0		0.0		0.0	-5.4180184154775235	1.0	-4.768156633949856	3.0	-6.729729814488642	1.0	-4.220553207936841	2.0	-6.184670560352935	1.0	-4.705246711565438	1.0	-2.063724686375339	1.0	-2.3053933983203243	1.0	-3.7417481122614893	1.0		0.0	-6.141343238197687	1.0		0.0	-1.8422405068892809	2.0
samp_02	3.7514472868801896	-5.679201226814586	3.243879642477029	-6.383421801183895	1.0	-7.007554582988764	1.0		0.0	-8.470695920694057	4.0	-21.671935700451886	1.0	-4.93913842707939	1.0		0.0	-10.375195307642242	1.0	-10.789588128202686	1.0	-4.407466369170245	1.0	-20.625288136652568	1.0	-19.333718690741577	1.0		0.0	-10.600679925490867	1.0	-9.718901131645962	2.0	-9.027565137752868	2.0		0.0	-23.97216852813292	2.0	-9.392573089404188	3.0	-8.438102922760661	3.0		0.0		0.0	-2.232788606120106	1.0	-2.2845270624977885	1.0		0.0	-7.567624645837086	1.0		0.0	-2.8664540315866467	2.0		0.0	-6.144099336024088	1.0	-8.135508919220973	2.0	-5.617979117625889	1.0		0.0		0.0	-3.482451493010256	2.0	-3.7146126289008654	2.0	-5.138218387166892	1.0		0.0	-7.535475427246835	1.0		0.0		0.0
samp_03	2.9531356274403486	-6.213612238013924	3.211648310944602		0.0	-6.055320025951826	1.0		0.0	-7.288031847099058	1.0	-9.795333063471414	1.0	-4.088215443903867	2.0	-8.538067488961683	3.0		0.0	-8.951878041905251	1.0	-3.5763023565995726	1.0		0.0	-17.587798954917297	1.0		0.0	-8.903951120105846	2.0	-8.375988508112705	1.0	-7.934059457027345	2.0		0.0	-10.013549762510157	1.0	-8.145028704092566	1.0		0.0	-19.89365164721256	1.0	-10.086800905146328	3.0		0.0	-1.4376433569463154	1.0		0.0		0.0	-5.992316694753038	1.0	-2.052197026303032	1.0		0.0	-5.3031877927457405	1.0	-7.202761855798889	2.0	-4.745339278218705	1.0		0.0	-5.209079187568115	1.0	-2.6616941140311825	1.0	-2.894643369806444	3.0		0.0	-5.215004545813822	3.0	-6.621185442203956	1.0	-1.5828988996912767	1.0	-2.4477160539641067	2.0
samp_04	3.2138549922118096	-6.007362799028869	3.3994274763885284		0.0	-6.3566078469155425	1.0	-5.930995585714605	1.0	-7.74077569370199	1.0		0.0		0.0		0.0	-9.268390140562008	3.0	-9.473334687991597	1.0		0.0	-10.360074471079963	2.0	-17.78006484256172	1.0	-20.892914704339237	2.0		0.0	-8.81714871949078	1.0		0.0	-21.98702303997764	2.0		0.0	-8.566599025862727	3.0		0.0		0.0	-11.219502767783267	1.0	-1.5666542373871877	1.0	-1.6194370913651628	1.0		0.0	-6.934861312329358	1.0	-6.260307244471357	1.0	-2.2293718816157697	3.0	-6.176861687198036	2.0	-5.524130762468336	2.0	-7.490330090627533	1.0	-4.974259915184422	2.0	-6.946193753528035	2.0	-5.45968152621626	1.0		0.0	-3.079888864034246	2.0	-4.496930710118929	2.0	-5.452854501967277	1.0		0.0		0.0		0.0
samp_05	12.685806087538683	-6.054240843186452	3.1397716822893518	-15.23093380630004	2.0	-15.848002829412291	3.0		0.0	-17.12146767566487	1.0	-19.954205061994788	2.0	-13.875094290656362	2.0	-18.38426529564447	1.0	-18.700087211118685	2.0		0.0	-13.365972964934247	1.0		0.0		0.0		0.0	-18.804723432999644	3.0		0.0		0.0	-22.052333702157412	4.0		0.0	-17.98205454898556	3.0	-17.139920643827594	1.0		0.0		0.0	-11.269666884512377	2.0	-11.319320719320539	1.0	-11.620215519519082	2.0		0.0	-15.775088138858722	2.0	-11.86809311915797	1.0	-15.691891474141068	2.0	-15.077707318081162	1.0	-16.98518535870649	2.0		0.0		0.0		0.0		0.0	-12.69578795860104	1.0	-14.068390117195023	1.0		0.0		0.0		0.0	-12.26361176900247	1.0
samp_06	15.307364977138343	-6.1095032450401225	3.1433876721800047		0.0	-18.45293665992997	1.0	-18.03565716237071	2.0		0.0	-22.400156165347077	3.0		0.0	-20.965550487665112	2.0	-21.265375719983414	2.0		0.0		0.0		0.0		0.0		0.0	-21.362732835906126	1.0	-20.80377837842074	2.0	-20.339251850247418	1.0		0.0		0.0	-20.563680335001823	3.0	-19.728765796764733	1.0		0.0	-22.78436607087537	2.0		0.0		0.0	-14.239614149166625	3.0	-19.040867289201028	1.0	-18.38475077171163	2.0	-14.487467792035735	1.0		0.0		0.0	-19.592503428172144	2.0	-17.142737573818643	1.0		0.0		0.0	-15.089282080741938	1.0	-15.31413428966639	1.0	-16.683098666894956	4.0		0.0	-19.011474253736136	1.0	-14.067172204131253	2.0	-14.882463261190523	2.0
samp_07	3.8764509307251416	-6.052403824197091	3.189608305767734	-6.409852328047589	2.0	-7.03122623692595	1.0	-6.611751781649995	1.0	-8.325231591305274	1.0	-11.148528656414296	2.0	-5.041847198314896	1.0	-9.571821951069394	1.0		0.0		0.0	-4.528687690406687	1.0	-10.878352976557188	1.0		0.0		0.0	-9.997030566252045	2.0	-9.424556993114074	1.0	-8.9340707274138	1.0	-13.290896648575654	1.0		0.0	-9.178659663972235	1.0		0.0		0.0		0.0	-2.3885668289768085	1.0	-2.439785032787284	2.0	-2.7580188030676958	2.0	-7.615808627677675	1.0	-6.954671528384529	3.0	-3.015829417704006	1.0	-6.871309517840323	4.0		0.0	-8.168993476056903	2.0	-5.701293303733432	1.0	-7.59351935256906	2.0	-6.170450435430064	1.0	-3.6229684773990503	1.0		0.0		0.0		0.0		0.0	-2.5753054005068097	2.0	-3.4126898002361985	1.0
samp_08	36.00596999891019	-6.058593523216819	3.0482623634270314		0.0	-39.18142544077566	1.0	-38.76750185951192	1.0		0.0	-43.26187124597035	1.0		0.0	-41.7100672113037	2.0		0.0	-42.17574493809151	1.0	-36.7252737373659	1.0	-42.98473605656854	2.0	-65.60635850347518	1.0		0.0		0.0	-41.535777282610596	4.0		0.0	-271.8365675862997	1.0	-43.60858458176358	1.0		0.0		0.0	-54.81601630658596	2.0	-43.73303108690655	1.0	-34.632887055184526	1.0	-34.68270929552525	1.0	-34.983410468312506	1.0		0.0	-39.11505945733213	2.0		0.0		0.0		0.0		0.0	-37.88140763764967	3.0	-39.726075320872305	3.0	-38.34180017391329	1.0	-35.83266662968151	2.0	-36.05732419411967	1.0		0.0		0.0	-39.737634434435826	1.0	-34.81101655717531	4.0	-35.62602075816986	2.0
