run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	-1.3247720616220895	-2.386312733986919	1.0	-0.9666374193338423	1.0	-4.4177831199007445	1.0	-5.108332728510223	1.0	-1.9941745846758092	1.0	-2.573995234640222	1.0	-0.9505887266856654	1.0	-4.880194601636423	1.0
samp_00	-17.948255111951504		0.0		0.0	-4.535587582707036	1.0		0.0	-2.116103198113981	2.0	-2.693357736298957	2.0	-1.0795452517388606	2.0	-4.9977560606763785	1.0
samp_01	0.3299178248819131	-2.0479367444623358	1.0	-0.5727847286278159	1.0		0.0	-4.788254924961471	3.0	-1.6414238021760847	1.0	-2.2385940186844557	1.0		0.0	-4.566383604272013	1.0
samp_02	-18.587734018726007	-2.5057839792356402	2.0	-1.091750092118977	3.0		0.0		0.0		0.0	-2.6933739070779628	1.0	-1.0795225600969527	2.0		0.0
samp_03	-18.505125067011356		0.0	-1.091760856491913	3.0	-4.535592074995644	1.0		0.0	-2.116088593353419	1.0		0.0	-1.0795087687112597	2.0	-4.997761424474506	1.0
samp_04	-1.4686195000563615		0.0	-0.9823492555158793	1.0	-4.4320393594133645	1.0	-5.1228514455026275	1.0	-2.0091781532442554	1.0	-2.5885861540947146	2.0	-0.9667773212541156	2.0		0.0
samp_05	-0.34340082818596024		0.0		0.0		0.0	-4.956346250181727	2.0	-1.8321467415755	1.0	-2.418112370181284	1.0	-0.7700259646524321	3.0	-4.731346278941175	1.0
samp_06	-1.440115165297418		0.0		0.0		0.0	-5.1201020302802105	1.0	-2.006346042822351	1.0	-2.5858296053757908	4.0	-0.9637338817898744	1.0	-4.891705101366735	1.0
samp_07	-0.2791449425767264	-2.21509998032269	1.0	-0.7747030236602933	1.0	-4.254346415711691	1.0	-4.942669197244743	2.0	-1.8171073721942985	1.0		0.0		0.0	-4.717935312032676	2.0
samp_08	-0.25535952749065055		0.0	-0.7682978776884766	1.0	-4.249203077895537	1.0	-4.937481350678265	2.0		0.0	-2.3983489111907073	2.0		0.0	-4.712847528529452	2.0
samp_09	-19.493084996020716		0.0	-1.0917557862378187	1.0	-4.53560678803759	2.0		0.0	-2.1160863592440906	2.0	-2.6933724384078417	2.0	-1.0794850698388323	1.0		0.0
samp_10	-1.3807829341597129	-2.392216031669794	1.0	-0.9729900447124252	2.0		0.0	-5.11418263670698	1.0	-2.000231184995528	2.0	-2.5798813982164925	1.0		0.0	-4.8859158921519485	1.0
samp_11	-1.140591165065299	-2.3649133915216307	2.0	-0.9434687790920593	1.0	-4.396985458969153	1.0	-5.087203627851356	1.0		0.0	-2.5526667728180303	2.0		0.0	-4.859494719994374	1.0
samp_12	-18.98784997239293	-2.505781269660579	2.0	-1.0917510777494053	1.0		0.0		0.0	-2.1160975802886153	2.0	-2.6933713387795164	2.0		0.0	-4.997779449745392	1.0
samp_13	-0.3369658084292552		0.0		0.0	-4.266554856729173	1.0	-4.954999597870703	2.0	-1.830672022248883	1.0		0.0		0.0	-4.730025428498794	4.0
samp_14	-0.2751035830080977	-2.2141707881168182	1.0		0.0	-4.253472843773128	1.0	-4.941794687360127	2.0		0.0	-2.4028755892472047	1.0	-0.7516185402067264	2.0	-4.717073970594672	1.0
samp_15	-0.2753652231796706		0.0	-0.7736909063642357	1.0	-4.253530887089575	1.0	-4.941851286213599	2.0	-1.816187927017415	1.0		0.0	-0.7516879936681289	3.0		0.0
samp_16	-18.03068709597731	-2.505792608650951	2.0	-1.0917599948544316	1.0	-4.5355939503997975	2.0		0.0	-2.1161005827188326	1.0	-2.6933788357772133	1.0		0.0	-4.997758089261703	1.0
samp_17	-1.414176495033327	-2.395608865320313	1.0	-0.9766343704151016	1.0	-4.426834951321385	1.0	-5.117550797998727	1.0	-2.003709712042269	2.0	-2.583265290080452	2.0		0.0		0.0
samp_18	-17.520144232937312	-2.5057797770488692	2.0		0.0	-4.535587327774771	2.0		0.0		0.0	-2.6933713993603305	1.0	-1.0795180964393876	1.0	-4.997769774376335	2.0
samp_19	-18.227157166894425		0.0	-1.0917575047533257	2.0		0.0		0.0	-2.116103115704632	1.0	-2.6933805108123834	2.0	-1.0795210186744326	2.0	-4.997758727565845	1.0
samp_20	-1.2276891637264151	-2.3754205200619585	2.0	-0.954875317392329	1.0	-4.407198010810239	2.0	-5.097556550726388	1.0		0.0		0.0	-0.9384750988616535	2.0		0.0
samp_21	-1.2131732602154095	-2.373719056179926	3.0	-0.9530217768070807	1.0		0.0	-5.09588583175683	1.0		0.0	-2.561444396318257	2.0	-0.9365753523877243	1.0		0.0
samp_22	-18.719653455109324	-2.505797875367318	2.0	-1.0917652706600978	1.0	-4.535593024888654	1.0		0.0	-2.116105569583606	2.0		0.0	-1.0795139167306576	2.0		0.0
samp_23	-18.459304843814152	-2.505783427134905	2.0		0.0		0.0		0.0	-2.116079470846813	1.0	-2.693383589340463	1.0	-1.0794981488367603	2.0	-4.997768062725607	2.0
samp_24	-21.659618399041594	-2.505792196916547	3.0	-1.0917605970885567	1.0		0.0		0.0	-2.1160996182653045	2.0	-2.6933771565207145	1.0		0.0	-4.997756972841799	1.0
samp_25	-1.2816028018616912		0.0		0.0	-4.413175808841047	1.0	-5.103644440802155	1.0		0.0	-2.5692727386060557	1.0	-0.9453207990801852	2.0	-4.875609824290794	3.0
samp_26	-16.510474569826503		0.0	-1.0917631123374043	2.0	-4.5355782664200435	2.0		0.0	-2.1160851539532803	1.0		0.0	-1.079493727247925	1.0	-4.997761399909775	2.0
samp_27	-0.2772994774860623	-2.2146747057779548	1.0	-0.774209146334987	1.0		0.0	-4.942269785547873	2.0	-1.8166629073706342	1.0	-2.4033739654720403	1.0	-0.7522239882633821	2.0		0.0
samp_28	-1.3275112161539642	-2.3866061098603177	3.0		0.0	-4.418069404715129	1.0	-5.1086226693224095	1.0	-1.9944779225322982	1.0	-2.574289024437265	1.0	-0.9509136822891058	1.0		0.0
samp_29	-0.1717260863197883	-2.189643958575555	1.0	-0.7448961384698123	2.0	-4.230575806069326	1.0	-4.918696349355291	2.0		0.0	-2.3785770238322383	1.0	-0.7219706724523761	1.0		0.0
samp_30	-0.18456726599586776		0.0	-0.748578992730075	2.0	-4.233490824164876	2.0	-4.921634227633919	2.0		0.0	-2.381679752008148	1.0	-0.7257747091854304	1.0		0.0
samp_31	-1.279400492160001	-2.381330025933595	2.0	-0.9612604414905048	2.0	-4.412938004802077	1.0	-5.1034001797217385	1.0	-1.989061346217236	1.0		0.0	-0.9450476723161368	1.0		0.0
samp_32	-1.1962332186338431		0.0		0.0	-4.403599235987869	3.0	-5.093899162484676	1.0		0.0	-2.5594407385777527	1.0	-0.9343167790873655	1.0	-4.866071699152637	2.0
samp_33	-18.699629902363274	-2.5057936061985626	2.0		0.0	-4.5355928883735075	1.0		0.0		0.0	-2.693377397144045	2.0	-1.0795212712671352	3.0		0.0
samp_34	-19.315130950235673		0.0	-1.0917590942191748	2.0	-4.535588395279579	2.0		0.0	-2.1160981365264266	2.0	-2.693383069889792	2.0		0.0		0.0
samp_35	-0.34160204741829514		0.0	-0.7910043799634303	1.0		0.0	-4.95596586134901	2.0	-1.8317343811146292	2.0		0.0	-0.7695516633358191	3.0		0.0
samp_36	-1.3919549340686435	-2.3933614975551922	3.0	-0.9742213394822077	1.0		0.0	-5.115320361509179	1.0	-2.001406100271424	1.0		0.0	-0.9584010275492907	2.0		0.0
samp_37	-1.0547855596174855		0.0	-0.9313570378097936	3.0	-4.386290947767465	3.0	-5.076302659643543	1.0		0.0		0.0		0.0	-4.848852794510165	1.0
samp_38	-1.14493517839125	-2.365450060741492	1.0	-0.9440440166089975	1.0	-4.397537560268682	1.0	-5.087732895213667	1.0		0.0	-2.5532043936929862	2.0		0.0	-4.860037107654062	2.0
samp_39	-17.905749016842375		0.0		0.0	-4.5355938036199115	2.0		0.0	-2.116099368557741	1.0		0.0	-1.0795190344699517	3.0	-4.997757153461241	2.0
samp_40	-0.21727827482341266	-2.2006421731810777	2.0	-0.757814528288753	1.0		0.0	-4.929032558888692	2.0		0.0	-2.3894741464704135	1.0	-0.7353056279318685	1.0	-4.70456009253511	1.0
samp_41	-17.73168672022208		0.0		0.0	-4.535604928694098	3.0		0.0		0.0	-2.693374306612988	1.0	-1.0794767887931358	1.0	-4.997772779807725	3.0
samp_42	-15.062740736433868	-2.505793754870394	2.0	-1.0917600564149312	4.0		0.0		0.0	-2.1161176891049807	1.0		0.0		0.0	-4.997770629349588	1.0
samp_43	-19.27384411050421	-2.5057921532514853	2.0		0.0	-4.535593564952975	1.0		0.0		0.0	-2.6933767095030214	1.0	-1.0795188840819305	3.0	-4.997757684586688	1.0
