run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5H7_log_P	b5H7_weight
fit	1.9262649821798679	-3.786349239874081	1.0	-7.5375380389337145	1.0	-6.508363909803816	1.0	-2.545882512063468	1.0	-6.595620508713788	1.0	-2.138811195112551	1.0
samp_00	1.9979768225216032	-3.7558358666175082	1.0		0.0	-6.488901202292318	1.0	-2.5127854927409428	2.0	-6.574803604365911	1.0	-2.10433295936427	1.0
samp_01	1.8913792811030936		0.0	-7.538369651889543	2.0	-6.5180321605404545	1.0		0.0	-6.605915908494133	1.0	-2.155411898389437	2.0
samp_02	2.1256892034658312		0.0		0.0	-6.455695096038263	2.0	-2.452870241021537	1.0	-6.539006069235231	1.0	-2.041711694030683	2.0
samp_03	1.86550609591177	-3.8120270011337998	1.0	-7.539128427628282	1.0	-6.525262671917669	2.0	-2.5736151936735503	1.0		0.0	-2.167643189806479	1.0
samp_04	1.9367710352129044	-3.7818948702707367	1.0	-7.537345163568106	1.0	-6.505477553022989	3.0		0.0		0.0	-2.1337932075712907	1.0
samp_05	1.788930704527457	-3.8441390510857216	2.0	-7.5421111684554125	1.0	-6.547059304029184	1.0		0.0	-6.636786016401243	1.0	-2.203475925319637	1.0
samp_06	1.9110096742896854	-3.7928103296985434	1.0	-7.53787849233853	2.0	-6.512567888220748	1.0	-2.552872420377983	1.0	-6.600110594482958	1.0		0.0
samp_07	1.9262649821798679	-3.786349239874081	1.0	-7.5375380389337145	1.0	-6.508363909803816	1.0	-2.545882512063468	1.0	-6.595620508713788	1.0	-2.138811195112551	1.0
samp_08	1.6915035872237338		0.0	-7.547510660831858	2.0		0.0	-2.6513841943438283	2.0		0.0	-2.2482387425473287	2.0
samp_09	2.0018239688604154	-3.7541938816093046	2.0	-7.536537871571438	1.0	-6.48787864726467	1.0		0.0	-6.573697936314186	2.0		0.0
samp_10	2.3326915751739126	-3.6109644208150167	1.0		0.0		0.0		0.0	-6.485015861176558	4.0	-1.9369640089058933	1.0
samp_11	1.855438558505749		0.0	-7.539456887764671	3.0	-6.528094725322567	1.0		0.0	-6.616650451746328	1.0	-2.172388197988594	1.0
samp_12	1.7313638395574027	-3.8680858150171233	2.0		0.0	-6.563774933125545	1.0	-2.6337887218331533	1.0		0.0	-2.2300383990921517	2.0
samp_13	2.0140024371926444	-3.748990075633015	1.0	-7.536471537886999	2.0	-6.484634040848044	2.0		0.0	-6.570218192629989	1.0		0.0
samp_14	1.7905850946740962	-3.8434480156681463	2.0		0.0	-6.546580187368076	1.0	-2.607403931746496	2.0		0.0	-2.2027093185920004	1.0
samp_15	1.677908578162618	-3.8901651343046497	1.0	-7.548407031154753	2.0	-6.57953202031431	1.0	-2.657354527534666	1.0		0.0	-2.2544086682775335	1.0
samp_16	2.2131792434686863	-3.6630999057054954	1.0		0.0	-6.434111658811371	2.0		0.0	-6.5155568686400125	2.0	-1.9979277842217111	1.0
samp_17	2.259491652301459		0.0		0.0	-6.423099280835495	2.0	-2.3888103487554186	3.0	-6.503508863852524	1.0		0.0
samp_18	2.1484168783245665		0.0	-7.537469133932027	1.0	-6.449992636209315	1.0		0.0	-6.532838966285217	2.0	-2.030404987780985	2.0
samp_19	2.005007797247043	-3.752838599892002	1.0	-7.536513999510696	1.0	-6.487027144312729	2.0		0.0	-6.57278716310238	1.0	-2.1009159742197934	1.0
samp_20	1.6441404273130658		0.0	-7.550783654391956	3.0		0.0		0.0	-6.6817561578108915	1.0	-2.269658500376378	2.0
samp_21	2.179945287300984		0.0		0.0	-6.442192002913643	1.0	-2.427049223501192	1.0	-6.5243634328172755	2.0	-2.0146436211654546	2.0
samp_22	1.8726304461649657	-3.8090236241305875	2.0		0.0		0.0		0.0	-6.611503412837472	2.0	-2.1642813558731846	2.0
samp_23	1.940015876893675	-3.7805154839343293	1.0		0.0		0.0	-2.5395663441893634	3.0	-6.59159004823339	1.0	-2.13223762857891	1.0
samp_24	1.8229296826821788	-3.829916230087214	2.0		0.0	-6.537313958248538	1.0		0.0	-6.6264448354918635	1.0	-2.187637896904053	2.0
samp_25	1.4109801522537957	-3.99783273650491	2.0	-7.572847342488134	2.0		0.0		0.0		0.0	-2.371771369332778	2.0
samp_26	2.116130851608232	-3.7051208800216577	2.0		0.0		0.0	-2.4573939674504914	1.0	-6.5416365984095926	3.0		0.0
samp_27	1.9909440568848729		0.0	-7.5366247105438955	2.0		0.0	-2.516047522993479	3.0	-6.5768185426928705	1.0		0.0
samp_28	2.0621065365692965	-3.728374823232839	1.0	-7.536470778483892	1.0		0.0	-2.482847409456591	2.0	-6.556616528486645	2.0		0.0
samp_29	1.8857218253631767	-3.8035014345712286	2.0		0.0	-6.51959894140578	1.0	-2.56441993052271	1.0	-6.6076029837629155	1.0	-2.15809051497236	1.0
samp_30	1.9321046916441802	-3.7838729321380575	1.0	-7.537432733426342	1.0		0.0	-2.5432017020571354	3.0	-6.593906378142729	1.0		0.0
samp_31	2.604194110866916		0.0		0.0	-6.351259720629235	3.0	-2.217975263310217	1.0	-6.422836414321797	2.0		0.0
samp_32	1.6110571192869245	-3.9175464244162566	2.0	-7.553318342737048	1.0	-6.599525923569973	1.0		0.0		0.0	-2.2844879668920735	2.0
samp_33	1.7303066141420214	-3.8685238471273173	3.0	-7.545145053743262	1.0	-6.564085201750742	1.0		0.0	-6.65481543842299	1.0		0.0
samp_34	1.6441404273130658		0.0	-7.550783654391956	3.0		0.0		0.0	-6.6817561578108915	1.0	-2.269658500376378	2.0
