run	log_F	b5B8_log_P	b5B8_weight	b5D1_log_P	b5D1_weight	b5F5_log_P	b5F5_weight	b5H1_log_P	b5H1_weight	b5H5_log_P	b5H5_weight	b5B2_log_P	b5B2_weight	b5C3_log_P	b5C3_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5B9_log_P	b5B9_weight	b5E4_log_P	b5E4_weight	b5F6_log_P	b5F6_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5B3_log_P	b5B3_weight	b5C5_log_P	b5C5_weight	b5F3_log_P	b5F3_weight	b5G9_log_P	b5G9_weight	b5H4_log_P	b5H4_weight	b5G1_log_P	b5G1_weight	b5F8_log_P	b5F8_weight	b5G6_log_P	b5G6_weight	b5G3_log_P	b5G3_weight	b5B5_log_P	b5B5_weight	b5C4_log_P	b5C4_weight	b5C8_log_P	b5C8_weight	b5B7_log_P	b5B7_weight	b5C2_log_P	b5C2_weight	b5C1_log_P	b5C1_weight	b5C9_log_P	b5C9_weight	b5A8_log_P	b5A8_weight	b5C7_log_P	b5C7_weight	b5D5_log_P	b5D5_weight	b5D3_log_P	b5D3_weight	b5D7_log_P	b5D7_weight	b5D2_log_P	b5D2_weight	b5D6_log_P	b5D6_weight	b5D4_log_P	b5D4_weight	b5F7_log_P	b5F7_weight
fit	3.228114533980007	-3.8551255172042653	1.0	-7.760498523861557	1.0	-6.444230324584941	1.0	-2.410688498251572	1.0	-6.414231982257548	1.0	-5.857303136702257	1.0	-3.336224363859727	1.0	-1.1664280567506122	1.0	-4.52046298927426	1.0	-4.052265264810089	1.0	-2.194085652836818	1.0	-8.390281437991858	1.0	-1.113569619542595	1.0	-5.780715633221547	1.0	-2.6466812423581447	1.0	-1.315759077475903	1.0	-5.435337153859104	1.0	-21.56336215852222	1.0	-1.5196158517058567	1.0	-4.9922597935676425	1.0	-4.993107930722942	1.0	-5.07430279665365	1.0	-5.696945649379272	1.0	-6.42214875965063	1.0	-6.997772543825843	1.0	-7.1563837633699	1.0	-9.651789113857907	1.0	-8.807303062387081	1.0	-9.901700863911428	1.0	-8.872075757299003	1.0	-8.70292326396073	1.0	-8.247199859793282	1.0	-5.2322939963287824	1.0	-11.291418527515244	1.0	-7.168490457997917	1.0	-10.262370789801123	1.0	-10.324229423001986	1.0	-11.559086581720491	1.0	-22.5625783133956	1.0	-8.004240897778503	1.0	-1.7975326603374144	1.0
samp_00	3.094145388824908		0.0	-7.766165689968991	4.0		0.0	-2.4775318295769297	2.0	-6.435563619617011	1.0		0.0		0.0	-1.2453148519533688	1.0		0.0		0.0	-2.2625528990142034	1.0	-8.402154842033953	1.0	-1.192901394761187	1.0	-5.810101206943861	1.0	-2.711790206761775	2.0	-1.3925016565678203	3.0	-5.460348789455668	2.0	-24.017405102739453	2.0		0.0	-5.0316285976941115	2.0		0.0		0.0		0.0	-6.426012220118474	2.0		0.0	-7.122304006046505	1.0	-9.646099709107292	2.0		0.0	-9.906237213873997	2.0	-8.863998309088739	1.0		0.0		0.0		0.0		0.0	-7.1498584189916174	4.0	-10.235271953039929	3.0	-10.337913964274518	1.0		0.0		0.0		0.0	-1.8679836468564412	2.0
samp_01	3.2938069183121947	-3.828606318157494	1.0	-7.758125110214275	1.0	-6.435027793801224	1.0		0.0	-6.404639954892316	1.0	-5.848780111769325	1.0	-3.306911822396275	2.0	-1.1269582107405376	2.0		0.0		0.0		0.0	-8.384940278768347	1.0	-1.073844286057415	1.0	-5.767365194259114	4.0	-2.614579902302746	1.0		0.0		0.0		0.0	-1.4829696473939216	1.0	-4.9738569746652805	3.0	-4.973131351765611	1.0	-5.052484811312979	1.0	-5.683425989264049	2.0	-6.421282266199497	1.0	-6.989200879483846	1.0		0.0	-9.654018811307942	1.0		0.0		0.0	-8.875609255834512	1.0	-8.700459974735026	1.0	-8.252898248864296	2.0	-5.218904589949569	1.0	-11.28013407484378	2.0	-7.177605481429101	2.0		0.0	-10.316065821201745	1.0	-11.558519673045321	2.0	-21.797822912060877	1.0	-8.010324799904177	1.0		0.0
samp_02	3.0574871745763166		0.0		0.0	-6.470991619444328	3.0		0.0		0.0	-5.88336763239414	4.0	-3.41244300891172	2.0		0.0		0.0	-4.119745427194196	1.0	-2.2811845373554425	1.0		0.0		0.0		0.0	-2.7295129432437477	1.0	-1.4131750885977272	1.0	-5.467832229647189	2.0	-23.841366516955663	1.0		0.0	-5.042826362688725	3.0		0.0	-5.132956377383671	1.0		0.0	-6.427601814833243	1.0	-7.022418075178568	1.0		0.0	-9.644272639146775	1.0	-8.808629934009446	3.0	-9.908113197401772	1.0	-8.86211152902832	1.0	-8.710333695709524	2.0	-8.231020777900529	2.0	-5.270902597262525	1.0		0.0	-7.144783110453472	2.0	-10.227068332436795	2.0	-10.344258767694635	2.0		0.0	-25.113563405769526	1.0	-7.987301368386752	1.0		0.0
samp_03	3.151100427111268	-3.886491292776269	1.0	-7.763661131622466	1.0		0.0		0.0	-6.4260882411023035	3.0		0.0	-3.3706293255206514	1.0		0.0	-4.547406434125394	1.0	-4.082579248113879	2.0		0.0	-8.397017798231712	3.0		0.0		0.0		0.0		0.0	-5.4493934328409175	1.0	-22.052477847822065	1.0		0.0	-5.01462675617896	4.0		0.0	-5.100462134114896	1.0		0.0	-6.424226231027921	1.0	-7.008196807065673	1.0		0.0	-9.648315484679763	1.0		0.0	-9.905153113359857	2.0	-8.867776115395348	2.0	-8.706198603093647	2.0	-8.240139461035632	1.0	-5.249083949647615	3.0	-11.30922008333224	1.0	-7.157690080899029	1.0	-10.2443628618036	1.0	-10.3327693207114	2.0		0.0		0.0	-7.996728615743264	3.0	-1.8382045235002247	1.0
samp_04	3.3427096259658686	-3.8090134140876546	1.0	-7.756484950220871	1.0		0.0		0.0		0.0	-5.842948917584532	1.0	-3.2852196405385117	1.0	-1.0972124772549339	1.0		0.0	-4.00789150323582	1.0		0.0	-8.38112029834366	1.0		0.0	-5.757898414256838	3.0	-2.5906307502341477	1.0	-1.2486340308785806	1.0		0.0	-23.385449891351733	1.0		0.0		0.0		0.0	-5.036545362750173	3.0	-5.673833820133904	3.0	-6.421074034674917	1.0	-6.983088353060647	3.0	-7.184304989190867	3.0	-9.65629684176505	1.0	-8.806739617540035	2.0	-9.899365422425662	1.0	-8.87813051358985	1.0		0.0	-8.25714473809311	1.0		0.0	-11.276934560085737	3.0	-7.1843517542601525	1.0	-10.282769185758722	1.0		0.0		0.0	-24.699817542202908	2.0	-8.01475088179938	2.0		0.0
samp_05	3.210990715969454	-3.8620624363231184	1.0		0.0		0.0		0.0		0.0		0.0	-3.3438610224086895	1.0	-1.1766069152020988	1.0	-4.526385838159706	1.0	-4.058960094167291	1.0		0.0	-8.391740435040425	1.0	-1.1238144575258606	1.0	-5.784297376677589	1.0	-2.6550075347711592	1.0		0.0	-5.438331687466574	4.0		0.0	-1.5290966772069594	1.0	-4.997146462792607	1.0	-4.998395123825082	4.0	-5.080047224166557	1.0		0.0		0.0		0.0		0.0	-9.651227262491966	2.0	-8.807480253781597	3.0	-9.902608806456044	2.0	-8.871041520946775	1.0		0.0		0.0	-5.235923398309503	2.0	-11.294672167312426	1.0	-7.166119677235141	1.0	-10.259090378099211	1.0	-10.325266635327077	1.0	-11.568078032933396	3.0	-23.039912202350116	2.0	-8.002662954359105	1.0	-1.8065976813923559	1.0
samp_06	3.132340912846415		0.0		0.0	-6.458747749658206	1.0	-2.4585739483107525	1.0	-6.429229771964788	1.0		0.0	-3.378994586788194	1.0		0.0	-4.554009824675617	4.0		0.0	-2.2431457772736834	1.0	-8.398690635104817	1.0		0.0	-5.801399819446484	1.0	-2.693273496053062	1.0	-1.370807646776167	2.0	-5.452853409577487	3.0		0.0	-1.5724080063588184	1.0	-5.020173116699534	1.0	-5.0231678708932055	1.0		0.0	-5.717905661950194	1.0	-6.424608356398061	2.0	-7.011187337849304	2.0	-7.132148879328489	1.0	-9.64770972625173	1.0	-8.807984122312986	2.0	-9.906199745741482	1.0	-8.866701667565819	1.0		0.0	-8.23827537641324	2.0	-5.253311195715147	1.0	-11.318634010398734	1.0		0.0	-10.242805573674067	1.0	-10.334612130742975	1.0	-11.576497840677634	2.0	-21.98414008542416	1.0	-7.9948760910440795	1.0		0.0
samp_07	3.1295489527729	-3.8952826290798046	2.0	-7.764627387270452	1.0	-6.459185344768895	2.0		0.0	-6.429684353688314	1.0	-5.871681228005433	1.0	-3.3802280689157147	1.0		0.0		0.0	-4.091058504116187	1.0	-2.2445538164710146	1.0		0.0	-1.1721866112609576	2.0	-5.802012782828424	1.0	-2.694613693182054	3.0	-1.372380420842834	1.0	-5.453394129055036	1.0	-19.904068779127396	2.0		0.0		0.0		0.0	-5.107840112267073	1.0	-5.718532549425863	2.0		0.0	-7.011588892634421	1.0	-7.131438337352004	3.0	-9.647461128714271	1.0		0.0	-9.905300593846048	2.0		0.0		0.0		0.0		0.0	-11.31596821787066	1.0	-7.154771453630044	4.0	-10.241984271384194	2.0		0.0	-11.600416702257373	1.0		0.0	-7.994666569545097	1.0	-1.8494638443865261	2.0
samp_08	3.379280108735543	-3.794447854071513	1.0	-7.755354240035248	1.0	-6.423903403208131	3.0		0.0		0.0	-5.838909642926746	1.0		0.0		0.0		0.0		0.0	-2.115733258488047	1.0	-8.378441671379736	2.0	-1.021393559188669	2.0		0.0		0.0	-1.2269016847163676	2.0	-5.411693126298993	1.0	-21.18873990706422	1.0	-1.4347542970088627	3.0		0.0	-4.9480140114567455	1.0	-5.0248377061667835	1.0	-5.6669300990314175	2.0		0.0	-6.978709836845938	1.0	-7.192914406241975	1.0		0.0	-8.806532407030446	2.0	-9.898017964115613	1.0	-8.8800381698007	1.0	-8.697728257033642	1.0	-8.260071097189186	3.0	-5.202846365415595	1.0	-11.266038776940574	3.0	-7.189332475280826	1.0		0.0	-10.307185888818188	1.0		0.0	-22.16880732399177	1.0	-8.017976038324049	1.0	-1.7167136476147187	1.0
