run	log_F	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
fit	0.4283990970489211	-1.1745540525313718	1.0	-4.518774461323675	1.0	-4.037947879433632	1.0	-2.29241252754104	1.0	-2.7427337802104237	1.0	-1.3438375632782362	1.0	-4.981518423724011	1.0
samp_00	0.4067839718624135	-1.1820335443327166	1.0	-4.525197817339617	1.0	-4.044446625296976	1.0		0.0	-2.7494626577237673	1.0	-1.3511370190398646	1.0	-4.987848550137898	2.0
samp_01	0.44564581481001453		0.0	-4.513611698843688	2.0	-4.0327231562179024	1.0		0.0	-2.7373201691578766	2.0	-1.3379555779562284	2.0		0.0
samp_02	0.4305284069026238		0.0	-4.518138754513453	2.0	-4.03730507078081	1.0		0.0	-2.742067749216395	1.0	-1.3431140393379277	2.0	-4.9808924056328845	1.0
samp_03	0.4423894567194747	-1.1696709796207532	1.0	-4.514589914860142	3.0		0.0	-2.2879394602621845	2.0		0.0		0.0	-4.977393660306546	1.0
samp_04	0.4532077732916464	-1.1658595574033104	1.0	-4.511337337136181	1.0		0.0	-2.2844610164532284	2.0	-2.734933566468456	1.0		0.0	-4.974192070950568	2.0
samp_05	0.4490562444825492	-1.1673224178572486	1.0	-4.5125867600742335	2.0		0.0	-2.2857978690256706	1.0	-2.736244722642809	2.0		0.0	-4.975422918281428	1.0
samp_06	0.35237256239510434		0.0	-4.541130901737424	2.0	-4.060559077209582	2.0	-2.316231739910309	1.0	-2.766122360744909	1.0		0.0	-5.00355863518509	1.0
samp_07	0.3217767207711653	-1.21061836244827	2.0		0.0	-4.069463758272794	3.0		0.0	-2.77531529901308	2.0		0.0		0.0
samp_08	0.5249535065968828	-1.1400716459013196	2.0	-4.489441330090356	1.0		0.0	-2.260970179204487	2.0		0.0	-1.3102283882867802	2.0		0.0
samp_09	0.3608428887978678	-1.1976459614818236	2.0		0.0	-4.058074290873375	2.0		0.0		0.0	-1.3663802816715707	1.0	-5.001134538003967	2.0
samp_10	0.41440002807200216	-1.1794070028817363	1.0		0.0	-4.042163622193473	1.0	-2.2968611778261767	2.0	-2.7470992714289255	1.0		0.0	-4.985623969186679	2.0
samp_11	0.4815279278560569	-1.1557974134475655	1.0		0.0	-4.021741484803776	1.0	-2.2752748469135193	1.0		0.0	-1.325547648879699	3.0	-4.965747525031563	1.0
samp_12	0.3764163858555073	-1.1923969234105447	2.0	-4.53413203479342	4.0	-4.053483005181393	1.0		0.0		0.0		0.0		0.0
samp_13	0.48973570628137936	-1.1528515085836104	1.0	-4.500260849182613	2.0		0.0	-2.2725928799587076	2.0	-2.7232986606260727	1.0	-1.322677523441557	1.0		0.0
samp_14	0.44383024747373284		0.0	-4.5141563815045975	1.0	-4.03327449814966	1.0	-2.2874766352220606	3.0		0.0	-1.3385773461078974	1.0	-4.976969923979628	1.0
samp_15	0.3717516578505049	-1.1939774883677914	1.0	-4.535494624590903	2.0	-4.054860436633315	2.0		0.0	-2.7602349649627023	1.0	-1.3627883731074557	1.0		0.0
samp_16	0.43415026959891895	-1.1725471500483269	1.0	-4.5170559875506955	2.0		0.0	-2.2905757502178026	1.0	-2.7409330415383075	1.0		0.0	-4.979825027928989	2.0
samp_17	0.5312140351711233	-1.137774398460072	1.0		0.0		0.0	-2.258886097487741	1.0	-2.7098721614757557	3.0	-1.30799346847243	2.0		0.0
samp_18	0.3973765541352703		0.0	-4.527976573963286	1.0	-4.047257694667425	2.0	-2.3022317297307153	1.0		0.0	-1.3542886540369243	2.0	-4.9905875361625975	1.0
samp_19	0.5227837816077525		0.0	-4.49010550375451	1.0		0.0	-2.2616940794849554	1.0	-2.7126272900192308	1.0	-1.3109997920812109	3.0	-4.953295225725528	1.0
samp_20	0.4044864084084602	-1.1828246149728834	1.0		0.0	-4.0451329759529395	1.0		0.0	-2.750174251569366	1.0	-1.3519060165070012	1.0	-4.988518053739273	3.0
samp_21	0.41440002807200216	-1.1794070028817363	1.0		0.0	-4.042163622193473	1.0	-2.2968611778261767	2.0	-2.7470992714289255	1.0		0.0	-4.985623969186679	2.0
samp_22	0.3832922364674685	-1.1900658407967208	2.0		0.0	-4.051445877551331	2.0	-2.306642838963128	1.0		0.0	-1.3589795662394184	1.0	-4.994671259107492	1.0
samp_23	0.40206114204154464	-1.1836561822401146	3.0	-4.526594354298809	1.0	-4.045859335682006	1.0	-2.3007580860249783	1.0		0.0		0.0	-4.989224982031823	1.0
samp_24	0.5580996868375193	-1.1278287780633431	3.0		0.0		0.0	-2.2498689571587387	1.0		0.0	-1.2983076532680522	3.0		0.0
samp_25	0.474564051965783	-1.1582860817028755	1.0		0.0	-4.023882738930895	1.0		0.0	-2.728153466752845	1.0	-1.327972884941868	3.0	-4.967831627986855	1.0
samp_26	0.40401353739848317	-1.1829854042639412	1.0		0.0	-4.045276291893679	2.0	-2.300144329625319	1.0	-2.7503208898433016	2.0	-1.3520672087419578	1.0		0.0
samp_27	0.39418766633626273		0.0	-4.528916406186708	1.0	-4.0482081439838975	1.0		0.0	-2.7533548079144663	3.0		0.0	-4.991514114023038	2.0
samp_28	0.4074725591991609	-1.1817962696500928	4.0	-4.52499399231792	1.0	-4.044240165168632	1.0		0.0	-2.749249580172529	1.0		0.0		0.0
